
"Ocupa&ccedil;&otilde;es em geral";"Quantidade"
"T&eacute;cnico de laborat&oacute;rio de an&aacute;lises f&iacute;sico-qu&iacute;micas";6
"T&eacute;cnico em Laborat&oacute;rio de Farm&aacute;cia";5
"T&eacute;cnico em patologia cl&iacute;nica";193
" T&Eacute;CNICO E AUXILIAR EM FISIOTERAPIA E REABILITA&Ccedil;&Atilde;O";10
"T&eacute;cnico de imobiliza&ccedil;&atilde;o ortop&eacute;dica";10
" T&Eacute;CNICO E AUXILIAR EM SA&Uacute;DE ORAL";10
"T&eacute;cnico em sa&uacute;de bucal";10
" T&Eacute;CNICO E AUXILIAR EM VIG SANIT&Aacute;RIA E AMBIENTAL";2
"Agente de defesa ambiental";2
" T&Eacute;CNICO E AUXILIAR EM RADIOLOGIA M&Eacute;DICA";171
"Auxiliar de Radiologia (Revela&ccedil;&atilde;o Fotogr&aacute;fica)";2
"T&eacute;cnico em radiologia e imagenologia";169
" OUTRAS OCUPA&Ccedil;&Otilde;ES N&Iacute;VEL T&Eacute;CNICO E AUXILIAR EM SA&Uacute;D";25
"Instrumentador Cir&uacute;rgico";25
"PESSOAL DE SA&Uacute;DE - QUALIFICA&Ccedil;&Atilde;O ELEMENTAR";2474
" AGENTE COMUNIT&Aacute;RIO DE SA&Uacute;DE";213
"Agente comunit&aacute;rio de sa&uacute;de";213
" AGENTE DE SA&Uacute;DE P&Uacute;BLICA";17
"Agente de sa&uacute;de p&uacute;blica agente de saneam";17
" ATENDENTE DE ENFERMAGEM/AUX OPER SERV DIV E ASSEM";128
"Atendente de consult&oacute;rio dentario";102
"Atendente de enfermagem atend ber&ccedil;ario";8
"Atendente de farm&aacute;cia  balconista";18
" OUTRAS OCUPA&Ccedil;&Otilde;ES N&Iacute;VEL ELEMENTAR EM SA&Uacute;DE";2116
"PESSOAL ADMINISTRATIVO";2116
" ADMINISTRA&Ccedil;&Atilde;O";1225
"Administrador";19
"Advogado";1
"Almoxarife";3
"Arquiteto de edificacoes";1
"Arquivista";1
"Arquivista de documentos";2
"Assistente tecnico administrativo";343
"Atendente de ambulatorio ou cl&iacute;nica";139
"Auxiliar de contabilidade";2
"Auxiliar de escritorio em geral auxiliar";261
"Auxiliar de faturamento";27
"Comprador";1
"Contador";4
"Digitador";40
"Diretor administrativo";11
"Diretor de manuten&ccedil;&atilde;o";1
"Diretor de recursos humanos";1
"Diretor de servi&ccedil;os de informatica";3
"Diretor de servi&ccedil;os de saude  diretor cli";27
"Engenheiro de seguranca do trabalho";3
"Gerente administrativo";11
"Gerente de almoxarifado";2
"Gerente de departamento pessoal";2
"Gerente de recursos humanos";1
