dataset;arquivo;url;sha256;tamanho_bytes;registros_campos;data_download
cat;CAT_de_abril_a_junho_de_2022.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/Plano+2016_2018_Grupos+de+dados/INSS+-+Comunica%C3%A7%C3%A3o+de+Acidente+de+Trabalho+-+CAT/D.SDA.PDA.005.CAT.202204.ZIP;8837226f37c5c9d9bafcce610949aedb89e1350876923fead35d70def5bbff9e;21315;56;2026-07-21 18:13:05
cat;CAT_Julho_de_2022.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/Plano+2016_2018_Grupos+de+dados/INSS+-+Comunica%C3%A7%C3%A3o+de+Acidente+de+Trabalho+-+CAT/D.SDA.PDA.005.CAT.202207.ZIP;305478aff9f251145c50925b7c2cba812dbb04cfacbb53c6c2bc7e53926d8e77;87463;231;2026-07-21 18:13:17
cat;CAT_Agosto_de_2022.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/Plano+2016_2018_Grupos+de+dados/INSS+-+Comunica%C3%A7%C3%A3o+de+Acidente+de+Trabalho+-+CAT/D.SDA.PDA.005.CAT.202208.ZIP;38bab856dcc7a75a466b47b408d171b19d35f5f34bf3487be5c7cfa7bfb857a4;63513;167;2026-07-21 18:13:24
cat;CAT_Setembro_de_2022.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/Plano+2016_2018_Grupos+de+dados/INSS+-+Comunica%C3%A7%C3%A3o+de+Acidente+de+Trabalho+-+CAT/D.SDA.PDA.005.CAT.202209.ZIP;0b05464f0f12cc92de44531ef3ab80418ac8d22b6cb2191d474e2e0721c4354d;41243;108;2026-07-21 18:13:29
cat;CAT_Outubro_de_2022.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/Plano+2016_2018_Grupos+de+dados/INSS+-+Comunica%C3%A7%C3%A3o+de+Acidente+de+Trabalho+-+CAT/D.SDA.PDA.005.CAT.202210.ZIP;f548f52f0f4eacdc87d3e0b6c7745de35f318994e644907f51af95a6eecca258;120;0;2026-07-21 18:13:31
cat;CAT_Novembro_de_2022.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/Plano+2016_2018_Grupos+de+dados/INSS+-+Comunica%C3%A7%C3%A3o+de+Acidente+de+Trabalho+-+CAT/D.SDA.PDA.005.CAT.202211.ZIP;dbff9e25b4686f83103d4dc9023a1bf175f71b9fd4650de24b4566a0c72387b4;1518;3;2026-07-21 18:13:33
cat;CAT_Dezembro_de_2022.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/Plano+2016_2018_Grupos+de+dados/INSS+-+Comunica%C3%A7%C3%A3o+de+Acidente+de+Trabalho+-+CAT/D.SDA.PDA.005.CAT.202212.ZIP;54c4c7e8f18877be471bf736485ae5678280d8cce073cc4b94f69853f2710467;13743;35;2026-07-21 18:13:34
cat;CAT_Janeiro_2023.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/Plano+2016_2018_Grupos+de+dados/INSS+-+Comunica%C3%A7%C3%A3o+de+Acidente+de+Trabalho+-+CAT/D.SDA.PDA.005.CAT.202301.ZIP;1dc910eee32eb8a3db6772fec9c227168f69b991542277e9085aa2cb10149f3a;9436;24;2026-07-21 18:13:36
cat;CAT_fevereiro_2023.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/Plano+2016_2018_Grupos+de+dados/INSS+-+Comunica%C3%A7%C3%A3o+de+Acidente+de+Trabalho+-+CAT/D.SDA.PDA.005.CAT.202302.ZIP;2a38ae33c246bc13aa3d7bab210ffe6f379a68e336e61101fd0a1fe11b3a2469;27617;72;2026-07-21 18:13:39
cat;CAT_março_2023.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/Plano+2016_2018_Grupos+de+dados/INSS+-+Comunica%C3%A7%C3%A3o+de+Acidente+de+Trabalho+-+CAT/D.SDA.PDA.005.CAT.202303.ZIP;c1e2e080ec0f372ffab0d6dbfd100b2c51cef45c65595f94dc4590118b2ba3da;28662;75;2026-07-21 18:13:43
cat;CAT_abril_2023.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/Plano+2016_2018_Grupos+de+dados/INSS+-+Comunica%C3%A7%C3%A3o+de+Acidente+de+Trabalho+-+CAT/D.SDA.PDA.005.CAT.202304.ZIP;61052b5c3d4e996380353313fee2587500ce2690ac29465327511fb7dc869f66;30975;83;2026-07-21 18:13:46
cat;CAT_maio_2023.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/Plano+2016_2018_Grupos+de+dados/INSS+-+Comunica%C3%A7%C3%A3o+de+Acidente+de+Trabalho+-+CAT/D.SDA.PDA.005.CAT.202305.ZIP;ee7b2e2a04dc501af7bdc62c08a8f8dfd6727fe8293c956e960485e3abab6c49;36083;95;2026-07-21 18:13:50
