arquivo;sha256;tamanho_bytes
DORJ2015.dbc;84e5b469376d6c1f040e46220a9015ecedfc36b3c5da287b0d55e20388af5e8f;12560385
DORJ2016.dbc;4192ad6451de12e992bae124231d67ba1c4a89f0123753e5f4e98587687cddad;14511245
DORJ2017.dbc;636772cb5ddd714bcb9dafa6af7ea4f5a8eaa469b729e5e7f4a3323ec5ffe480;14103904
DORJ2018.dbc;b181a488b263269e01ccb9c54fe51608e397a64556014edd2c2c899f90487cd7;10933904
