Código;Descrição;Dotação Inicial;Alt. de Dotação;Dotação Atualizada;Valor Empenhado;Valor Liquidado;Valor Pago
3.1.90.03.01 ;PESSOAL CIVIL;0,00;0,00;0,00;377.802,56;377.802,56;377.802,56
3.1.90.04.11 ;SALÁRIOS - CONTRATO TEMPORÁRIO;0,00;0,00;0,00;55.130.240,52;55.130.240,52;55.130.240,52
3.1.90.11.01 ;VENCIMENTOS E SALÁRIOS;0,00;0,00;0,00;462.415.055,58;462.415.055,58;462.414.427,04
3.1.90.11.99 ;OUTRAS DESPESAS FIXAS - PESSOAL CIVIL;0,00;0,00;0,00;133.921,62;133.921,62;133.921,62
3.1.90.13.01 ;FGTS;0,00;0,00;0,00;66.914,15;66.914,15;66.914,15
3.1.90.13.02 ;CONTRIBUIÇÕES PREVIDENCIÁRIAS - INSS;0,00;0,00;0,00;18.261.133,44;18.261.133,44;18.261.123,44
3.1.90.94.99 ;OUTRAS INDENIZAÇÕES E RESTITUIÇÕES TRABALHISTAS;0,00;0,00;0,00;762.052,67;762.052,67;762.052,67
3.1.90.96.99 ;OUTROS RESSARCIMENTOS DE DESPESAS DE PESSOAL REQUISITADO;0,00;0,00;0,00;2.126.092,02;2.126.092,02;2.126.092,02
3.1.91.13.08 ;CONTRIBUIÇÕES PREVIDENCIÁRIAS - RPPS - PESSOAL ATIVO - PLANO;0,00;0,00;0,00;58.745.525,60;58.745.525,60;58.745.525,60
3.1.91.13.99 ;OUTRAS OBRIGAÇÕES PATRONAIS - INTRA OFSS;0,00;0,00;0,00;14.659.156,98;14.659.156,98;14.659.156,98
3.2.90.21.01 ;JUROS DA DÍVIDA CONTRATUAL;0,00;0,00;0,00;4.213.005,43;4.213.005,43;4.213.005,43
3.2.91.21.00 ;JUROS SOBRE A DÍVIDA POR CONTRATO - INTRA OFSS;22.019.302,00;11.925.277,70;33.944.579,70;33.944.579,70;33.944.579,70;33.944.579,70
3.3.50.41.00 ;CONTRIBUIÇÕES;0,00;328.663,66;328.663,66;157.930,29;157.930,29;157.930,29
3.3.71.70.00 ;RATEIO PELA PARTICIPAÇÃO EM CONSÓRCIO PÚBLICO;353.500,56;-353.500,56;0,00;0,00;0,00;0,00
3.3.90.08.01 ;AUXÍLIO FUNERAL;0,00;0,00;0,00;238.566,24;238.566,24;238.566,24
3.3.90.08.56 ;SALÁRIO-FAMÍLIA;0,00;0,00;0,00;110.398,16;110.398,16;110.398,16
3.3.90.08.99 ;OUTROS BENEFÍCIOS ASSISTENCIAIS;0,00;0,00;0,00;180.700,00;180.700,00;180.700,00
3.3.90.14.14 ;DIÁRIAS NO PAIS;0,00;0,00;0,00;325.460,00;325.460,00;325.460,00
3.3.90.14.16 ;DIÁRIAS NO EXTERIOR;0,00;0,00;0,00;10.703,23;10.703,23;10.703,23
3.3.90.18.00 ;AUXÍLIO FINANCEIRO A ESTUDANTE;1.000.000,00;864.300,00;1.864.300,00;1.832.100,00;1.832.100,00;1.832.100,00
3.3.90.20.00 ;AUXÍLIO FINANCEIRO A PESQUISADORES;120.000,00;21.786,92;141.786,92;141.286,92;141.286,92;141.286,92
3.3.90.30.01 ;COMBUSTÍVEIS E LUBRIFICANTES AUTOMOTIVOS;0,00;0,00;0,00;5.335.303,74;5.335.303,74;5.335.303,74
3.3.90.30.07 ;GÊNEROS DE ALIMENTAÇÃO;0,00;0,00;0,00;27.749.325,27;23.269.306,85;16.901.694,46
3.3.90.30.14 ;MATERIAL EDUCATIVO E ESPORTIVO;0,00;0,00;0,00;94.536,42;0,00;0,00
3.3.90.30.15 ;MATERIAL PARA FESTIVIDADES E HOMENAGENS;0,00;0,00;0,00;16.118,00;16.118,00;16.118,00
3.3.90.30.16 ;MATERIAL DE EXPEDIENTE;0,00;0,00;0,00;20.164.005,41;20.058.825,43;16.022.674,98
3.3.90.30.17 ;MATERIAL DE PROCESSAMENTO DE DADOS;0,00;0,00;0,00;23.055,64;14.758,80;14.758,80
3.3.90.30.19 ;MATERIAL DE ACONDICIONAMENTO E EMBALAGEM;0,00;0,00;0,00;1.124.766,29;10.400,00;10.400,00
3.3.90.30.21 ;MATERIAL DE COPA E COZINHA;0,00;0,00;0,00;0,00;0,00;0,00
3.3.90.30.22 ;MATERIAL DE LIMPEZA E PRODUTOS DE HIGIENIZAÇÃO;0,00;0,00;0,00;8.329.132,52;8.326.023,52;6.047.160,20
3.3.90.30.23 ;UNIFORMES, TECIDOS E AVIAMENTOS;0,00;0,00;0,00;59.850,00;59.850,00;59.850,00
3.3.90.30.25 ;MATERIAL PARA MANUTENÇÃO DE BENS MÓVEIS;0,00;0,00;0,00;1.200.000,00;1.200.000,00;1.200.000,00
3.3.90.30.26 ;MATERIAL ELÉTRICO E ELETRÔNICO;0,00;0,00;0,00;664,46;0,00;0,00
3.3.90.30.29 ;MATERIAL PARA ÁUDIO, VÍDEO E FOTO;0,00;0,00;0,00;2.292,40;2.292,40;2.292,40
3.3.90.30.33 ;MATERIAL PARA PRODUÇÃO INDUSTRIAL;0,00;0,00;0,00;6.710.000,00;6.710.000,00;6.710.000,00
3.3.90.30.39 ;MATERIAL PARA MANUTENÇÃO DE VEÍCULOS;0,00;0,00;0,00;919.277,31;919.277,31;919.277,31
3.3.90.30.60 ;MATERIAL DIDÁTICO;0,00;0,00;0,00;2.036.800,00;2.036.800,00;2.036.800,00
3.3.90.30.99 ;OUTROS MATERIAIS DE CONSUMO;0,00;0,00;0,00;20.026.392,26;19.785.565,94;19.785.565,94
3.3.90.32.99 ;OUTROS MATERIAIS DE DISTRIBUIÇÃO GRATUITA;0,00;0,00;0,00;5.230.046,10;0,00;0,00
3.3.90.33.01 ;PASSAGENS PARA O PAÍS;0,00;0,00;0,00;348.639,38;348.639,38;348.639,38
3.3.90.36.07 ;ESTAGIÁRIOS;0,00;0,00;0,00;3.187.694,08;3.187.694,08;3.187.694,08
