nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,municipio_codigo,municipio,ano_codigo,ano,variavel_codigo,variavel
6,Município,40,Mil Reais,12507069,3301009,Campos dos Goytacazes (RJ),2002,2002,37,Produto Interno Bruto a preços correntes
6,Município,2,%,94.97,3301009,Campos dos Goytacazes (RJ),2002,2002,553,Participação do produto interno bruto a preços correntes no produto interno bruto a preços correntes da microrregião geográfica
6,Município,2,%,62.14,3301009,Campos dos Goytacazes (RJ),2002,2002,552,Participação do produto interno bruto a preços correntes no produto interno bruto a preços correntes da mesorregião geográfica
6,Município,2,%,6.79,3301009,Campos dos Goytacazes (RJ),2002,2002,497,Participação do produto interno bruto a preços correntes no produto interno bruto a preços correntes da unidade da federação
6,Município,2,%,1.46,3301009,Campos dos Goytacazes (RJ),2002,2002,530,Participação do produto interno bruto a preços correntes no produto interno bruto a preços correntes da grande região
6,Município,2,%,0.84,3301009,Campos dos Goytacazes (RJ),2002,2002,496,Participação do produto interno bruto a preços correntes no produto interno bruto a preços correntes do Brasil
6,Município,40,Mil Reais,255841,3301009,Campos dos Goytacazes (RJ),2002,2002,543,"Impostos, líquidos de subsídios, sobre produtos a preços correntes"
6,Município,2,%,90.9,3301009,Campos dos Goytacazes (RJ),2002,2002,571,"Participação dos impostos, líquidos de subsídios, sobre produtos a preços correntes nos impostos, líquidos de subsídios, sobre produtos a preços correntes da microrregião geográfica"
6,Município,2,%,25.19,3301009,Campos dos Goytacazes (RJ),2002,2002,570,"Participação dos impostos, líquidos de subsídios, sobre produtos a preços correntes nos impostos, líquidos de subsídios, sobre produtos a preços correntes da mesorregião geográfica"
6,Município,2,%,0.97,3301009,Campos dos Goytacazes (RJ),2002,2002,545,"Participação dos impostos, líquidos de subsídios, sobre produtos a preços correntes nos impostos, líquidos de subsídios, sobre produtos a preços correntes da unidade da federação"
6,Município,2,%,0.19,3301009,Campos dos Goytacazes (RJ),2002,2002,551,"Participação dos impostos, líquidos de subsídios, sobre produtos a preços correntes nos impostos, líquidos de subsídios, sobre produtos a preços correntes da grande região"
6,Município,2,%,0.12,3301009,Campos dos Goytacazes (RJ),2002,2002,544,"Participação dos impostos, líquidos de subsídios, sobre produtos a preços correntes nos impostos, líquidos de subsídios, sobre produtos a preços correntes do Brasil"
6,Município,40,Mil Reais,12251228,3301009,Campos dos Goytacazes (RJ),2002,2002,498,Valor adicionado bruto a preços correntes total
6,Município,2,%,95.06,3301009,Campos dos Goytacazes (RJ),2002,2002,555,Participação do valor adicionado bruto a preços correntes total no valor adicionado bruto a preços correntes total da microrregião geográfica
6,Município,2,%,64.1,3301009,Campos dos Goytacazes (RJ),2002,2002,554,Participação do valor adicionado bruto a preços correntes total no valor adicionado bruto a preços correntes total da mesorregião geográfica
6,Município,2,%,7.76,3301009,Campos dos Goytacazes (RJ),2002,2002,500,Participação do valor adicionado bruto a preços correntes total no valor adicionado bruto a preços correntes total da unidade da federação
6,Município,2,%,1.71,3301009,Campos dos Goytacazes (RJ),2002,2002,546,Participação do valor adicionado bruto a preços correntes total no valor adicionado bruto a preços correntes total da grande região
6,Município,2,%,0.96,3301009,Campos dos Goytacazes (RJ),2002,2002,499,Participação do valor adicionado bruto a preços correntes total no valor adicionado bruto a preços correntes total do Brasil
6,Município,40,Mil Reais,101773,3301009,Campos dos Goytacazes (RJ),2002,2002,513,Valor adicionado bruto a preços correntes da agropecuária
6,Município,2,%,0.83,3301009,Campos dos Goytacazes (RJ),2002,2002,516,Participação do valor adicionado bruto a preços correntes da agropecuária no valor adicionado bruto a preços correntes total
6,Município,2,%,51.79,3301009,Campos dos Goytacazes (RJ),2002,2002,557,Participação do valor adicionado bruto a preços correntes da agropecuária no valor adicionado bruto a preços correntes da agropecuária da microrregião geográfica
6,Município,2,%,41.48,3301009,Campos dos Goytacazes (RJ),2002,2002,556,Participação do valor adicionado bruto a preços correntes da agropecuária no valor adicionado bruto a preços correntes da agropecuária da mesorregião geográfica
6,Município,2,%,10.55,3301009,Campos dos Goytacazes (RJ),2002,2002,515,Participação do valor adicionado bruto a preços correntes da agropecuária no valor adicionado bruto a preços correntes da agropecuária da unidade da federação
6,Município,2,%,0.45,3301009,Campos dos Goytacazes (RJ),2002,2002,547,Participação do valor adicionado bruto a preços correntes da agropecuária no valor adicionado bruto a preços correntes da agropecuária da grande região
6,Município,2,%,0.12,3301009,Campos dos Goytacazes (RJ),2002,2002,514,Participação do valor adicionado bruto a preços correntes da agropecuária no valor adicionado bruto a preços correntes da agropecuária do Brasil
6,Município,40,Mil Reais,7828708,3301009,Campos dos Goytacazes (RJ),2002,2002,517,Valor adicionado bruto a preços correntes da indústria
6,Município,2,%,63.9,3301009,Campos dos Goytacazes (RJ),2002,2002,520,Participação do valor adicionado bruto a preços correntes da indústria no valor adicionado bruto a preços correntes total
6,Município,2,%,98.64,3301009,Campos dos Goytacazes (RJ),2002,2002,559,Participação do valor adicionado bruto a preços correntes da indústria no valor adicionado bruto a preços correntes da indústria da microrregião geográfica
6,Município,2,%,67.78,3301009,Campos dos Goytacazes (RJ),2002,2002,558,Participação do valor adicionado bruto a preços correntes da indústria no valor adicionado bruto a preços correntes da indústria da mesorregião geográfica
6,Município,2,%,18.11,3301009,Campos dos Goytacazes (RJ),2002,2002,519,Participação do valor adicionado bruto a preços correntes da indústria no valor adicionado bruto a preços correntes da indústria da unidade da federação
6,Município,2,%,3.92,3301009,Campos dos Goytacazes (RJ),2002,2002,548,Participação do valor adicionado bruto a preços correntes da indústria no valor adicionado bruto a preços correntes da indústria da grande região
6,Município,2,%,2.34,3301009,Campos dos Goytacazes (RJ),2002,2002,518,Participação do valor adicionado bruto a preços correntes da indústria no valor adicionado bruto a preços correntes da indústria do Brasil
6,Município,40,Mil Reais,3481855,3301009,Campos dos Goytacazes (RJ),2002,2002,6575,"Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social"
6,Município,2,%,28.42,3301009,Campos dos Goytacazes (RJ),2002,2002,6574,"Participação do valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social, no valor adicionado bruto a preços correntes total"
6,Município,2,%,95.34,3301009,Campos dos Goytacazes (RJ),2002,2002,6571,"Participação do valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social, no valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social, da microrregião geográfica"
6,Município,2,%,61.4,3301009,Campos dos Goytacazes (RJ),2002,2002,6570,"Participação do valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social, no valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social, da mesorregião geográfica"
6,Município,2,%,4.23,3301009,Campos dos Goytacazes (RJ),2002,2002,6572,"Participação do valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social, no valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social, da unidade da federação"
6,Município,2,%,0.87,3301009,Campos dos Goytacazes (RJ),2002,2002,6569,"Participação do valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social, no valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social, da grande região"
