nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,municipio_codigo,municipio,ano_codigo,ano,variavel_codigo,variavel,tipo_de_rebanho_codigo,tipo_de_rebanho
6,Município,24,Cabeças,192925,3301009,Campos dos Goytacazes (RJ),1978,1978,105,Efetivo dos rebanhos,2670,Bovino
6,Município,24,Cabeças,20,3301009,Campos dos Goytacazes (RJ),1978,1978,105,Efetivo dos rebanhos,2675,Bubalino
6,Município,24,Cabeças,7315,3301009,Campos dos Goytacazes (RJ),1978,1978,105,Efetivo dos rebanhos,2672,Equino
6,Município,24,Cabeças,20218,3301009,Campos dos Goytacazes (RJ),1978,1978,105,Efetivo dos rebanhos,32794,Suíno - total
6,Município,24,Cabeças,NA,3301009,Campos dos Goytacazes (RJ),1978,1978,105,Efetivo dos rebanhos,32795,Suíno - matrizes de suínos
6,Município,24,Cabeças,816,3301009,Campos dos Goytacazes (RJ),1978,1978,105,Efetivo dos rebanhos,2681,Caprino
6,Município,24,Cabeças,2150,3301009,Campos dos Goytacazes (RJ),1978,1978,105,Efetivo dos rebanhos,2677,Ovino
6,Município,24,Cabeças,471327,3301009,Campos dos Goytacazes (RJ),1978,1978,105,Efetivo dos rebanhos,32796,Galináceos - total
6,Município,24,Cabeças,471327,3301009,Campos dos Goytacazes (RJ),1978,1978,105,Efetivo dos rebanhos,32793,Galináceos - galinhas
6,Município,24,Cabeças,NA,3301009,Campos dos Goytacazes (RJ),1978,1978,105,Efetivo dos rebanhos,2680,Codornas
6,Município,24,Cabeças,192036,3301009,Campos dos Goytacazes (RJ),1979,1979,105,Efetivo dos rebanhos,2670,Bovino
6,Município,24,Cabeças,18,3301009,Campos dos Goytacazes (RJ),1979,1979,105,Efetivo dos rebanhos,2675,Bubalino
6,Município,24,Cabeças,5745,3301009,Campos dos Goytacazes (RJ),1979,1979,105,Efetivo dos rebanhos,2672,Equino
6,Município,24,Cabeças,21560,3301009,Campos dos Goytacazes (RJ),1979,1979,105,Efetivo dos rebanhos,32794,Suíno - total
6,Município,24,Cabeças,NA,3301009,Campos dos Goytacazes (RJ),1979,1979,105,Efetivo dos rebanhos,32795,Suíno - matrizes de suínos
6,Município,24,Cabeças,827,3301009,Campos dos Goytacazes (RJ),1979,1979,105,Efetivo dos rebanhos,2681,Caprino
6,Município,24,Cabeças,1935,3301009,Campos dos Goytacazes (RJ),1979,1979,105,Efetivo dos rebanhos,2677,Ovino
6,Município,24,Cabeças,470648,3301009,Campos dos Goytacazes (RJ),1979,1979,105,Efetivo dos rebanhos,32796,Galináceos - total
6,Município,24,Cabeças,470648,3301009,Campos dos Goytacazes (RJ),1979,1979,105,Efetivo dos rebanhos,32793,Galináceos - galinhas
6,Município,24,Cabeças,NA,3301009,Campos dos Goytacazes (RJ),1979,1979,105,Efetivo dos rebanhos,2680,Codornas
6,Município,24,Cabeças,181276,3301009,Campos dos Goytacazes (RJ),1980,1980,105,Efetivo dos rebanhos,2670,Bovino
6,Município,24,Cabeças,20,3301009,Campos dos Goytacazes (RJ),1980,1980,105,Efetivo dos rebanhos,2675,Bubalino
6,Município,24,Cabeças,5842,3301009,Campos dos Goytacazes (RJ),1980,1980,105,Efetivo dos rebanhos,2672,Equino
6,Município,24,Cabeças,15515,3301009,Campos dos Goytacazes (RJ),1980,1980,105,Efetivo dos rebanhos,32794,Suíno - total
6,Município,24,Cabeças,NA,3301009,Campos dos Goytacazes (RJ),1980,1980,105,Efetivo dos rebanhos,32795,Suíno - matrizes de suínos
6,Município,24,Cabeças,816,3301009,Campos dos Goytacazes (RJ),1980,1980,105,Efetivo dos rebanhos,2681,Caprino
6,Município,24,Cabeças,1784,3301009,Campos dos Goytacazes (RJ),1980,1980,105,Efetivo dos rebanhos,2677,Ovino
6,Município,24,Cabeças,287266,3301009,Campos dos Goytacazes (RJ),1980,1980,105,Efetivo dos rebanhos,32796,Galináceos - total
6,Município,24,Cabeças,287266,3301009,Campos dos Goytacazes (RJ),1980,1980,105,Efetivo dos rebanhos,32793,Galináceos - galinhas
6,Município,24,Cabeças,NA,3301009,Campos dos Goytacazes (RJ),1980,1980,105,Efetivo dos rebanhos,2680,Codornas
6,Município,24,Cabeças,186624,3301009,Campos dos Goytacazes (RJ),1981,1981,105,Efetivo dos rebanhos,2670,Bovino
6,Município,24,Cabeças,25,3301009,Campos dos Goytacazes (RJ),1981,1981,105,Efetivo dos rebanhos,2675,Bubalino
6,Município,24,Cabeças,6067,3301009,Campos dos Goytacazes (RJ),1981,1981,105,Efetivo dos rebanhos,2672,Equino
6,Município,24,Cabeças,15025,3301009,Campos dos Goytacazes (RJ),1981,1981,105,Efetivo dos rebanhos,32794,Suíno - total
