Município,UF,Índice de Progresso Social,ÁREA km²,POPULAÇÃO 2024,PIB PER CAPITA,Necessidades Humanas Básicas,Fundamentos do Bem-estar,Oportunidades,Nutrição e Cuidados Médicos Básicos,Água e Saneamento,Moradia,Segurança Pessoal,Acesso ao Conhecimento Básico,Acesso à Informação e Comunicação,Saúde e Bem-estar,Qualidade do Meio Ambiente,Direitos Individuais,Liberdades Individuais e de Escolha,Inclusão Social,Acesso à Educação Superior,Cobertura Vacinal (Poliomielite),Hospitalizações por Condições Sensíveis à Atenção Primária,Mortalidade Ajustada por Condições Sensíveis à Atenção Primária,Mortalidade Infantil até 5 Anos,Subnutrição,Abastecimento de Água via Rede de Distribuição,Esgotamento Sanitário Adequado,Índice de Abastecimento de Água,Índice de Perdas de Água na Distribuição,Domicílios com Coleta de Resíduos Adequada,Domicílios com Iluminação Elétrica Adequada,Domicílios com Paredes Adequadas,Domicílios com Piso Adequado,Assassinatos de Jovens,Assassinatos de Mulheres,Homicídios,Mortes por Acidente de Transporte,Abandono no Ensino Fundamental,Abandono no Ensino Médio,Evasão no Ensino Médio,Distorção Idade-Série no Ensino Médio,Ideb Ensino Fundamental,Reprovação Escolar no Ensino Médio,Cobertura de Internet Móvel (4G/5G),Densidade de Internet Banda Larga Fixa,Densidade de Telefonia Móvel,Qualidade de Internet Móvel,Expectativa de Vida,Mortalidade entre 15 e 50 anos,Mortalidade por Doenças Crônicas Não Transmissíveis,Obesidade,Suicídios,Consumo de Alimentos Ultraprocessados,Áreas Verdes Urbanas,Emissões de CO₂e por Habitante,Focos de Calor,Índice de Vulnerabilidade Climática dos Municípios,Supressão da Vegetação Primária e Secundária,Acesso a Programas de Direitos Humanos,Existência de Ações para Direitos de Minorias,Índice de Atendimento à Demanda de Justiça,Taxa de Congestionamento Líquido de Processos,Resposta a Processos Previdenciários,Resposta a Processos Familiares,"Acesso à Cultura, Lazer e Esporte",Gravidez na Adolescência (<19 anos),Índice de Vulnerabilidade das Famílias do CadÚnico (IVCAD),Praças e Parques em Áreas Urbanas,Paridade de Gênero na Câmara Municipal,Paridade de Negros na Câmara Municipal,Violência contra Indígenas,Violência contra Mulheres,Violência contra Negros,Famílias em Situação de Rua,Empregados com Ensino Superior,Mulheres Empregadas com Ensino Superior,Nota Mediana do Enem
Bom Jardim,RJ,61.79,382.43,29736.00,30057.21,74.82,64.60,45.94,73.75,65.98,92.45,67.09,73.11,64.45,53.16,67.69,23.93,56.07,69.77,33.98,84.12,1723.91,160.28,15.99,3.33,59.27,90.14,61.12,33.72,89.63,91.61,83.63,99.35,17.44,4.68,13.52,19.22,0.50,1.40,7.50,35.88,4.92,7.70,86.19,20.20,69.44,94.57,73.56,2.16,474.86,23.48,11.39,100.00,4.06,3.44,3.56,36.91,11.87,1.00,8.00,103.25,69.00,1927.35,961.47,8.00,11.32,0.30,0.00,0.36,0.50,0.00,39.34,66.87,7.11,37.36,48.37,568.30
Porciúncula,RJ,61.65,291.85,17832.00,23496.32,80.00,65.70,39.26,77.56,79.09,93.09,70.26,75.62,67.45,59.86,59.89,10.61,53.32,58.23,34.86,92.79,424.54,135.78,16.55,3.72,84.23,88.93,84.00,48.03,78.69,92.18,93.16,98.73,9.37,3.82,5.78,14.46,0.45,1.03,7.02,28.35,4.71,3.88,87.61,31.75,63.03,96.22,73.11,2.25,423.30,18.02,7.23,65.00,2.49,4.25,1.16,50.40,8.19,1.00,0.00,98.75,65.25,971.09,705.87,5.00,15.05,0.29,0.90,0.00,0.45,0.00,430.45,125.23,0.61,39.83,49.67,523.24
Duas Barras,RJ,61.62,379.62,11354.00,22110.21,79.23,62.36,43.26,71.14,74.05,89.52,82.20,73.70,61.44,51.93,62.37,24.19,53.35,66.61,28.89,68.89,1162.49,142.51,21.06,3.00,73.28,68.17,73.68,18.69,83.79,86.24,85.75,96.07,0.00,0.00,6.83,20.04,1.33,0.97,7.28,36.92,4.93,3.43,85.37,10.78,68.15,95.99,72.39,1.89,499.36,24.49,11.38,100.00,3.32,7.92,13.66,41.52,8.14,4.00,4.00,83.00,68.75,1233.93,582.86,6.00,14.39,0.30,0.19,0.22,0.00,,71.86,68.42,4.87,37.51,48.64,516.56
Seropédica,RJ,61.42,265.19,84737.00,56786.40,72.96,66.67,44.64,66.38,79.26,79.85,66.33,71.00,72.38,55.71,67.57,17.22,51.40,61.37,48.55,53.65,325.00,169.41,16.91,4.05,97.46,67.59,72.27,33.54,90.58,61.07,64.64,98.15,26.17,2.40,15.39,13.65,0.73,2.60,8.02,35.12,4.42,7.15,100.00,21.30,89.92,95.30,73.30,2.93,431.62,19.06,3.72,79.62,6.31,3.22,9.55,40.57,5.47,1.00,5.00,109.20,74.80,1707.66,1222.54,3.00,14.17,0.36,11.99,0.40,0.77,0.00,148.57,186.03,15.16,77.03,78.51,535.49
Piraí,RJ,61.41,490.25,29054.00,84940.97,79.94,61.97,42.33,78.18,85.23,88.18,68.16,68.74,67.72,48.12,63.29,21.77,57.38,38.38,51.78,93.46,1445.62,158.97,10.28,3.31,82.33,93.10,86.28,17.88,88.62,90.18,70.70,97.26,21.59,2.81,10.92,17.47,0.17,5.02,11.02,42.22,5.21,9.38,97.27,10.38,90.34,92.42,73.16,2.34,515.88,35.08,4.37,88.27,9.14,4.46,17.11,48.21,11.13,7.00,0.00,122.50,70.50,1450.49,668.84,6.00,8.91,0.29,1.82,0.00,0.32,144.93,334.48,189.13,51.68,79.19,84.02,532.61
Itaperuna,RJ,61.30,1106.69,107246.00,31887.02,74.00,67.21,42.70,73.24,83.64,94.60,44.51,80.35,71.77,55.83,60.89,25.19,56.44,46.13,43.05,79.92,697.34,127.13,13.62,4.92,93.49,95.95,86.72,51.56,94.49,96.88,84.29,99.31,77.80,8.03,35.23,30.88,0.13,0.58,4.53,22.45,5.54,5.10,96.89,22.44,88.38,95.60,75.24,2.58,453.86,24.55,5.94,83.96,4.97,4.75,4.16,51.24,2.74,4.00,5.00,164.17,72.57,1512.66,775.74,5.00,11.47,0.27,0.83,0.46,0.56,44.44,341.78,212.56,32.78,57.07,66.13,566.86
Miguel Pereira,RJ,61.21,287.93,28123.00,22655.03,71.11,67.28,45.25,71.86,70.27,85.29,57.02,76.88,74.82,52.26,65.14,36.79,55.43,55.12,33.67,84.64,1703.02,171.58,12.11,4.56,62.08,81.62,88.05,54.80,78.54,81.43,75.41,96.29,61.45,3.55,21.82,12.79,0.20,1.48,6.83,30.55,5.38,4.45,94.70,32.22,90.19,96.21,74.68,2.30,492.86,31.91,7.52,76.31,10.99,2.18,2.26,52.61,6.99,9.00,6.00,127.25,70.25,1615.64,877.17,6.00,12.57,0.29,0.92,0.00,0.68,0.00,595.72,251.85,1.99,41.08,47.57,562.91
Valença,RJ,61.19,1300.77,71462.00,44015.10,77.24,64.80,41.51,72.59,80.32,87.55,68.52,74.70,70.93,54.87,58.71,30.96,59.15,32.30,43.64,76.40,547.35,145.00,12.06,4.73,81.77,86.90,85.74,37.73,87.70,85.70,74.59,96.62,22.61,2.78,10.04,13.22,0.67,1.90,6.23,32.17,4.79,4.58,92.15,27.74,80.81,96.26,75.85,2.53,515.19,23.44,5.87,91.06,3.29,4.64,6.76,52.80,6.79,11.00,0.00,354.17,73.86,1476.89,524.10,10.00,14.00,0.28,2.47,0.16,0.31,425.53,592.20,621.60,43.54,60.09,71.24,557.45
Cambuci,RJ,61.08,558.28,15070.00,26774.19,79.39,62.77,41.08,72.45,79.24,95.47,70.39,76.92,58.20,57.94,58.01,13.24,52.74,72.78,25.55,70.74,2732.40,120.58,21.07,2.28,79.84,96.16,76.08,31.20,89.42,98.28,89.34,99.37,12.32,6.80,5.47,13.68,0.20,0.60,4.47,31.83,5.33,8.92,83.64,8.16,57.41,96.72,73.51,2.05,459.49,18.51,6.84,95.45,5.39,12.05,4.11,51.35,4.55,2.00,0.00,4110.25,63.00,1284.01,898.13,2.00,13.07,0.28,1.63,0.67,0.21,0.00,62.58,26.44,0.51,27.52,34.01,538.01
Mendes,RJ,61.07,95.32,18049.00,19962.61,79.14,61.48,42.60,68.55,84.67,89.70,73.64,71.49,63.61,45.87,64.96,26.59,56.96,47.01,39.84,70.74,1320.74,192.92,7.91,4.99,75.44,85.11,94.00,14.13,87.92,85.52,85.47,95.76,31.48,0.00,11.43,8.00,0.38,3.10,8.95,38.20,5.08,7.87,97.14,3.78,75.56,96.37,73.36,2.98,521.56,32.55,3.81,91.22,9.27,1.28,2.86,53.69,5.32,4.00,5.00,3923.00,66.25,1974.00,719.61,6.00,9.82,0.28,0.08,0.22,0.73,104.17,237.61,196.53,15.91,49.29,60.51,516.98
Santo Antônio de Pádua,RJ,60.89,603.63,43686.00,29620.97,77.45,63.77,41.44,70.16,89.24,93.57,56.83,80.23,63.88,51.65,59.34,19.26,57.96,50.24,38.29,61.87,2874.28,122.27,14.59,3.31,89.46,94.50,99.41,33.51,91.11,97.37,85.29,96.84,47.33,9.39,24.68,21.78,0.17,0.28,5.97,20.02,5.59,5.00,94.63,7.57,74.89,95.62,73.33,2.92,435.42,22.37,7.74,100.00,3.43,7.49,3.63,49.71,4.44,1.00,4.00,103.50,65.50,798.38,629.25,7.00,13.21,0.27,1.54,0.15,0.31,138.89,130.59,115.33,8.89,48.04,59.61,561.55
Bom Jesus do Itabapoana,RJ,60.67,596.66,37172.00,24609.83,77.43,64.69,39.90,61.02,83.77,96.03,68.90,78.25,68.34,51.78,60.39,9.45,57.26,55.21,37.69,38.46,2668.98,137.68,13.93,4.95,92.41,97.09,82.20,41.88,92.43,96.87,93.10,98.49,17.81,2.73,9.10,17.63,0.15,0.85,4.92,22.88,5.33,8.63,89.41,21.30,82.90,94.74,74.16,2.76,538.42,23.93,7.39,70.47,4.03,6.43,4.55,49.10,4.47,1.00,0.00,156.20,60.20,1909.49,855.18,5.00,13.54,0.26,2.63,0.00,0.30,0.00,230.45,229.14,25.43,45.78,57.69,549.18
Rio das Ostras,RJ,60.67,228.04,168099.00,53625.53,72.13,70.87,39.02,72.16,69.70,93.25,53.39,73.63,77.33,63.18,69.34,21.57,60.08,31.15,43.28,56.61,540.74,140.62,13.74,2.82,51.19,89.67,84.74,38.16,97.80,85.29,90.39,98.83,72.92,3.67,30.67,3.96,0.33,1.27,9.58,28.25,5.53,12.22,99.97,37.23,89.97,95.37,76.26,2.30,371.53,18.46,3.83,100.00,6.73,1.40,0.06,42.84,3.23,6.00,0.00,2108.86,65.50,1274.89,756.52,10.00,10.66,0.30,3.62,0.00,0.95,67.31,696.49,380.92,87.06,59.77,63.47,561.07
Armação dos Búzios,RJ,60.63,70.98,42442.00,70496.59,71.74,67.37,42.78,68.34,76.26,90.31,52.03,63.88,86.48,52.37,66.77,11.32,53.28,40.39,66.11,60.58,1412.71,176.56,14.18,3.48,88.33,10.66,97.25,26.19,85.64,80.05,89.34,99.57,74.05,6.92,33.99,11.50,1.13,6.05,11.98,40.77,4.97,16.82,100.00,65.87,90.22,96.28,74.44,2.94,429.69,26.58,7.00,86.94,12.00,1.72,0.50,50.04,15.02,2.00,0.00,807.00,82.60,1180.00,1089.12,3.00,11.76,0.30,3.18,0.22,0.97,57.14,556.60,384.68,38.88,104.35,116.61,549.09
Cardoso Moreira,RJ,60.36,522.60,13403.00,29722.38,72.17,61.75,47.17,77.12,65.06,88.24,58.24,71.76,59.45,55.45,60.32,16.19,53.04,86.85,32.58,96.15,493.63,152.30,24.80,2.54,73.63,62.37,67.63,53.65,75.90,80.80,85.91,99.10,13.56,10.11,18.01,32.41,1.68,2.52,7.02,30.63,4.74,8.28,74.53,14.05,64.94,96.67,71.93,2.04,446.61,18.34,12.35,90.00,5.74,10.93,3.86,47.75,4.96,4.00,0.00,774.00,65.60,1685.71,945.01,5.00,15.56,0.29,1.62,0.00,0.88,0.00,0.00,15.95,0.80,41.51,54.37,518.46
Arraial do Cabo,RJ,60.24,152.11,32794.00,83101.39,68.56,66.76,45.40,66.80,84.15,80.67,42.62,70.57,80.18,50.18,66.12,28.26,57.11,46.16,50.06,52.27,925.10,137.56,14.35,4.60,71.11,98.17,97.56,26.28,27.66,78.98,82.86,99.14,99.17,3.10,40.66,12.91,0.92,1.53,10.25,35.55,4.51,6.02,99.96,49.20,90.00,91.98,73.31,2.75,415.62,32.81,4.52,89.06,2.40,1.13,0.00,45.58,2.43,5.00,7.00,149.75,73.00,2830.86,1365.63,9.00,14.90,0.31,4.99,0.22,0.64,40.32,300.47,334.25,20.89,69.08,78.43,570.87
Petrópolis,RJ,60.17,791.14,294983.00,53493.95,74.70,66.46,39.36,72.81,80.48,77.16,68.37,71.98,76.78,52.53,64.56,23.25,58.98,26.90,48.29,80.41,735.52,170.77,15.67,3.72,66.19,86.63,96.03,24.36,23.74,84.91,65.12,97.94,21.29,2.57,10.40,11.62,0.58,3.62,8.75,30.37,4.88,7.90,98.98,34.00,92.32,96.13,75.79,2.63,513.95,27.68,6.88,86.32,10.40,1.90,1.04,54.12,5.71,3.00,4.00,178.50,64.72,1112.51,584.62,10.00,9.89,0.30,1.39,0.40,0.16,259.89,802.42,707.48,86.93,65.59,72.87,572.02
Nova Iguaçu,RJ,60.16,520.58,843046.00,21261.58,71.50,66.29,42.70,55.95,84.07,81.70,64.29,68.75,70.19,54.46,71.74,44.75,54.75,42.24,29.06,34.24,663.38,187.17,16.60,6.27,76.19,92.59,90.43,19.22,90.37,64.30,71.71,96.62,45.59,2.18,20.36,10.56,1.27,3.93,8.43,34.55,4.15,7.68,100.00,13.51,90.16,96.00,74.08,3.09,507.59,17.67,2.44,78.91,35.68,0.93,0.18,47.22,3.32,11.00,8.00,109.62,64.21,1835.33,926.22,8.00,13.84,0.30,0.43,0.00,0.58,56.84,773.61,161.62,23.53,34.01,40.67,536.48
Macaé,RJ,60.12,1216.99,264138.00,67678.90,67.38,65.07,47.90,66.67,78.57,88.85,35.43,68.39,72.40,55.12,64.36,28.66,56.45,32.49,74.01,40.22,707.99,145.55,13.63,3.48,74.61,80.59,86.00,28.48,88.91,82.35,78.91,99.32,121.33,8.33,44.32,10.07,1.43,2.83,10.32,36.68,5.09,12.83,98.19,22.03,90.05,96.05,74.66,2.44,417.44,29.76,4.46,84.06,8.30,4.47,0.49,47.30,9.18,5.00,6.00,81.00,71.91,1129.51,1005.33,7.00,11.68,0.29,1.74,0.47,0.38,118.69,557.56,313.27,90.46,157.20,134.95,572.00
Quissamã,RJ,60.04,719.64,23126.00,261207.75,71.81,63.89,44.41,76.38,71.32,94.89,44.64,71.32,68.02,51.58,64.64,34.57,54.72,52.68,35.68,87.86,1568.11,152.40,11.58,3.47,70.91,87.89,70.72,41.36,93.35,94.94,88.84,99.07,118.82,6.94,35.73,7.81,0.23,3.65,7.58,33.90,5.09,13.05,97.33,16.92,77.05,96.34,74.23,2.83,415.38,30.89,5.58,87.31,6.79,6.19,3.13,43.46,7.18,6.00,8.00,446.00,69.20,2418.67,966.22,6.00,16.77,0.27,1.49,0.36,0.93,0.00,917.45,712.66,2.41,44.79,52.81,542.03
Varre-Sai,RJ,59.76,201.94,10559.00,25199.58,76.23,64.17,38.87,77.34,50.48,93.10,84.00,75.13,65.54,59.06,56.95,8.28,50.35,63.35,33.50,90.78,1226.27,174.49,9.21,3.31,40.11,77.71,41.68,37.96,68.13,95.41,95.92,98.59,0.00,0.00,2.45,14.70,0.08,0.52,6.93,30.25,4.58,5.67,89.99,18.94,70.56,96.06,73.58,1.56,458.16,17.84,12.25,100.00,0.20,5.08,0.98,52.84,7.86,1.00,0.00,94.80,70.00,2203.60,765.16,2.00,15.86,0.28,0.38,0.22,0.44,0.00,100.34,217.20,0.00,42.62,56.62,526.32
Vassouras,RJ,59.60,536.07,35904.00,37068.77,73.10,64.35,41.36,70.77,79.36,87.03,55.23,72.25,72.47,49.32,63.37,12.59,57.44,30.39,65.02,81.07,1353.22,168.19,19.36,3.88,78.08,87.38,84.96,34.97,90.21,79.36,79.51,95.73,60.04,4.16,22.96,32.38,0.13,1.33,7.62,36.30,4.82,10.63,95.68,29.26,86.19,92.92,73.79,2.78,547.19,27.79,3.68,83.51,6.57,4.90,6.18,47.09,5.62,3.00,0.00,106.40,74.67,1622.57,797.79,7.00,12.28,0.29,3.07,0.00,0.39,363.64,1197.62,1235.50,26.55,101.50,112.42,547.93
Cantagalo,RJ,59.54,747.21,19996.00,42386.65,74.59,63.91,40.11,70.58,73.36,86.03,68.41,77.16,70.71,53.47,54.31,13.10,52.03,57.58,37.74,78.08,2278.26,148.36,13.30,4.58,77.71,78.50,73.74,40.23,90.81,84.11,69.00,95.98,17.84,3.35,10.31,19.60,0.35,0.95,4.98,27.72,4.97,5.65,84.32,33.35,81.46,95.17,74.29,2.71,446.31,23.95,11.35,77.95,1.45,124.39,3.61,38.55,6.76,2.00,0.00,95.75,56.75,1152.20,677.08,6.00,15.76,0.31,1.15,0.18,0.00,0.00,303.88,313.23,0.00,54.14,62.09,544.11
Maricá,RJ,59.53,361.57,211986.00,407766.27,66.64,67.43,44.52,69.72,39.82,91.79,65.24,71.27,72.48,56.69,69.27,40.32,61.08,40.66,36.02,61.02,933.68,154.68,13.14,3.88,18.80,45.96,50.23,43.03,93.34,85.07,86.49,99.06,36.47,2.93,18.04,11.86,0.20,3.78,8.57,32.12,4.86,10.48,99.82,21.46,90.01,95.59,75.99,2.20,420.75,32.90,3.85,83.64,12.66,1.53,0.30,47.54,9.23,9.00,7.00,452.86,74.57,1152.75,794.99,11.00,12.32,0.28,1.79,0.19,0.50,62.86,301.44,310.11,51.18,45.68,54.04,546.69
Araruama,RJ,59.43,638.28,137773.00,30957.99,70.54,66.63,41.12,70.58,79.90,88.46,43.23,70.04,75.12,56.12,65.27,25.23,56.85,43.06,39.35,60.03,203.88,136.20,15.25,3.95,82.90,54.22,95.53,30.61,89.41,86.63,74.87,97.61,103.34,5.30,39.18,20.98,0.78,4.10,7.62,36.97,4.58,8.57,98.52,31.34,90.28,94.93,75.32,2.99,398.52,21.84,8.17,84.08,9.08,2.05,1.85,50.95,5.71,2.00,8.00,85.57,80.57,1702.79,970.37,10.00,14.38,0.30,1.39,0.12,0.77,49.38,350.75,311.74,33.66,52.04,60.94,553.22
São Sebastião do Alto,RJ,59.29,397.21,7999.00,30385.10,71.08,60.32,46.48,70.96,55.18,85.16,73.04,75.77,57.75,52.45,55.30,23.84,53.11,69.31,39.67,60.38,3234.87,105.58,13.97,3.12,53.79,66.39,51.08,44.82,66.33,83.42,76.82,98.03,18.23,0.00,12.90,22.58,0.48,0.95,6.93,28.78,4.86,4.52,72.76,16.80,56.55,95.03,72.35,3.05,425.77,19.77,16.13,51.47,0.00,21.41,55.48,41.90,5.69,2.00,5.00,109.00,69.00,589.42,584.74,4.00,14.63,0.28,1.07,0.67,0.00,,50.89,112.76,1.18,55.30,71.17,515.24
Itaocara,RJ,59.14,433.18,23643.00,27092.08,73.31,66.46,37.66,71.92,78.52,80.85,61.93,80.76,68.55,55.87,60.64,21.91,55.74,39.94,33.07,67.14,1400.92,144.90,12.39,3.60,80.49,82.18,83.56,37.27,13.90,91.93,76.49,99.45,12.07,8.44,12.22,24.43,0.22,0.15,4.52,21.70,5.58,4.90,92.04,18.57,84.84,94.92,74.18,2.85,475.00,14.62,12.22,73.68,3.76,6.95,4.36,47.95,4.03,3.00,1.00,1636.00,57.50,374.41,487.47,4.00,12.87,0.26,1.66,0.55,0.50,800.00,276.82,382.62,23.56,37.57,46.25,562.85
Barra do Piraí,RJ,58.89,584.61,98501.00,27753.25,73.09,65.02,38.56,71.10,77.09,86.68,57.49,72.57,73.87,56.13,57.49,25.37,53.64,37.90,37.31,65.76,1488.66,137.60,13.73,3.77,82.38,89.28,91.65,69.18,90.06,84.66,68.45,97.91,52.61,4.56,20.67,9.26,0.37,2.72,7.38,35.03,4.67,6.53,99.72,30.92,82.27,95.90,74.14,2.48,436.37,20.98,5.38,100.00,5.01,6.43,1.83,54.81,10.56,9.00,0.00,178.83,69.33,1423.39,917.62,5.00,14.14,0.29,0.72,0.18,0.89,148.81,428.59,519.13,39.09,44.43,53.79,570.77
Paty do Alferes,RJ,58.87,314.34,31345.00,22008.69,68.28,66.06,42.28,70.08,56.96,80.36,65.71,71.77,68.74,56.27,67.44,13.39,54.34,71.18,30.22,77.78,1411.11,173.95,15.61,4.25,58.53,35.89,71.10,52.29,85.06,71.55,60.88,96.55,45.50,6.53,16.88,8.44,0.15,3.60,9.42,32.20,5.35,11.68,94.24,23.63,77.56,93.39,73.34,2.10,464.08,23.87,3.38,90.00,12.38,3.06,4.39,47.25,8.97,1.00,3.00,136.25,72.75,2348.13,1018.59,6.00,14.34,0.28,0.00,0.18,0.31,0.00,6.53,304.96,4.33,38.89,46.80,526.12
Engenheiro Paulo de Frontin,RJ,58.76,139.38,12648.00,32393.52,69.58,64.55,42.17,67.53,53.26,89.07,68.45,78.56,62.82,53.50,63.31,25.41,51.75,56.35,35.15,90.48,1504.47,199.13,27.85,4.11,44.02,71.30,55.90,49.23,94.65,86.05,77.69,96.06,14.27,5.20,10.21,2.04,0.17,1.57,4.53,26.33,5.02,2.77,95.41,1.66,77.28,96.01,73.32,2.63,547.05,15.90,4.08,100.00,1.06,1.66,2.45,47.37,5.06,6.00,3.00,85.25,70.75,1454.92,666.87,3.00,13.88,0.29,0.16,0.44,0.40,0.00,442.92,434.51,4.56,43.60,56.81,536.11
Rio Bonito,RJ,58.51,459.46,59113.00,31207.76,71.50,67.72,36.30,67.73,62.48,87.23,68.55,72.20,72.10,59.79,66.77,13.18,55.46,37.22,39.35,47.03,1125.75,127.06,15.14,3.69,47.51,85.52,70.47,42.65,92.76,75.49,78.74,98.48,19.07,3.44,9.95,15.99,0.63,2.60,6.28,35.10,4.63,8.50,97.89,23.96,86.69,95.50,74.16,2.52,401.70,18.89,3.55,81.86,8.57,3.26,2.67,44.06,10.63,4.00,0.00,96.20,72.40,1892.41,1256.42,6.00,11.34,0.29,0.50,0.00,0.90,583.33,431.63,377.69,20.07,53.97,62.28,530.19
Iguaba Grande,RJ,58.49,50.98,29577.00,21503.81,76.05,66.16,33.26,73.51,77.85,90.50,62.36,71.72,77.47,49.47,65.97,13.68,53.36,37.58,28.44,80.81,136.89,175.18,14.18,3.88,88.29,31.71,97.43,36.07,91.27,86.69,88.70,93.92,46.10,5.09,25.07,8.60,0.25,4.65,8.15,36.98,5.19,8.17,100.00,37.25,90.11,95.75,75.44,3.11,521.97,31.21,5.01,70.55,6.14,1.38,0.00,49.14,1.98,5.00,0.00,102.25,77.25,2393.00,1652.88,3.00,12.05,0.28,0.78,0.18,0.60,220.59,624.07,626.99,19.22,35.95,42.39,530.17
Paracambi,RJ,58.47,190.95,43656.00,26831.91,77.21,64.44,33.75,70.62,77.13,95.97,65.11,71.62,65.62,51.01,69.53,16.89,57.50,32.96,27.64,64.17,965.30,185.80,8.19,3.72,81.71,97.20,66.19,30.25,95.80,93.55,95.20,98.16,50.28,1.55,18.37,7.25,1.32,3.33,8.98,27.42,4.92,8.45,99.15,9.86,79.56,91.81,73.73,2.62,519.54,25.50,4.83,92.77,6.18,1.92,5.08,39.75,4.61,6.00,0.00,176.25,65.50,8150.38,1196.92,5.00,11.78,0.27,2.88,0.00,0.55,375.00,1014.45,784.37,18.57,29.06,34.15,562.17
Laje do Muriaé,RJ,58.40,253.53,7584.00,24460.63,70.93,57.40,46.86,67.78,78.89,96.99,40.05,75.31,50.23,42.39,61.68,32.59,53.34,64.57,36.94,85.58,758.52,182.79,24.65,4.83,89.80,76.48,81.22,44.17,94.42,98.79,94.02,98.47,76.00,20.10,35.44,3.41,0.30,1.73,5.85,30.10,4.83,6.35,90.37,7.92,9.23,98.54,72.97,3.54,529.80,23.65,18.18,88.08,3.40,8.34,2.73,44.54,4.34,5.00,7.00,178.25,58.50,1852.45,607.16,2.00,11.09,0.27,0.16,0.00,0.68,0.00,107.18,80.76,2.41,53.50,67.38,507.69
Queimados,RJ,58.37,75.93,149093.00,29468.58,70.37,64.50,40.25,66.94,79.36,79.66,55.52,67.01,68.96,50.26,71.77,31.86,51.78,49.86,27.51,56.88,713.63,156.80,16.89,4.23,79.51,89.19,85.31,39.90,89.38,58.09,70.76,96.40,54.61,4.08,25.48,7.40,1.02,3.47,10.00,39.73,4.23,9.80,100.00,14.81,83.95,94.58,73.58,3.62,473.24,20.09,4.13,83.64,14.16,1.23,0.50,46.60,1.24,7.00,5.00,1274.71,69.57,2099.28,837.43,4.00,14.65,0.29,0.38,0.12,0.33,70.18,238.65,96.09,9.71,33.58,39.22,515.19
Saquarema,RJ,58.33,352.13,95201.00,446277.97,69.77,66.15,39.07,72.01,56.66,86.28,64.12,69.91,74.66,54.87,65.15,20.43,52.51,41.92,41.43,58.28,647.77,118.59,12.64,3.73,32.72,19.53,95.97,32.98,90.43,76.58,75.29,98.11,43.57,3.25,20.77,13.40,0.55,3.72,9.17,36.52,5.04,11.58,99.59,28.12,91.18,95.33,73.26,2.66,375.33,24.92,3.35,100.00,11.18,1.82,1.23,52.96,10.62,8.00,0.00,77.00,75.60,2263.85,1287.99,4.00,13.99,0.29,0.42,0.45,0.65,147.37,532.47,400.26,18.30,53.73,65.89,546.65
Silva Jardim,RJ,58.24,937.75,22026.00,27560.31,68.03,64.29,42.39,76.13,66.91,79.18,49.90,68.21,66.83,62.34,59.80,22.26,53.51,55.87,37.94,90.69,1133.66,152.77,17.77,3.15,41.94,69.80,80.86,11.64,92.55,61.31,57.92,99.61,65.08,11.56,25.29,22.48,0.43,4.00,8.92,41.05,4.42,9.93,87.28,23.43,74.48,94.93,72.60,2.81,435.77,14.56,2.34,16.26,3.49,8.89,1.41,46.89,9.92,2.00,6.00,131.25,68.25,1620.37,1089.65,4.00,14.55,0.29,2.73,0.22,0.49,0.00,462.53,313.97,5.81,56.74,68.29,517.86
Cachoeiras de Macacu,RJ,58.05,954.75,59837.00,21977.11,73.40,64.07,36.68,73.85,79.14,86.88,53.72,67.59,71.41,54.27,63.01,23.11,52.67,42.87,28.08,71.18,960.56,155.25,12.49,3.08,77.00,79.00,79.08,16.48,87.00,86.13,68.60,98.43,73.69,4.81,29.85,23.18,3.13,2.27,8.97,37.37,4.42,6.88,97.04,26.85,78.93,96.32,74.01,2.84,444.32,18.42,10.89,88.89,2.45,2.72,2.11,46.78,6.95,6.00,0.00,1062.60,56.20,1051.56,669.73,5.00,13.71,0.31,3.09,0.00,0.31,56.82,453.67,223.59,24.97,31.21,37.77,540.30
Angra dos Reis,RJ,58.02,813.42,179120.00,62952.00,65.50,63.39,45.17,69.10,81.79,84.94,26.18,67.97,73.49,55.43,56.69,41.78,55.27,45.25,38.41,54.16,787.17,143.12,14.33,3.68,87.90,63.79,91.97,31.99,67.13,81.33,76.89,98.55,187.74,6.30,64.51,17.44,0.80,3.32,8.98,38.30,4.56,12.98,98.12,26.17,89.94,95.43,75.75,2.82,459.56,25.60,5.38,73.81,2.68,1.76,0.00,62.22,4.27,5.00,11.00,705.38,66.33,763.41,855.95,7.00,12.22,0.31,1.93,0.27,0.73,33.21,531.94,132.75,35.61,54.85,59.07,542.15
Itaguaí,RJ,57.98,282.61,123980.00,85331.66,73.32,61.24,39.37,71.84,81.58,85.97,53.89,68.82,69.16,48.47,58.50,20.59,54.98,37.93,44.00,75.05,671.31,176.73,15.58,3.52,90.87,95.51,77.22,41.01,95.87,60.59,86.98,99.27,63.50,4.68,29.44,14.21,1.12,4.12,9.28,34.35,4.26,7.13,98.54,12.85,89.06,94.95,73.84,3.65,498.41,20.72,5.65,89.93,2.93,3.62,3.08,54.70,6.08,7.00,0.00,139.86,68.86,1653.07,1025.63,7.00,14.46,0.30,2.58,0.36,0.70,70.18,355.30,279.27,73.70,65.22,68.64,533.88
