Município,UF,Índice de Progresso Social,ÁREA km²,POPULAÇÃO 2024,PIB PER CAPITA,Necessidades Humanas Básicas,Fundamentos do Bem-estar,Oportunidades,Nutrição e Cuidados Médicos Básicos,Água e Saneamento,Moradia,Segurança Pessoal,Acesso ao Conhecimento Básico,Acesso à Informação e Comunicação,Saúde e Bem-estar,Qualidade do Meio Ambiente,Direitos Individuais,Liberdades Individuais e de Escolha,Inclusão Social,Acesso à Educação Superior,Cobertura Vacinal (Poliomielite),Hospitalizações por Condições Sensíveis à Atenção Primária,Mortalidade Ajustada por Condições Sensíveis à Atenção Primária,Mortalidade Infantil até 5 Anos,Subnutrição,Abastecimento de Água via Rede de Distribuição,Esgotamento Sanitário Adequado,Índice de Abastecimento de Água,Índice de Perdas de Água na Distribuição,Domicílios com Coleta de Resíduos Adequada,Domicílios com Iluminação Elétrica Adequada,Domicílios com Paredes Adequadas,Domicílios com Piso Adequado,Assassinatos de Jovens,Assassinatos de Mulheres,Homicídios,Mortes por Acidente de Transporte,Abandono no Ensino Fundamental,Abandono no Ensino Médio,Evasão no Ensino Médio,Distorção Idade-Série no Ensino Médio,Ideb Ensino Fundamental,Reprovação Escolar no Ensino Médio,Cobertura de Internet Móvel (4G/5G),Densidade de Internet Banda Larga Fixa,Densidade de Telefonia Móvel,Qualidade de Internet Móvel,Expectativa de Vida,Mortalidade entre 15 e 50 anos,Mortalidade por Doenças Crônicas Não Transmissíveis,Obesidade,Suicídios,Consumo de Alimentos Ultraprocessados,Áreas Verdes Urbanas,Emissões de CO₂e por Habitante,Focos de Calor,Índice de Vulnerabilidade Climática dos Municípios,Supressão da Vegetação Primária e Secundária,Acesso a Programas de Direitos Humanos,Existência de Ações para Direitos de Minorias,Índice de Atendimento à Demanda de Justiça,Taxa de Congestionamento Líquido de Processos,Resposta a Processos Previdenciários,Resposta a Processos Familiares,"Acesso à Cultura, Lazer e Esporte",Gravidez na Adolescência (<19 anos),Índice de Vulnerabilidade das Famílias do CadÚnico (IVCAD),Praças e Parques em Áreas Urbanas,Paridade de Gênero na Câmara Municipal,Paridade de Negros na Câmara Municipal,Violência contra Indígenas,Violência contra Mulheres,Violência contra Negros,Famílias em Situação de Rua,Empregados com Ensino Superior,Mulheres Empregadas com Ensino Superior,Nota Mediana do Enem
Areal,RJ,64.03,110.72,12236.00,35188.32,83.29,65.55,43.24,76.71,83.02,90.16,83.27,74.88,74.97,54.72,57.64,11.81,56.15,60.44,44.57,90.02,1015.74,144.00,16.55,3.30,70.79,62.94,99.92,5.19,96.36,83.16,80.44,98.67,0.00,0.00,4.23,15.22,0.10,1.80,6.72,34.60,5.01,5.70,97.74,38.52,77.56,96.61,74.35,2.13,465.88,23.98,12.68,89.29,4.87,3.38,1.69,58.79,6.76,2.00,0.00,366.22,70.00,1543.04,824.65,4.00,11.91,0.26,1.33,0.00,0.22,0.00,198.77,139.63,1.62,68.03,80.61,508.40
Rio Claro,RJ,63.94,846.80,17950.00,24465.38,78.07,61.75,51.98,80.68,74.30,93.17,64.15,73.84,61.67,51.79,59.70,56.12,56.91,54.39,40.50,94.50,821.40,138.87,12.50,2.79,75.99,87.42,69.41,31.96,88.63,92.78,90.62,96.58,39.39,3.75,20.69,11.49,0.40,1.87,7.58,36.05,5.13,6.38,90.12,5.03,73.10,95.58,73.07,2.75,428.92,27.37,5.75,85.67,0.60,7.93,2.87,44.34,11.19,16.00,12.00,71.25,75.50,1427.64,906.27,5.00,13.56,0.28,5.52,0.00,0.59,0.00,324.21,432.77,11.97,54.61,67.46,522.18
Volta Redonda,RJ,63.93,182.10,279898.00,70793.22,76.88,67.82,47.09,71.38,90.21,92.86,53.05,73.43,77.01,59.88,60.96,33.18,61.12,39.53,54.52,67.89,1221.81,131.89,13.52,4.18,98.56,99.20,99.95,50.77,95.41,90.96,83.53,98.93,90.09,4.47,31.50,10.25,1.10,2.08,9.98,24.95,5.41,8.87,99.99,35.91,90.12,95.59,74.98,2.71,431.34,21.69,4.82,46.24,6.79,8.86,0.76,48.98,6.00,8.00,6.00,92.94,68.30,2171.75,1233.34,9.00,9.11,0.28,3.48,0.19,0.56,75.76,205.74,237.92,71.40,76.62,85.03,579.03
São João da Barra,RJ,63.87,452.40,38708.00,257286.59,72.49,63.15,55.98,74.70,65.25,93.89,56.10,70.18,69.40,52.66,60.34,28.23,56.23,66.46,72.98,91.69,2013.47,194.82,14.36,2.86,68.43,42.21,84.51,54.29,97.06,88.11,89.25,99.55,54.81,3.20,24.06,19.14,1.65,1.53,7.38,37.00,4.64,10.02,97.58,14.70,90.50,93.34,73.02,2.67,491.63,19.98,11.48,74.59,2.48,7.18,0.00,43.91,20.97,5.00,6.00,421.40,83.40,2194.14,806.96,5.00,14.04,0.31,10.91,0.31,0.90,0.00,77.84,126.56,1.40,134.64,144.50,533.93
Nilópolis,RJ,63.65,19.39,155544.00,19813.17,78.16,66.04,46.75,61.43,89.77,93.27,68.17,71.24,70.89,53.19,68.86,36.34,49.00,74.48,27.17,25.30,335.54,148.79,20.98,3.38,95.40,99.80,99.34,46.57,99.25,92.67,91.83,92.45,17.96,2.55,10.90,2.32,0.88,2.88,7.60,28.78,4.43,9.78,100.00,26.30,74.63,95.73,73.99,3.37,463.84,17.43,3.27,92.00,48.39,0.99,0.27,53.08,1.43,9.00,7.00,95.00,69.33,2595.86,1435.13,6.00,11.76,0.36,0.31,0.17,0.38,0.00,6.07,77.97,9.00,28.96,34.09,547.53
Itatiaia,RJ,63.57,241.03,32694.00,212386.16,74.77,66.90,49.02,69.39,86.19,91.35,52.17,72.14,73.93,59.75,61.80,29.46,53.57,43.42,69.64,57.27,1156.61,109.10,15.31,4.37,92.66,91.23,98.51,52.23,93.60,88.59,84.49,96.61,86.19,4.70,33.65,5.82,0.83,4.22,7.70,32.03,4.90,6.67,99.07,26.71,90.29,95.35,75.16,3.00,350.17,18.51,7.12,75.57,7.63,4.41,2.26,52.36,5.21,4.00,7.00,1701.50,66.75,1853.00,1128.20,4.00,11.85,0.29,0.50,0.15,0.72,46.30,578.20,161.01,32.83,119.99,113.95,528.72
São Pedro da Aldeia,RJ,63.55,332.49,110556.00,24998.10,73.23,67.41,50.02,70.89,85.92,84.82,51.30,70.31,74.04,62.73,62.55,42.89,57.04,62.59,37.54,51.06,260.07,107.46,11.14,4.25,86.69,88.38,94.17,32.09,88.37,72.66,73.05,99.03,91.94,4.66,35.76,10.96,0.95,3.37,8.82,32.87,4.60,8.57,99.57,27.11,90.07,95.02,73.03,2.45,377.77,14.27,5.00,61.11,11.97,1.43,1.25,60.89,5.82,9.00,9.00,114.33,71.33,1286.20,930.64,9.00,12.66,0.30,0.92,0.20,0.52,0.00,84.63,83.95,27.68,46.68,58.73,543.78
Comendador Levy Gasparian,RJ,63.51,108.64,9044.00,67269.35,83.51,64.44,42.57,77.64,89.13,91.74,75.51,72.09,73.80,52.89,58.98,13.83,54.99,62.48,38.99,87.17,517.73,135.38,16.88,3.03,96.01,95.49,99.32,47.54,97.30,88.04,82.28,98.06,33.00,0.00,6.86,8.58,0.07,3.92,10.40,42.83,5.68,5.42,98.68,31.51,81.97,96.11,72.11,2.71,448.23,19.99,7.63,86.71,4.23,4.91,2.29,53.35,6.96,3.00,0.00,366.22,70.00,1543.04,824.65,4.00,11.12,0.28,0.46,0.22,0.33,0.00,99.01,111.28,18.49,55.34,63.06,525.20
Miracema,RJ,63.27,303.27,28411.00,23477.74,77.81,64.60,47.39,74.99,85.78,94.90,55.59,79.62,65.40,52.70,60.69,26.93,57.46,73.78,31.37,77.53,1750.54,111.08,13.52,3.74,89.99,98.47,94.42,48.55,93.50,97.80,86.27,98.64,68.16,5.38,25.30,9.67,0.07,0.45,5.45,31.70,5.88,3.78,97.88,11.19,72.04,96.56,73.32,2.97,398.58,22.15,8.93,94.20,3.07,4.21,1.86,50.22,4.32,9.00,0.00,217.40,58.40,1347.77,789.90,6.00,13.75,0.28,4.65,0.00,0.43,0.00,17.22,27.19,3.40,37.45,42.82,542.75
Três Rios,RJ,63.18,322.84,82300.00,77697.63,74.58,66.18,48.79,70.82,94.40,88.45,44.64,74.31,74.52,49.92,65.97,49.70,54.85,40.66,49.96,62.45,683.48,151.68,14.73,3.50,97.21,98.08,99.12,22.49,86.17,88.91,84.83,91.12,103.51,6.66,35.74,25.27,0.75,2.27,6.77,30.82,4.89,5.52,99.49,27.93,90.28,95.82,73.03,3.16,479.64,21.88,7.15,87.56,5.10,2.63,2.43,44.09,5.96,9.00,12.00,366.22,70.00,1543.04,824.65,7.00,13.47,0.30,1.95,0.27,0.44,114.29,267.42,160.92,59.07,72.90,80.25,555.27
