Município,UF,Índice de Progresso Social,ÁREA km²,POPULAÇÃO 2022,PIB PER CAPITA,Necessidades Humanas Básicas,Fundamentos do Bem-estar,Oportunidades,Nutrição e Cuidados Médicos Básicos,Água e Saneamento,Moradia,Segurança Pessoal,Acesso ao Conhecimento Básico,Acesso à Informação e Comunicação,Saúde e Bem-estar,Qualidade do Meio Ambiente,Direitos Individuais,Liberdades Individuais e de Escolha,Inclusão Social,Acesso à Educação Superior,Cobertura Vacinal (Poliomielite),Hospitalizações por Condições Sensíveis à Atenção Primária,Mortalidade Ajustada por Condições Sensíveis à Atenção Primária,Mortalidade Infantil até 5 Anos,Subnutrição,Abastecimento de Água via Rede de Distribuição,Esgotamento Sanitário Adequado,Índice de Abastecimento de Água,Índice de Perdas de Água na Distribuição,Domicílios com Coleta de Resíduos Adequada,Domicílios com Iluminação Elétrica Adequada,Domicílios com Paredes Adequadas,Domicílios com Piso Adequado,Assassinatos de Jovens,Assassinatos de Mulheres,Homicídios,Mortes por Acidente de Transporte,Abandono no Ensino Fundamental,Abandono no Ensino Médio,Evasão no Ensino Médio,Distorção Idade-Série no Ensino Médio,Ideb Ensino Fundamental,Reprovação Escolar no Ensino Médio,Cobertura de Internet Móvel (4G/5G),Densidade de Internet Banda Larga Fixa,Densidade de Telefonia Móvel,Qualidade de Internet Móvel,Expectativa de Vida,Mortalidade entre 15 e 50 anos,Mortalidade por Doenças Crônicas Não Transmissíveis,Obesidade,Suicídios,Áreas Verdes Urbanas,Emissões de CO₂e por Habitante,Focos de Calor,Índice de Vulnerabilidade Climática dos Municípios,Supressão da Vegetação Primária e Secundária,Acesso a Programas de Direitos Humanos,Existência de Ações para Direitos de Minorias,Índice de Atendimento à Demanda de Justiça,Taxa de Congestionamento Líquido de Processos,"Acesso à Cultura, Lazer e Esporte",Gravidez na Adolescência (<19 anos),Trabalho Infantil,Praças e Parques em Áreas Urbanas,Paridade de Gênero na Câmara Municipal,Paridade de Negros na Câmara Municipal,Violência contra Indígenas,Violência contra Mulheres,Violência contra Negros,Empregados com Ensino Superior,Mulheres Empregadas com Ensino Superior,Nota Média no Enem
Guapimirim,RJ,55.63,358.44,51696.00,26577.90,64.06,66.13,36.71,65.07,64.62,82.25,44.32,72.00,71.53,52.95,68.03,23.96,41.61,41.66,39.60,65.65,787.46,198.25,14.79,4.80,58.26,86.92,73.56,56.97,91.87,71.74,61.61,98.41,63.13,4.55,36.75,17.41,0.40,4.10,3.90,32.60,5.10,7.50,99.91,23.48,81.79,95.23,73.69,2.70,571.00,24.34,9.67,3.57,1.90,0.19,51.43,5.78,3.00,7.00,48.04,83.89,5.00,13.76,1.43,1.05,0.00,0.53,232.56,335.08,167.50,58.60,76.83,545.14
Queimados,RJ,55.51,75.93,140523.00,31265.76,68.38,66.44,31.70,66.15,80.24,79.25,47.87,66.55,70.24,53.33,75.65,24.44,37.72,39.99,24.67,59.10,535.09,167.43,15.39,5.74,79.20,89.13,90.67,42.36,89.03,57.78,69.44,96.31,64.40,4.63,29.89,3.56,1.00,3.80,6.40,36.90,4.55,11.50,100.00,18.17,83.92,94.55,73.58,3.28,453.19,27.47,6.40,14.16,1.03,0.36,46.60,0.82,5.00,3.00,88.04,85.26,4.00,14.76,2.53,0.38,0.22,0.24,52.63,446.27,102.02,33.65,40.06,521.58
Saquarema,RJ,55.17,352.13,89559.00,474392.40,68.99,67.92,28.59,71.95,54.15,86.46,63.41,69.81,75.90,55.59,70.37,8.32,42.39,27.51,36.13,62.54,469.88,125.07,11.45,5.05,31.76,18.75,93.58,36.43,90.65,76.94,75.34,98.13,36.61,2.17,20.10,10.05,0.40,4.10,7.80,34.20,5.35,11.80,99.67,31.27,92.78,93.71,73.26,2.79,389.39,30.52,3.35,11.18,1.39,0.89,52.96,5.15,2.00,0.00,42.22,89.13,4.00,14.54,0.00,0.42,0.45,0.65,210.53,667.22,582.35,47.85,65.64,564.62
Itaocara,RJ,54.82,433.18,22919.00,27947.91,69.75,68.78,25.92,67.62,76.70,80.78,53.90,78.56,69.56,56.63,70.38,15.19,40.09,16.19,32.22,22.94,685.02,140.41,12.55,3.76,80.51,82.19,75.66,33.64,11.82,92.10,76.71,99.41,19.32,16.88,26.18,8.73,0.30,0.10,1.50,20.20,5.65,9.30,92.53,22.88,81.69,95.25,74.18,2.47,516.35,25.03,4.36,3.76,5.81,6.11,47.95,1.83,2.00,0.00,67.62,72.86,4.00,13.81,2.71,1.66,0.35,0.25,2000.00,210.99,398.57,39.11,52.12,577.35
Carapebus,RJ,54.29,304.88,13847.00,52868.81,63.94,66.73,32.20,69.49,40.27,87.52,58.49,73.81,65.11,59.33,68.66,14.94,45.80,32.51,35.56,43.97,136.43,109.12,15.38,6.59,24.90,85.09,23.31,41.51,82.15,84.99,74.35,98.99,54.70,14.49,14.44,14.44,0.30,0.30,6.50,27.40,5.05,5.60,99.45,6.71,80.40,91.45,73.30,2.78,332.99,25.43,7.22,1.77,4.47,1.44,50.64,1.30,2.00,0.00,112.18,89.62,4.00,6.92,2.47,1.15,0.36,0.80,625.00,376.76,319.32,55.45,75.09,502.27
Japeri,RJ,53.19,81.70,96289.00,16007.80,68.42,63.07,28.09,61.57,75.96,73.40,62.74,65.31,62.22,54.32,70.44,29.25,34.69,23.97,24.44,25.33,407.35,181.91,20.19,5.74,67.74,76.16,92.00,34.52,85.97,35.62,70.42,96.45,26.33,2.13,21.81,5.19,1.60,7.00,5.50,35.00,4.30,7.90,100.00,1.54,70.67,94.33,73.51,3.11,498.76,25.69,1.04,7.53,0.61,0.10,52.06,0.68,1.00,3.00,239.83,86.26,3.00,15.28,1.14,0.06,0.00,0.59,250.00,567.90,615.06,31.80,47.35,503.34
Tanguá,RJ,53.04,143.01,31086.00,22505.93,61.37,65.30,32.45,70.09,30.69,83.27,61.42,65.88,71.64,52.47,71.22,34.54,33.75,25.67,35.84,57.81,567.37,154.76,13.16,4.25,45.43,37.36,20.10,86.11,95.66,67.47,67.25,99.31,13.15,6.27,16.08,3.22,0.70,4.70,8.70,38.10,5.00,15.80,99.42,28.27,76.77,94.66,72.55,2.85,406.75,29.03,16.08,5.54,3.10,0.97,47.33,3.88,2.00,8.00,126.87,72.32,3.00,16.32,0.66,0.07,0.30,0.42,322.58,683.34,1010.51,52.32,68.82,535.56
Magé,RJ,53.00,390.77,228127.00,21043.69,58.30,65.98,34.71,66.04,36.21,82.71,48.24,68.42,70.49,51.60,73.40,31.11,56.87,23.16,27.71,79.86,550.17,213.42,17.76,5.10,38.80,76.02,19.83,76.56,92.10,72.37,63.21,98.17,58.76,5.10,28.93,2.63,0.50,6.40,6.50,32.20,4.80,10.10,99.82,16.60,86.59,95.32,74.91,3.28,565.65,27.28,6.58,13.31,1.09,0.00,50.06,2.06,4.00,6.00,115.81,82.30,7.00,13.03,0.30,9.76,0.00,0.34,141.51,876.41,573.92,35.18,47.05,540.10
Itaboraí,RJ,53.00,429.96,224267.00,25335.49,57.20,67.18,34.61,68.72,30.25,80.29,49.53,67.81,69.83,55.04,76.03,29.84,49.77,29.33,29.51,49.68,523.70,158.85,13.21,4.48,23.47,69.77,21.04,75.99,88.62,63.93,65.21,97.53,61.97,2.57,32.55,18.28,1.20,4.30,6.50,34.00,4.85,10.60,99.82,14.33,86.91,95.17,73.75,2.77,451.26,28.69,4.90,12.61,1.55,0.49,43.26,3.92,4.00,3.00,126.87,72.32,8.00,11.33,1.06,0.52,0.00,0.66,39.68,451.18,415.16,38.59,49.55,547.22
São Francisco de Itabapoana,RJ,51.12,1118.04,45059.00,26480.35,46.67,62.45,44.25,68.24,22.80,88.06,7.59,69.25,58.88,52.75,68.91,57.44,41.04,66.66,11.86,55.59,869.38,151.57,20.64,3.61,19.32,3.20,33.54,71.05,86.65,76.53,83.08,99.35,211.00,30.90,77.68,31.07,0.90,3.50,6.90,30.00,5.05,13.20,78.29,10.06,71.52,90.48,72.44,3.90,394.45,21.92,15.54,5.95,6.91,3.99,50.30,7.52,7.00,10.00,482.72,67.03,5.00,15.20,0.86,1.69,0.15,0.54,0.00,114.78,121.46,4.35,5.69,536.89
