Município,UF,Índice de Progresso Social,ÁREA km²,POPULAÇÃO 2022,PIB PER CAPITA,Necessidades Humanas Básicas,Fundamentos do Bem-estar,Oportunidades,Nutrição e Cuidados Médicos Básicos,Água e Saneamento,Moradia,Segurança Pessoal,Acesso ao Conhecimento Básico,Acesso à Informação e Comunicação,Saúde e Bem-estar,Qualidade do Meio Ambiente,Direitos Individuais,Liberdades Individuais e de Escolha,Inclusão Social,Acesso à Educação Superior,Cobertura Vacinal (Poliomielite),Hospitalizações por Condições Sensíveis à Atenção Primária,Mortalidade Ajustada por Condições Sensíveis à Atenção Primária,Mortalidade Infantil até 5 Anos,Subnutrição,Abastecimento de Água via Rede de Distribuição,Esgotamento Sanitário Adequado,Índice de Abastecimento de Água,Índice de Perdas de Água na Distribuição,Domicílios com Coleta de Resíduos Adequada,Domicílios com Iluminação Elétrica Adequada,Domicílios com Paredes Adequadas,Domicílios com Piso Adequado,Assassinatos de Jovens,Assassinatos de Mulheres,Homicídios,Mortes por Acidente de Transporte,Abandono no Ensino Fundamental,Abandono no Ensino Médio,Evasão no Ensino Médio,Distorção Idade-Série no Ensino Médio,Ideb Ensino Fundamental,Reprovação Escolar no Ensino Médio,Cobertura de Internet Móvel (4G/5G),Densidade de Internet Banda Larga Fixa,Densidade de Telefonia Móvel,Qualidade de Internet Móvel,Expectativa de Vida,Mortalidade entre 15 e 50 anos,Mortalidade por Doenças Crônicas Não Transmissíveis,Obesidade,Suicídios,Áreas Verdes Urbanas,Emissões de CO₂e por Habitante,Focos de Calor,Índice de Vulnerabilidade Climática dos Municípios,Supressão da Vegetação Primária e Secundária,Acesso a Programas de Direitos Humanos,Existência de Ações para Direitos de Minorias,Índice de Atendimento à Demanda de Justiça,Taxa de Congestionamento Líquido de Processos,"Acesso à Cultura, Lazer e Esporte",Gravidez na Adolescência (<19 anos),Trabalho Infantil,Praças e Parques em Áreas Urbanas,Paridade de Gênero na Câmara Municipal,Paridade de Negros na Câmara Municipal,Violência contra Indígenas,Violência contra Mulheres,Violência contra Negros,Empregados com Ensino Superior,Mulheres Empregadas com Ensino Superior,Nota Média no Enem
Cordeiro,RJ,63.24,113.05,20783.00,22109.71,77.63,71.09,41.02,66.30,91.06,92.77,60.38,78.22,68.75,60.18,77.19,33.80,43.32,54.18,32.77,70.34,1133.08,160.08,8.66,5.11,92.98,97.29,97.22,28.01,95.71,94.91,78.42,98.91,44.90,9.13,9.62,4.81,0.18,0.80,5.10,19.20,5.45,2.10,99.15,17.28,79.37,94.46,74.54,2.39,421.07,23.35,9.62,3.27,2.48,0.00,34.50,1.81,4.00,4.00,170.72,79.53,5.00,10.82,0.84,0.22,0.35,0.18,0.00,237.44,195.98,41.47,51.41,579.31
Volta Redonda,RJ,63.20,182.10,261563.00,75755.67,75.57,71.13,42.89,67.24,90.17,92.52,52.36,75.14,79.97,58.07,71.34,27.84,58.05,36.63,49.05,58.79,1007.91,115.99,15.83,5.41,98.58,99.24,99.95,49.62,94.76,90.28,83.10,98.92,76.42,2.16,27.53,8.79,0.50,2.00,6.80,23.20,5.70,8.10,99.99,43.62,91.78,95.58,74.98,2.58,444.50,26.78,6.88,6.79,7.61,0.23,48.98,2.08,4.00,5.00,85.17,77.28,9.00,8.47,3.22,3.48,0.00,0.56,121.21,196.08,346.76,77.09,89.73,581.18
Duas Barras,RJ,62.80,379.62,10980.00,22863.32,76.66,65.12,46.61,61.81,73.16,89.55,82.13,73.26,61.52,52.79,72.90,35.36,45.07,78.95,27.08,50.36,1106.98,152.55,42.25,4.05,72.44,66.82,70.78,16.15,82.40,85.52,85.01,97.49,0.00,0.00,9.11,18.21,0.70,0.40,6.90,33.00,5.35,3.60,87.33,13.52,64.01,94.98,72.39,2.04,552.01,28.72,5.46,3.32,8.54,10.93,41.52,2.75,5.00,4.00,130.64,66.40,6.00,11.27,4.60,0.19,0.22,0.24,,28.75,21.89,35.95,50.17,519.17
São José de Ubá,RJ,62.75,249.69,7070.00,28047.96,69.07,65.65,53.54,74.76,55.16,88.89,57.46,76.01,60.03,54.54,72.02,19.93,67.56,77.50,49.15,86.14,234.81,142.74,18.18,4.58,54.11,85.59,44.24,51.39,59.57,93.07,84.91,98.59,74.29,0.00,28.29,28.29,0.32,1.16,4.80,33.00,5.95,5.10,87.82,8.67,60.71,97.51,72.88,2.70,511.03,21.34,14.14,1.11,10.37,7.07,42.86,0.86,2.00,0.00,115.71,72.53,5.00,10.91,13.15,20.96,0.65,0.38,,27.75,125.79,74.44,110.94,529.66
Porto Real,RJ,62.71,50.89,20373.00,209921.76,73.35,68.37,46.42,67.43,93.72,95.44,36.80,72.91,75.24,53.45,71.90,24.29,58.48,35.68,67.21,85.89,1199.76,174.21,3.68,5.06,98.66,97.39,92.62,17.09,99.72,92.51,90.52,98.89,104.38,16.34,49.08,4.91,0.08,3.90,7.40,28.40,5.45,8.20,100.00,32.90,85.11,95.59,74.01,2.89,500.16,29.04,3.93,10.00,2.66,0.49,50.85,1.06,2.00,5.00,100.50,82.07,3.00,8.82,0.00,11.53,0.18,0.62,588.24,408.98,166.67,142.30,128.80,543.03
Miracema,RJ,62.61,303.27,26881.00,24814.03,75.73,67.65,44.44,68.35,84.36,95.03,55.19,79.41,66.01,55.82,69.37,21.88,49.95,77.92,28.01,75.71,1566.30,118.71,8.52,4.43,89.91,98.60,92.17,51.20,93.65,97.92,86.44,98.69,57.14,5.74,11.16,11.16,0.12,0.80,3.90,28.90,6.60,6.60,98.08,15.13,69.26,96.10,73.32,2.70,419.96,27.65,7.44,3.07,3.47,0.74,50.22,1.51,6.00,0.00,103.13,88.25,6.00,11.65,1.56,4.65,0.00,0.43,0.00,21.53,15.54,35.93,42.49,555.23
Pinheiral,RJ,62.56,82.25,24298.00,60221.06,74.27,68.17,45.23,67.19,81.51,93.91,54.48,74.31,72.29,56.35,69.72,32.69,56.33,55.11,36.79,89.85,981.89,210.27,8.13,4.52,91.92,98.92,89.84,66.95,97.82,93.38,83.60,99.09,37.47,15.88,24.69,4.12,0.70,0.60,3.30,24.30,4.95,7.60,100.00,23.50,84.97,95.35,73.03,2.07,432.05,30.64,4.12,1.90,1.39,0.00,48.80,1.22,5.00,6.00,77.60,69.80,4.00,13.82,2.19,15.50,0.21,0.78,0.00,230.20,180.71,49.32,67.39,564.01
Campos dos Goytacazes,RJ,62.37,4032.49,483540.00,77452.27,71.96,66.52,48.62,66.29,76.30,88.89,56.35,66.07,71.51,57.43,71.07,46.39,56.24,50.25,41.60,58.81,609.55,172.55,20.44,4.87,68.62,71.72,97.81,39.93,94.78,80.41,78.70,98.72,50.75,5.93,24.61,23.37,1.80,2.80,4.60,38.90,4.50,10.80,97.89,22.06,85.77,95.31,74.82,2.61,538.94,21.43,8.07,4.89,2.88,1.94,46.95,3.98,8.00,11.00,83.95,73.19,11.00,14.67,0.19,3.05,0.00,0.83,9.18,182.94,128.79,60.37,77.72,565.65
Paraíba do Sul,RJ,62.36,571.12,42063.00,30006.87,74.24,66.37,46.48,68.56,85.29,83.78,59.34,72.27,70.86,53.68,68.66,50.26,51.20,47.66,36.81,66.10,1115.31,123.45,18.60,4.34,89.34,92.09,87.30,31.60,75.96,79.13,68.33,98.90,32.99,4.49,21.40,7.13,0.30,2.90,4.60,32.40,4.95,5.70,95.08,27.17,80.92,93.32,73.70,2.04,525.19,30.28,9.51,3.57,4.12,4.99,51.37,1.91,4.00,11.00,221.07,79.12,7.00,12.09,0.38,4.20,0.17,0.16,0.00,345.66,412.81,56.59,72.57,524.03
Aperibé,RJ,62.34,94.54,11034.00,22742.76,76.87,67.78,42.36,58.08,81.09,95.17,73.13,79.75,69.68,51.71,70.00,36.46,36.85,58.65,37.47,61.59,2459.29,121.04,15.81,5.51,91.47,94.70,86.93,60.01,93.82,96.98,87.92,98.76,9.44,0.00,9.06,25.38,0.08,0.08,4.10,16.50,5.60,3.60,96.20,22.17,78.29,96.12,72.10,2.25,469.01,32.34,9.06,8.34,3.56,2.72,53.24,0.80,6.00,6.00,103.53,71.97,4.00,15.22,25.61,0.00,0.22,0.27,0.00,246.22,69.04,54.47,86.05,501.50
Bom Jardim,RJ,62.28,382.43,28102.00,31804.90,72.67,67.72,46.46,66.32,64.23,93.01,67.10,71.49,64.79,58.91,75.70,34.64,51.01,69.97,30.23,71.97,1515.53,169.57,3.32,4.04,58.34,91.86,60.26,41.90,89.56,92.76,84.62,99.42,20.93,2.91,10.68,14.23,0.40,1.40,6.00,35.10,5.20,9.20,87.41,20.31,69.23,95.15,73.56,1.56,434.83,29.25,7.12,4.06,4.63,5.34,36.91,3.18,6.00,7.00,100.37,83.73,8.00,9.30,0.72,0.00,0.18,0.75,0.00,84.30,133.73,36.14,51.11,561.65
Sapucaia,RJ,62.19,540.67,17729.00,56849.18,76.53,65.16,44.89,76.53,69.35,88.83,71.40,74.67,66.93,49.33,69.70,19.19,50.45,76.55,33.35,83.42,547.35,151.28,5.99,3.19,62.17,79.27,75.74,35.87,70.69,87.99,84.40,98.35,52.37,0.00,11.28,39.48,0.20,0.40,5.30,25.40,5.00,5.70,88.06,26.63,68.73,95.85,73.26,2.48,477.79,34.85,16.92,0.95,11.12,6.77,46.49,2.98,5.00,0.00,78.21,82.45,6.00,12.57,0.00,2.03,0.54,0.36,0.00,22.19,103.95,49.36,60.82,532.89
Comendador Levy Gasparian,RJ,62.07,108.64,8741.00,69601.19,76.59,68.91,40.71,72.32,88.02,90.93,55.08,73.13,76.53,58.22,67.76,21.93,51.98,57.22,31.72,61.95,267.75,161.38,10.31,4.33,95.35,95.78,100.00,52.16,97.70,85.23,81.05,98.38,57.37,4.69,11.44,11.44,0.10,3.70,2.60,40.90,5.75,9.00,99.22,41.45,79.71,95.81,72.11,1.43,471.87,25.96,6.86,4.23,4.81,6.86,53.35,2.24,4.00,7.00,33.46,93.05,4.00,4.12,0.00,0.46,0.43,0.17,0.00,110.01,252.91,54.17,64.47,481.91
Areal,RJ,61.89,110.72,11828.00,36402.13,78.53,64.79,42.34,64.63,82.78,90.48,76.21,71.79,66.94,55.10,65.34,21.75,47.56,58.31,41.76,65.58,1081.25,153.37,33.56,4.19,70.44,63.69,100.00,5.09,96.50,83.51,81.01,98.81,7.99,0.00,3.38,16.91,0.10,5.70,2.30,34.80,4.94,6.50,96.36,11.39,83.19,93.71,74.35,1.72,578.12,28.51,8.45,4.87,4.46,5.07,58.79,2.63,3.00,8.00,33.46,93.05,4.00,10.07,0.00,1.33,0.00,0.67,0.00,298.16,107.41,67.04,82.29,531.52
Santo Antônio de Pádua,RJ,61.75,603.63,41325.00,31313.29,75.84,66.11,43.31,60.33,90.61,93.13,59.27,79.97,64.42,50.35,69.70,29.19,47.38,61.88,34.79,58.48,2690.55,109.50,11.09,4.99,89.90,94.71,99.42,25.84,91.48,97.74,83.97,96.08,48.35,7.41,19.36,16.94,0.20,0.20,3.80,17.70,5.80,3.90,94.85,9.26,75.35,94.61,73.33,2.87,461.98,33.00,12.10,3.43,5.04,1.69,49.71,1.57,3.00,5.00,103.53,71.97,7.00,12.86,4.34,1.54,0.30,0.31,0.00,173.81,182.09,45.81,61.34,564.70
Itatiaia,RJ,61.65,241.03,30908.00,224658.76,76.34,68.69,39.92,68.02,82.93,91.78,62.64,73.03,75.67,56.17,69.90,21.10,44.98,28.31,65.28,40.78,1080.09,79.56,23.62,4.50,92.90,94.79,98.72,72.00,93.99,89.00,85.09,96.90,14.69,4.98,12.94,6.47,1.00,4.80,5.20,25.60,5.55,8.20,99.27,29.71,91.95,95.91,75.16,3.57,324.30,29.04,12.94,7.63,3.07,2.26,52.36,2.04,5.00,7.00,15.81,96.66,4.00,11.81,0.00,0.50,0.00,0.34,138.89,783.90,276.73,139.93,124.57,527.30
Seropédica,RJ,61.57,265.19,80596.00,59704.07,72.73,67.48,44.51,65.30,80.08,80.11,65.45,71.25,73.76,54.93,69.99,39.92,50.17,38.73,49.20,39.74,273.14,177.88,26.29,4.79,97.61,69.66,65.55,20.89,91.06,61.30,64.80,98.25,15.50,2.86,14.89,13.65,0.90,2.70,5.70,35.20,5.35,7.50,100.00,24.64,90.26,95.21,73.30,3.08,408.04,28.69,3.72,6.31,14.52,5.09,40.57,3.67,7.00,7.00,148.35,88.21,3.00,13.65,0.32,11.99,0.19,0.77,17.36,220.46,310.05,87.95,89.67,545.96
Rio das Ostras,RJ,61.44,228.04,156491.00,57603.30,71.79,72.82,39.73,70.30,60.80,93.53,62.53,74.50,80.38,61.99,74.40,32.60,59.89,23.83,42.59,41.88,302.14,150.51,12.64,4.34,50.54,89.60,69.02,57.80,97.96,85.98,90.92,98.69,54.30,2.45,22.37,5.11,0.40,0.60,7.90,25.90,5.85,11.30,99.97,45.42,91.39,95.40,76.26,2.07,377.54,30.08,5.75,6.73,1.25,0.19,42.84,1.92,4.00,0.00,299.84,75.89,10.00,9.02,0.50,3.62,0.00,0.55,38.46,780.27,476.15,66.71,73.48,570.55
Cambuci,RJ,61.28,558.28,14616.00,27605.85,74.33,65.79,43.71,59.33,80.79,95.75,61.46,75.24,58.40,60.14,69.37,31.10,37.87,82.18,23.69,30.57,2867.08,116.17,14.29,3.53,79.71,96.36,72.70,17.45,90.06,98.44,89.92,99.40,7.39,13.60,6.84,13.68,0.10,0.82,4.10,27.80,5.75,13.50,84.01,10.26,55.23,97.52,73.51,1.04,538.41,23.86,8.21,5.39,9.48,6.16,51.35,1.70,8.00,0.00,115.71,72.53,2.00,11.43,5.25,1.63,0.66,0.21,0.00,68.02,10.58,26.77,36.06,542.83
Teresópolis,RJ,61.21,773.34,165123.00,36137.86,73.96,69.54,40.14,71.14,75.58,86.23,62.91,74.47,78.70,55.76,69.22,16.61,58.34,42.40,43.19,53.69,447.21,137.45,14.31,4.41,61.08,74.41,89.29,17.95,72.30,84.71,78.85,96.50,38.26,2.31,16.96,23.01,0.10,2.60,6.70,21.90,5.40,9.80,98.59,40.13,92.32,95.65,76.27,2.54,516.80,30.59,6.06,7.30,1.74,0.73,53.62,2.11,4.00,0.00,70.76,82.45,10.00,9.82,0.31,2.92,0.10,0.52,148.15,316.20,166.07,63.72,76.47,580.78
Macaé,RJ,61.00,1216.99,246391.00,72553.66,68.52,67.02,47.45,66.67,79.42,88.81,39.17,69.95,74.82,56.01,67.31,33.55,49.27,34.43,72.56,28.64,591.43,147.88,17.16,4.23,75.69,80.89,91.02,33.53,88.95,81.65,79.32,99.32,80.06,10.21,43.02,12.18,0.80,2.90,7.90,34.70,5.55,12.60,98.39,27.94,91.53,95.92,74.66,2.27,421.91,33.71,6.09,8.30,14.26,0.45,47.30,5.44,5.00,7.00,85.85,75.75,7.00,11.05,0.37,1.74,0.11,0.38,89.02,400.73,128.39,185.82,154.89,583.84
São José do Vale do Rio Preto,RJ,60.78,220.18,22080.00,33693.82,77.36,64.76,40.21,70.97,72.26,90.28,75.92,72.42,60.57,59.21,66.86,28.33,42.24,58.42,31.84,88.20,953.16,147.54,13.61,4.41,61.80,92.43,72.56,25.63,92.17,87.94,87.22,93.04,4.04,0.00,6.34,13.59,1.00,4.30,5.60,27.40,5.20,4.50,91.77,5.32,65.59,95.54,73.33,1.33,474.66,28.27,4.53,5.57,3.04,2.26,56.35,3.15,4.00,3.00,109.62,71.76,5.00,12.24,5.32,0.41,0.66,0.00,0.00,178.68,242.25,42.32,55.65,550.39
Porciúncula,RJ,60.77,291.85,17288.00,24235.68,79.58,68.72,34.01,80.76,75.11,93.45,69.01,75.48,67.98,62.67,68.75,20.08,41.61,45.50,28.87,86.53,372.35,93.89,15.08,3.13,84.48,89.51,75.48,55.86,79.92,92.61,93.29,98.80,5.62,2.14,5.78,8.10,0.60,0.70,3.10,26.90,5.05,2.50,88.56,35.80,60.96,95.17,73.11,1.80,457.29,19.63,2.31,2.49,4.06,2.89,50.40,2.31,2.00,0.00,96.48,65.14,5.00,13.57,2.12,0.90,0.22,0.37,185.19,538.07,31.31,37.92,52.65,531.14
Arraial do Cabo,RJ,60.57,152.11,30986.00,87950.27,68.80,70.16,42.75,59.37,83.37,80.69,51.76,71.82,84.67,52.66,71.49,29.83,55.82,34.48,50.86,34.37,960.20,168.13,20.51,5.97,70.89,98.19,97.69,28.77,24.73,79.54,83.64,99.06,80.12,3.89,29.05,9.68,0.90,1.30,7.20,29.70,5.00,4.70,99.99,62.29,91.57,91.58,73.31,2.69,436.87,32.02,9.68,2.40,0.97,0.00,45.58,1.27,3.00,7.00,124.03,89.31,9.00,12.82,1.28,4.99,0.00,0.43,0.00,384.90,448.99,78.47,96.06,584.22
Quatis,RJ,60.53,284.83,13682.00,22455.90,75.40,65.89,40.30,70.42,87.56,89.07,54.55,69.94,72.54,53.65,67.44,29.52,46.92,44.14,40.61,68.90,988.88,91.29,23.44,4.72,82.83,91.61,100.00,27.06,87.26,86.80,79.88,96.75,77.36,2.76,21.93,7.31,0.10,4.20,9.20,30.30,5.45,15.30,95.11,29.27,83.15,95.64,73.38,2.47,463.53,30.97,7.31,2.70,4.79,1.46,52.86,3.45,3.00,7.00,100.50,82.07,5.00,9.38,2.46,2.16,0.21,0.80,166.67,224.50,225.23,62.53,89.19,510.21
Mendes,RJ,60.47,95.32,17502.00,20586.51,76.71,64.34,40.37,61.67,86.98,89.62,68.59,71.44,63.18,52.70,70.02,24.98,50.21,55.48,30.82,76.14,1183.02,188.71,13.79,6.15,75.92,86.99,95.96,6.47,90.05,84.77,85.42,95.26,18.89,2.07,6.86,5.71,0.30,3.30,6.10,31.90,5.40,12.50,96.20,5.59,72.46,95.36,73.36,1.88,530.54,33.45,5.71,9.27,1.25,3.43,53.69,1.16,5.00,0.00,135.74,81.60,6.00,10.34,0.00,0.08,0.42,0.41,0.00,237.61,131.02,47.66,62.57,496.83
Cabo Frio,RJ,60.37,413.45,222161.00,56039.77,72.42,67.16,41.54,71.36,83.10,85.66,49.57,66.43,78.58,57.63,66.00,25.77,56.36,52.30,31.71,57.56,358.43,120.04,14.90,5.35,77.21,92.87,97.69,37.74,84.57,73.32,77.87,99.06,72.74,3.46,34.66,11.25,2.10,4.30,5.60,31.50,4.50,9.80,99.96,39.76,92.01,94.51,75.16,2.38,399.10,33.06,4.05,6.04,1.56,0.41,58.31,3.96,9.00,0.00,62.51,80.07,10.00,11.84,1.64,2.81,0.23,0.10,142.45,276.63,29.20,40.43,49.53,573.04
Petrópolis,RJ,60.37,791.14,278881.00,56582.58,73.18,68.61,39.32,67.52,80.74,77.27,67.20,70.17,79.89,54.06,70.30,33.72,57.36,23.02,43.17,74.43,654.09,179.09,18.48,4.87,66.75,86.74,97.04,24.14,22.83,85.11,65.37,97.95,22.14,1.35,10.40,12.19,1.00,4.50,5.10,29.60,4.90,8.60,99.05,42.50,94.57,95.09,75.79,2.66,520.89,30.80,8.61,10.40,1.67,0.43,54.12,1.69,7.00,8.00,64.63,87.47,10.00,8.92,0.34,1.39,0.13,0.00,225.99,876.17,730.28,65.53,74.67,579.61
Natividade,RJ,60.28,387.07,15074.00,21668.64,78.10,64.86,37.88,63.73,77.36,95.48,75.81,76.59,59.56,56.76,66.52,23.68,41.78,41.26,44.82,87.28,1208.76,158.86,18.40,6.33,87.79,96.38,78.97,61.63,91.25,97.23,89.78,99.18,13.30,0.00,6.63,6.63,0.20,0.10,3.40,19.20,4.80,4.20,87.30,4.44,65.49,97.08,73.36,1.84,475.11,26.51,13.27,0.18,7.01,5.97,52.81,2.09,4.00,0.00,110.84,70.71,7.00,17.18,1.53,0.14,0.00,0.94,0.00,450.86,316.74,73.40,84.56,547.43
Araruama,RJ,60.18,638.28,129671.00,32892.28,70.72,69.32,40.48,68.40,81.46,88.76,44.26,69.58,76.86,59.90,70.94,33.64,53.78,38.59,35.92,42.18,204.25,163.60,17.06,4.81,83.93,55.38,95.81,24.05,89.76,87.01,75.06,97.82,88.07,5.89,34.70,26.22,1.00,5.30,5.40,32.50,5.05,8.80,98.54,36.11,91.94,93.46,75.32,2.78,407.70,25.04,6.17,9.08,2.10,0.77,50.95,3.41,5.00,7.00,104.28,81.97,10.00,12.82,0.47,1.39,0.34,0.39,61.73,306.02,336.09,50.14,64.61,556.63
Três Rios,RJ,60.14,322.84,78346.00,81618.90,74.52,68.31,37.57,69.87,96.03,89.06,43.15,71.17,77.72,51.50,72.86,13.15,47.08,45.90,44.16,60.80,578.41,138.61,15.58,4.85,97.49,98.30,98.85,13.33,85.76,88.87,84.83,92.86,88.41,9.69,30.63,21.70,1.00,4.20,3.80,28.60,4.75,6.00,99.09,36.58,92.01,95.89,73.03,3.01,480.11,28.23,11.49,5.10,2.82,3.45,44.09,2.34,2.00,4.00,33.46,93.05,7.00,13.71,3.52,1.95,0.51,0.66,285.71,300.36,135.13,70.61,80.51,559.32
Cardoso Moreira,RJ,60.14,522.60,12958.00,30743.09,71.75,65.53,43.13,76.23,64.58,87.71,58.47,74.48,59.12,57.12,71.38,23.41,28.82,88.59,31.72,100.00,483.69,153.18,22.06,3.14,73.23,61.60,69.50,57.38,75.47,80.75,83.64,99.11,32.55,6.23,16.98,38.59,0.90,2.20,4.10,30.40,5.55,4.40,74.98,14.53,63.79,96.30,71.93,1.31,422.81,28.38,15.43,5.74,10.06,2.32,47.75,2.26,2.00,4.00,95.72,77.42,5.00,13.97,139.50,1.62,0.22,0.87,0.00,0.00,63.82,42.51,59.05,538.11
Mesquita,RJ,60.06,41.17,167127.00,15786.49,77.58,65.71,36.89,67.57,88.21,83.46,71.09,66.01,67.88,55.13,73.81,55.92,41.12,28.79,21.75,73.00,378.50,205.92,14.14,5.07,92.76,97.77,100.00,47.89,89.63,65.94,76.64,97.28,17.96,1.13,9.57,1.80,1.20,6.40,5.80,33.80,4.70,14.40,100.00,20.91,68.34,95.48,75.31,2.50,546.44,29.15,2.99,65.99,0.89,0.24,50.43,0.64,9.00,12.00,135.63,69.52,5.00,13.43,0.27,0.38,0.16,0.12,260.87,641.90,294.20,25.89,31.49,530.92
Itaperuna,RJ,60.03,1106.69,101041.00,33845.22,72.68,69.93,37.49,69.90,81.69,94.77,44.37,78.63,72.67,58.72,69.70,30.29,43.99,34.43,41.26,68.36,729.25,123.48,12.59,5.50,93.74,96.27,83.13,56.29,94.73,96.93,84.76,99.32,68.51,7.65,36.62,21.77,0.10,1.40,3.20,20.60,5.65,4.80,96.87,26.61,86.48,94.74,75.24,2.76,468.51,24.52,3.96,4.97,4.35,1.68,51.24,0.89,4.00,7.00,69.33,75.04,5.00,10.88,0.50,0.83,0.59,0.86,22.22,409.06,250.84,59.43,74.82,572.46
Miguel Pereira,RJ,59.99,287.93,26582.00,23968.37,71.38,70.78,37.80,63.43,67.45,84.84,69.80,76.61,78.29,57.05,71.18,31.04,46.86,40.97,32.35,80.87,1678.25,159.04,8.20,5.39,62.26,82.96,82.31,60.11,79.73,80.48,74.53,95.76,21.06,1.48,3.76,3.76,0.30,1.60,5.40,28.10,5.85,3.90,94.82,44.81,89.56,94.30,74.68,1.58,486.28,29.58,15.05,10.99,2.21,2.26,52.61,1.67,6.00,6.00,79.84,83.47,6.00,10.25,2.10,0.92,0.00,0.85,0.00,604.25,273.75,42.66,51.04,570.18
Piraí,RJ,59.92,490.25,27474.00,89825.83,76.27,65.21,38.28,71.75,82.59,88.19,62.57,68.61,70.68,49.59,71.97,21.56,51.55,33.89,46.12,83.82,1288.50,120.93,11.40,3.80,81.92,93.54,79.18,20.08,88.80,90.07,70.32,97.41,32.67,7.03,10.92,21.84,0.20,8.90,8.00,38.50,5.60,9.90,97.35,16.29,92.03,93.99,73.16,2.38,506.52,35.17,10.92,9.14,3.88,5.10,48.21,3.85,2.00,0.00,124.55,69.68,6.00,11.11,0.00,1.82,0.00,0.48,144.93,576.21,157.60,77.85,84.71,550.50
Bom Jesus do Itabapoana,RJ,59.88,596.66,35173.00,26008.49,75.32,66.80,37.50,55.34,78.37,95.83,71.75,76.31,69.29,51.30,70.30,22.17,46.93,44.74,36.19,12.00,1742.35,132.16,15.97,5.81,92.39,97.21,74.05,57.68,92.28,96.72,92.39,98.53,17.09,1.05,5.69,17.06,0.10,0.70,3.20,22.80,5.25,8.40,89.64,26.20,82.53,91.97,74.16,2.64,538.51,30.40,11.37,4.03,5.50,1.99,49.10,1.19,4.00,0.00,126.09,81.67,5.00,9.98,18.17,2.63,0.15,0.91,0.00,245.74,458.28,49.79,67.22,554.03
Rio Claro,RJ,59.70,846.80,17401.00,25237.26,75.12,63.95,40.04,74.61,68.97,93.24,63.67,74.47,60.28,50.26,70.78,29.61,49.95,43.85,36.74,72.48,626.44,119.35,21.86,3.19,76.57,88.02,66.26,57.60,88.38,93.05,90.55,96.66,25.70,2.18,17.24,17.24,0.60,2.10,4.90,32.20,5.55,3.50,90.79,2.60,70.90,93.90,73.07,3.03,514.51,30.52,5.75,0.60,7.83,2.30,44.34,3.40,6.00,3.00,102.71,78.27,5.00,10.38,1.11,5.52,0.00,0.98,0.00,247.66,515.20,53.75,70.09,540.04
Italva,RJ,59.51,291.19,14073.00,29973.92,75.52,66.47,36.54,76.95,71.67,92.15,61.28,77.16,62.69,56.12,69.91,16.67,33.37,72.88,23.25,80.23,266.46,113.49,7.06,4.93,87.24,91.48,66.24,66.39,89.62,93.17,84.98,96.64,25.08,5.12,14.21,21.32,0.50,0.24,1.70,26.80,5.40,4.10,91.27,10.87,67.04,96.52,72.52,2.35,362.12,28.60,14.21,6.16,5.20,6.40,50.84,1.73,2.00,0.00,95.72,77.42,4.00,19.01,3.36,0.00,0.00,0.46,,46.92,79.55,27.40,36.17,533.93
Valença,RJ,59.28,1300.77,68088.00,46196.20,74.28,67.58,35.99,71.58,76.25,87.32,61.96,73.49,71.25,57.62,67.97,21.44,57.84,24.23,40.46,71.77,379.52,130.96,9.93,5.93,81.62,87.39,81.86,52.75,88.24,84.93,73.45,96.94,19.57,5.57,14.69,11.75,0.40,1.70,5.10,29.00,4.90,3.20,91.94,31.08,78.23,95.62,75.85,2.15,552.63,27.15,4.41,3.29,4.09,1.92,52.80,2.16,4.00,0.00,97.57,74.22,10.00,14.61,0.00,2.47,0.16,0.31,425.53,559.36,790.99,60.57,74.61,557.34
Rio das Flores,RJ,59.17,478.78,8954.00,33118.17,78.75,64.61,34.16,64.18,83.44,92.47,74.91,75.53,59.64,54.14,69.11,22.46,52.46,10.85,50.86,21.78,819.06,153.85,12.99,4.46,92.25,89.41,69.61,16.13,88.83,90.67,89.13,96.97,20.40,0.00,8.93,11.17,0.20,0.90,0.40,33.90,5.55,10.00,87.30,9.16,61.51,94.98,74.32,2.02,513.79,27.20,22.34,1.29,9.23,12.29,47.93,1.62,2.00,4.00,69.18,71.47,7.00,10.39,0.00,0.17,0.00,0.17,10000.00,1489.96,180.10,87.62,108.73,515.42
Paty do Alferes,RJ,59.06,314.34,29619.00,23291.22,63.91,69.40,43.87,61.78,54.76,80.25,58.86,71.50,70.19,61.89,74.00,31.67,42.78,71.89,29.14,73.63,1495.96,170.75,14.08,5.55,58.27,34.30,70.51,59.83,85.34,71.29,60.49,96.41,17.09,13.06,13.50,8.10,0.40,4.00,6.30,29.10,5.35,12.00,94.73,26.94,76.26,95.48,73.34,1.66,377.12,27.18,2.70,12.38,3.40,2.36,47.25,3.29,4.00,3.00,173.86,82.28,6.00,13.52,4.42,0.00,0.00,0.15,0.00,13.06,127.06,39.16,50.81,536.25
