nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,municipio_codigo,municipio,ano_codigo,ano,variavel_codigo,variavel,produto_das_lavouras_permanentes_codigo,produto_das_lavouras_permanentes
6,Município,1006,Hectares,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,31620,Café (em grão) Canephora
6,Município,1006,Hectares,75,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,40473,Caju
6,Município,1006,Hectares,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,2724,Caqui
6,Município,1006,Hectares,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,2725,Castanha de caju
6,Município,1006,Hectares,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,2726,Chá-da-índia (folha verde)
6,Município,1006,Hectares,32,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,2727,Coco-da-baía*
6,Município,1006,Hectares,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,2728,Dendê (cacho de coco)
6,Município,1006,Hectares,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,2729,Erva-mate (folha verde)
6,Município,1006,Hectares,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,2730,Figo
6,Município,1006,Hectares,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,2731,Goiaba
6,Município,1006,Hectares,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,2732,Guaraná (semente)
6,Município,1006,Hectares,300,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,2733,Laranja
6,Município,1006,Hectares,10,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,2734,Limão
6,Município,1006,Hectares,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,2735,Maçã
6,Município,1006,Hectares,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,2736,Mamão
6,Município,1006,Hectares,50,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,2737,Manga
6,Município,1006,Hectares,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,2738,Maracujá
6,Município,1006,Hectares,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,2739,Marmelo
6,Município,1006,Hectares,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,2740,Noz (fruto seco)
6,Município,1006,Hectares,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,90001,Palmito
6,Município,1006,Hectares,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,2741,Pera
6,Município,1006,Hectares,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,2742,Pêssego
6,Município,1006,Hectares,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,2743,Pimenta-do-reino
6,Município,1006,Hectares,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,2744,Sisal ou agave (fibra)
6,Município,1006,Hectares,9,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,2745,Tangerina
6,Município,1006,Hectares,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,2746,Tungue (fruto seco)
6,Município,1006,Hectares,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,2747,Urucum (semente)
6,Município,1006,Hectares,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,2748,Uva
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,0,Total
6,Município,1017,Toneladas,1040,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2717,Abacate
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2718,Algodão arbóreo (em caroço)
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,45981,Açaí
