nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,municipio_codigo,municipio,ano_codigo,ano,variavel_codigo,variavel,sexo_codigo,sexo,idade_codigo,idade,forma_de_declaracao_da_idade_codigo,forma_de_declaracao_da_idade
6,Município,45,Pessoas,361,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,93082,11 meses,6555,Data de nascimento
6,Município,45,Pessoas,94,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,93082,11 meses,6556,Idade presumida
6,Município,45,Pessoas,5474,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6558,1 ano,113635,Total
6,Município,45,Pessoas,4130,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6558,1 ano,6555,Data de nascimento
6,Município,45,Pessoas,1344,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6558,1 ano,6556,Idade presumida
6,Município,45,Pessoas,6093,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6559,2 anos,113635,Total
6,Município,45,Pessoas,4311,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6559,2 anos,6555,Data de nascimento
6,Município,45,Pessoas,1782,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6559,2 anos,6556,Idade presumida
6,Município,45,Pessoas,6496,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6560,3 anos,113635,Total
6,Município,45,Pessoas,4406,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6560,3 anos,6555,Data de nascimento
6,Município,45,Pessoas,2090,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6560,3 anos,6556,Idade presumida
6,Município,45,Pessoas,6573,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6561,4 anos,113635,Total
6,Município,45,Pessoas,4458,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6561,4 anos,6555,Data de nascimento
6,Município,45,Pessoas,2115,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6561,4 anos,6556,Idade presumida
