
"Ocupa&ccedil;&otilde;es em geral";"Quantidade"
"T&eacute;cnico em Laborat&oacute;rio de Farm&aacute;cia";4
"T&eacute;cnico em patologia cl&iacute;nica";221
" T&Eacute;CNICO E AUXILIAR EM FISIOTERAPIA E REABILITA&Ccedil;&Atilde;O";8
"T&eacute;cnico de imobiliza&ccedil;&atilde;o ortop&eacute;dica";8
" T&Eacute;CNICO E AUXILIAR EM SA&Uacute;DE ORAL";9
"T&eacute;cnico em sa&uacute;de bucal";9
" T&Eacute;CNICO E AUXILIAR EM VIG SANIT&Aacute;RIA E AMBIENTAL";1
"Agente de defesa ambiental";1
" T&Eacute;CNICO E AUXILIAR EM RADIOLOGIA M&Eacute;DICA";172
"Auxiliar de Radiologia (Revela&ccedil;&atilde;o Fotogr&aacute;fica)";2
"T&eacute;cnico em radiologia e imagenologia";170
" OUTRAS OCUPA&Ccedil;&Otilde;ES N&Iacute;VEL T&Eacute;CNICO E AUXILIAR EM SA&Uacute;D";35
"Instrumentador Cir&uacute;rgico";32
"T&eacute;cnico de Alimentos";3
"PESSOAL DE SA&Uacute;DE - QUALIFICA&Ccedil;&Atilde;O ELEMENTAR";2663
" AGENTE COMUNIT&Aacute;RIO DE SA&Uacute;DE";222
"Agente comunit&aacute;rio de sa&uacute;de";222
" AGENTE DE SA&Uacute;DE P&Uacute;BLICA";16
"Agente de sa&uacute;de p&uacute;blica agente de saneam";16
" ATENDENTE DE ENFERMAGEM/AUX OPER SERV DIV E ASSEM";143
"Atendente de consult&oacute;rio dentario";109
"Atendente de enfermagem atend ber&ccedil;ario";8
"Atendente de farm&aacute;cia  balconista";26
" OUTRAS OCUPA&Ccedil;&Otilde;ES N&Iacute;VEL ELEMENTAR EM SA&Uacute;DE";2282
"PESSOAL ADMINISTRATIVO";2282
" ADMINISTRA&Ccedil;&Atilde;O";1379
"Administrador";20
"Advogado";1
"Almoxarife";2
"Analista de suporte computacional";1
"Arquiteto de edificacoes";1
"Arquivista";2
"Arquivista de documentos";2
"Assistente tecnico administrativo";407
"Atendente de ambulatorio ou cl&iacute;nica";144
"Auditor contadores e afins";1
"Auxiliar de contabilidade";7
"Auxiliar de escritorio em geral auxiliar";255
"Auxiliar de faturamento";41
"Auxiliar de pessoal";2
"Comprador";1
"Contador";4
"Continuo";2
"Digitador";34
"Diretor administrativo";11
"Diretor de manuten&ccedil;&atilde;o";1
"Diretor de servi&ccedil;os de informatica";3
"Diretor de servi&ccedil;os de saude  diretor cli";28
"Diretor financeiro";1
"Engenheiro de seguranca do trabalho";2
"Gerente administrativo";12
"Gerente de almoxarifado";2
"Gerente de departamento pessoal";2
"Gerente de projetos de tecnologia da info";1
"Gerente de recursos humanos";1
"Gerente de servi&ccedil;os de saude administrado";123
"Gerente financeiro";1
"Operador de computador inclusive microcom";2
"Operador de radiochamada";4
"Programador de sistemas de informacao";1
"Recepcionista em geral";146
"Secretaria  executiva";9
"Supervisor administrativo";17
"Supervisor de compras";2
"Supervisor de contas a pagar";1
"Supervisor de controle patrimonial";2
"Supervisor de recepcionistas";1
"Supervisor de tesouraria";3
"Tecnico de apoio usu&aacute;rio inform helpdesk";2
"Tecnico de contabilidade";2
"Tecnico em manuten&ccedil;&atilde;o de equip inform&aacute;tic";6
"Tecnico em seguran&ccedil;a no trabalho";18
"Telefonista";48
" SERVI&Ccedil;O DE LIMPEZA/CONSERVA&Ccedil;&Atilde;O";7
"de higiene e seguran&ccedil;a";1
"Auxiliar de lavanderia";4
"Eletricista de instala&ccedil;&otilde;es";1
"Operador de caldeira";1
" SEGURAN&Ccedil;A";29
"Agente de seguran&ccedil;a";13
"Vigia";13
"Vigilante";3
" OUTRAS OCUPA&Ccedil;&Otilde;ES ADMINISTRATIVAS";867
"Copeiro";2
"Copeiro de hospital";8
"Cozinheiro de hospital";4
"Motorista de carro de passeio";18
"Motorista de furg&atilde;o ou ve&iacute;culo similar";2
"Trabalhador de servi&ccedil;os de manuten&ccedil;&atilde;o";833
"Total";10723
&
