
"Ocupa&ccedil;&otilde;es em geral";"Quantidade"
" OUTRAS OCUPA&Ccedil;&Otilde;ES DE N&Iacute;VEL SUPERIOR RELAC &Agrave; SA&Uacute;DE";126
"M&eacute;dico veterin&aacute;rio";23
"Bi&oacute;logo";55
"BioM&eacute;dico";1
"Coordenador Pedag&oacute;gico";2
"F&iacute;sico (medicina)";2
"F&iacute;sico (nuclear e reatores)";4
"Neuropsic&oacute;logo";3
"Orientador Educacional";1
"Ortoptista";1
"Pedagogo";8
"Pesquisador em Biologia Ambiental Ecologi";1
"Preparador F&iacute;sico";2
"Professor de Educa&ccedil;&atilde;o Fisica Ensino M&eacute;dio";1
"Psicopedagogo";5
"Terapeuta ocupacional";17
"PESSOAL DE SA&Uacute;DE - N&Iacute;VEL T&Eacute;CNICO T&Eacute;CNICO/AUXILIAR";4228
" AUXILIAR DE ENFERMAGEM";706
"Auxiliar de Enfermagem";705
"Auxiliar de Enfermagem do Trabalho";1
" FISCAL SANIT&Aacute;RIO";1
"Visitador Sanit&aacute;rio";1
" T&Eacute;CNICO DE ENFERMAGEM";2886
"T&eacute;cnico de enfermagem";2843
"T&eacute;cnico de enfermagem de sa&uacute;de da fam&iacute;lia";40
"T&eacute;cnico de enfermagem de terapia intensiva";2
"T&eacute;cnico de enfermagem do trabalho";1
" T&Eacute;CNICO E AUXILIAR DE FARM&Aacute;CIA";139
"Auxiliar de Farm&aacute;cia de Manipula&ccedil;&atilde;o";3
"Auxiliar t&eacute;cnico em laborat&oacute;rio de farm&aacute;cia";6
"T&eacute;cnico em Farm&aacute;cia";130
" T&Eacute;CNICO E AUXILIAR DE LABORAT&Oacute;RIO";268
"Auxiliar de Laborat&oacute;rio de An&aacute;lises Cl&iacute;nicas";44
"Auxiliar de laborat&oacute;rio de an&aacute;lises f&iacute;sico-qu&iacute;mica";1
"T&eacute;cnico de laborat&oacute;rio de an&aacute;lises f&iacute;sico-qu&iacute;micas";4
"T&eacute;cnico em Laborat&oacute;rio de Farm&aacute;cia";1
"T&eacute;cnico em patologia cl&iacute;nica";218
" T&Eacute;CNICO E AUXILIAR EM FISIOTERAPIA E REABILITA&Ccedil;&Atilde;O";7
"T&eacute;cnico de imobiliza&ccedil;&atilde;o ortop&eacute;dica";7
" T&Eacute;CNICO E AUXILIAR EM SA&Uacute;DE ORAL";10
"T&eacute;cnico em sa&uacute;de bucal";10
" T&Eacute;CNICO E AUXILIAR EM RADIOLOGIA M&Eacute;DICA";167
"Auxiliar de Radiologia (Revela&ccedil;&atilde;o Fotogr&aacute;fica)";1
"T&eacute;cnico em radiologia e imagenologia";166
" OUTRAS OCUPA&Ccedil;&Otilde;ES N&Iacute;VEL T&Eacute;CNICO E AUXILIAR EM SA&Uacute;D";44
"Instrumentador Cir&uacute;rgico";40
"Instrutor de Cursos Livres";1
"T&eacute;cnico de Alimentos";3
"PESSOAL DE SA&Uacute;DE - QUALIFICA&Ccedil;&Atilde;O ELEMENTAR";3303
" AGENTE COMUNIT&Aacute;RIO DE SA&Uacute;DE";216
"Agente comunit&aacute;rio de sa&uacute;de";216
" AGENTE DE SA&Uacute;DE P&Uacute;BLICA";2
"Agente de sa&uacute;de p&uacute;blica agente de saneam";2
" ATENDENTE DE ENFERMAGEM/AUX OPER SERV DIV E ASSEM";170
"Atendente de consult&oacute;rio dentario";110
"Atendente de enfermagem atend ber&ccedil;ario";25
"Atendente de farm&aacute;cia  balconista";35
" OUTRAS OCUPA&Ccedil;&Otilde;ES N&Iacute;VEL ELEMENTAR EM SA&Uacute;DE";2915
"PESSOAL ADMINISTRATIVO";2915
" ADMINISTRA&Ccedil;&Atilde;O";1673
"Administrador";26
"Almoxarife";10
"Analista de redes e de comunicacao dados";1
"Analista de suporte computacional";1
"Arquiteto de edificacoes";1
"Arquivista";1
"Arquivista de documentos";3
"Assistente tecnico administrativo";616
"Atendente de ambulatorio ou cl&iacute;nica";129
"Auditor contadores e afins";1
"Auxiliar de contabilidade";6
"Auxiliar de escritorio em geral auxiliar";267
"Auxiliar de faturamento";46
"Auxiliar de pessoal";2
"Contador";4
"Continuo";3
"Digitador";35
"Diretor administrativo";12
"Diretor de manuten&ccedil;&atilde;o";1
"Diretor de servi&ccedil;os de informatica";2
"Diretor de servi&ccedil;os de saude  diretor cli";33
"Diretor financeiro";1
"Engenheiro de seguranca do trabalho";4
"Gerente administrativo";12
"Gerente de almoxarifado";3
"Gerente de departamento pessoal";4
"Gerente de projetos de tecnologia da info";1
"Gerente de recursos humanos";1
"Gerente de rede";1
"Gerente de servi&ccedil;os de saude administrado";136
"Operador de computador inclusive microcom";2
"Operador de radiochamada";2
"Programador de sistemas de informacao";2
"Recepcionista em geral";205
"Secretaria  executiva";9
"Supervisor administrativo";33
"Supervisor de almoxarifado";2
"Supervisor de compras";2
"Supervisor de contas a pagar";1
"Supervisor de controle patrimonial";2
"Supervisor de tesouraria";2
"Supervisor de transportes";1
"Tecnico de apoio usu&aacute;rio inform helpdesk";1
"Tecnico de contabilidade";2
"Tecnico em manuten&ccedil;&atilde;o de equip inform&aacute;tic";7
"Tecnico em secretariado";1
"Tecnico em seguran&ccedil;a no trabalho";16
"Telefonista";20
" SERVI&Ccedil;O DE LIMPEZA/CONSERVA&Ccedil;&Atilde;O";17
"de higiene e seguran&ccedil;a";1
"Auxiliar de lavanderia";7
"Eletricista de instala&ccedil;&otilde;es";3
"Operador de caldeira";1
"Pedreiro";2
"Servente de obras";3
" SEGURAN&Ccedil;A";131
"Porteiro de edif&iacute;cios";18
"Vigia";105
"Vigilante";8
" OUTRAS OCUPA&Ccedil;&Otilde;ES ADMINISTRATIVAS";1094
"Copeiro";3
"Copeiro de hospital";20
"Cozinheiro de hospital";9
"Cozinheiro geral";2
"Motorista de carro de passeio";35
"Motorista de furg&atilde;o ou ve&iacute;culo similar";3
"Trabalhador de servi&ccedil;os de manuten&ccedil;&atilde;o";1022
"Total";12238
&
