nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,municipio_codigo,municipio,ano_codigo,ano,variavel_codigo,variavel,tipo_de_produto_de_origem_animal_codigo,tipo_de_produto_de_origem_animal
6,Município,1012,Mil Cruzeiros,2593,3301009,Campos dos Goytacazes (RJ),1975,1975,215,Valor da produção,2685,Ovos de galinha
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,215,Valor da produção,2686,Ovos de codorna
6,Município,1012,Mil Cruzeiros,5,3301009,Campos dos Goytacazes (RJ),1975,1975,215,Valor da produção,2687,Mel de abelha
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,215,Valor da produção,2683,Casulos do bicho-da-seda
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,215,Valor da produção,2684,Lã
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1976,1976,106,Produção de origem animal,0,Total
6,Município,25,Mil litros,16371,3301009,Campos dos Goytacazes (RJ),1976,1976,106,Produção de origem animal,2682,Leite
6,Município,23,Mil dúzias,629,3301009,Campos dos Goytacazes (RJ),1976,1976,106,Produção de origem animal,2685,Ovos de galinha
6,Município,23,Mil dúzias,NA,3301009,Campos dos Goytacazes (RJ),1976,1976,106,Produção de origem animal,2686,Ovos de codorna
6,Município,1007,Quilogramas,340,3301009,Campos dos Goytacazes (RJ),1976,1976,106,Produção de origem animal,2687,Mel de abelha
6,Município,1007,Quilogramas,NA,3301009,Campos dos Goytacazes (RJ),1976,1976,106,Produção de origem animal,2683,Casulos do bicho-da-seda
6,Município,1007,Quilogramas,NA,3301009,Campos dos Goytacazes (RJ),1976,1976,106,Produção de origem animal,2684,Lã
6,Município,1012,Mil Cruzeiros,29346,3301009,Campos dos Goytacazes (RJ),1976,1976,215,Valor da produção,0,Total
6,Município,1012,Mil Cruzeiros,26193,3301009,Campos dos Goytacazes (RJ),1976,1976,215,Valor da produção,2682,Leite
6,Município,1012,Mil Cruzeiros,3146,3301009,Campos dos Goytacazes (RJ),1976,1976,215,Valor da produção,2685,Ovos de galinha
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1976,1976,215,Valor da produção,2686,Ovos de codorna
6,Município,1012,Mil Cruzeiros,7,3301009,Campos dos Goytacazes (RJ),1976,1976,215,Valor da produção,2687,Mel de abelha
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1976,1976,215,Valor da produção,2683,Casulos do bicho-da-seda
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1976,1976,215,Valor da produção,2684,Lã
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1977,1977,106,Produção de origem animal,0,Total
6,Município,25,Mil litros,20142,3301009,Campos dos Goytacazes (RJ),1977,1977,106,Produção de origem animal,2682,Leite
6,Município,23,Mil dúzias,573,3301009,Campos dos Goytacazes (RJ),1977,1977,106,Produção de origem animal,2685,Ovos de galinha
6,Município,23,Mil dúzias,NA,3301009,Campos dos Goytacazes (RJ),1977,1977,106,Produção de origem animal,2686,Ovos de codorna
6,Município,1007,Quilogramas,326,3301009,Campos dos Goytacazes (RJ),1977,1977,106,Produção de origem animal,2687,Mel de abelha
6,Município,1007,Quilogramas,NA,3301009,Campos dos Goytacazes (RJ),1977,1977,106,Produção de origem animal,2683,Casulos do bicho-da-seda
6,Município,1007,Quilogramas,NA,3301009,Campos dos Goytacazes (RJ),1977,1977,106,Produção de origem animal,2684,Lã
6,Município,1012,Mil Cruzeiros,60703,3301009,Campos dos Goytacazes (RJ),1977,1977,215,Valor da produção,0,Total
6,Município,1012,Mil Cruzeiros,56396,3301009,Campos dos Goytacazes (RJ),1977,1977,215,Valor da produção,2682,Leite
6,Município,1012,Mil Cruzeiros,4299,3301009,Campos dos Goytacazes (RJ),1977,1977,215,Valor da produção,2685,Ovos de galinha
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1977,1977,215,Valor da produção,2686,Ovos de codorna
6,Município,1012,Mil Cruzeiros,8,3301009,Campos dos Goytacazes (RJ),1977,1977,215,Valor da produção,2687,Mel de abelha
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1977,1977,215,Valor da produção,2683,Casulos do bicho-da-seda
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1977,1977,215,Valor da produção,2684,Lã
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1978,1978,106,Produção de origem animal,0,Total
6,Município,25,Mil litros,23000,3301009,Campos dos Goytacazes (RJ),1978,1978,106,Produção de origem animal,2682,Leite
6,Município,23,Mil dúzias,579,3301009,Campos dos Goytacazes (RJ),1978,1978,106,Produção de origem animal,2685,Ovos de galinha
