nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,municipio_codigo,municipio,ano_codigo,ano,variavel_codigo,variavel,produto_das_lavouras_temporarias_codigo,produto_das_lavouras_temporarias
6,Município,1006,Hectares,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,109179,Girassol (em grão)
6,Município,1006,Hectares,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,2704,Juta (fibra)
6,Município,1006,Hectares,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,2705,Linho (semente)
6,Município,1006,Hectares,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,2706,Malva (fibra)
6,Município,1006,Hectares,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,2707,Mamona (baga)
6,Município,1006,Hectares,1900,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,2708,Mandioca
6,Município,1006,Hectares,13,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,2709,Melancia
6,Município,1006,Hectares,105,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,2710,Melão
6,Município,1006,Hectares,3220,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,2711,Milho (em grão)
6,Município,1006,Hectares,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,2712,Rami (fibra)
6,Município,1006,Hectares,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,2713,Soja (em grão)
6,Município,1006,Hectares,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,2714,Sorgo (em grão)
6,Município,1006,Hectares,10,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,2715,Tomate
6,Município,1006,Hectares,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,2716,Trigo (em grão)
6,Município,1006,Hectares,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,216,Área colhida,109180,Triticale (em grão)
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,0,Total
6,Município,1017,Toneladas,1050,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2688,Abacaxi*
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,40471,Alfafa fenada
6,Município,1017,Toneladas,30,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2689,Algodão herbáceo (em caroço)
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2690,Alho
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2691,Amendoim (em casca)
6,Município,1017,Toneladas,4440,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2692,Arroz (em casca)
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2693,Aveia (em grão)
6,Município,1017,Toneladas,1207,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2694,Batata-doce
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2695,Batata-inglesa
6,Município,1017,Toneladas,4130600,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2696,Cana-de-açúcar
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,40470,Cana para forragem
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2697,Cebola
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2698,Centeio (em grão)
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2699,Cevada (em grão)
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2700,Ervilha (em grão)
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2701,Fava (em grão)
6,Município,1017,Toneladas,240,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2702,Feijão (em grão)
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2703,Fumo (em folha)
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,109179,Girassol (em grão)
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2704,Juta (fibra)
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2705,Linho (semente)
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2706,Malva (fibra)
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2707,Mamona (baga)
6,Município,1017,Toneladas,24700,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2708,Mandioca
6,Município,1017,Toneladas,13,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2709,Melancia
6,Município,1017,Toneladas,126,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2710,Melão
6,Município,1017,Toneladas,4510,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2711,Milho (em grão)
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2712,Rami (fibra)
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2713,Soja (em grão)
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2714,Sorgo (em grão)
6,Município,1017,Toneladas,225,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2715,Tomate
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,2716,Trigo (em grão)
6,Município,1017,Toneladas,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,214,Quantidade produzida,109180,Triticale (em grão)
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,0,Total
6,Município,33,Quilogramas por Hectare,14000,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2688,Abacaxi*
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,40471,Alfafa fenada
6,Município,33,Quilogramas por Hectare,750,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2689,Algodão herbáceo (em caroço)
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2690,Alho
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2691,Amendoim (em casca)
6,Município,33,Quilogramas por Hectare,1261,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2692,Arroz (em casca)
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2693,Aveia (em grão)
6,Município,33,Quilogramas por Hectare,11495,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2694,Batata-doce
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2695,Batata-inglesa
6,Município,33,Quilogramas por Hectare,37208,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2696,Cana-de-açúcar
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,40470,Cana para forragem
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2697,Cebola
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2698,Centeio (em grão)
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2699,Cevada (em grão)
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2700,Ervilha (em grão)
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2701,Fava (em grão)
6,Município,33,Quilogramas por Hectare,480,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2702,Feijão (em grão)
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2703,Fumo (em folha)
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,109179,Girassol (em grão)
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2704,Juta (fibra)
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2705,Linho (semente)
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2706,Malva (fibra)
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2707,Mamona (baga)
6,Município,33,Quilogramas por Hectare,13000,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2708,Mandioca
6,Município,33,Quilogramas por Hectare,1000,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2709,Melancia
6,Município,33,Quilogramas por Hectare,1200,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2710,Melão
6,Município,33,Quilogramas por Hectare,1401,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2711,Milho (em grão)
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2712,Rami (fibra)
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2713,Soja (em grão)
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2714,Sorgo (em grão)
6,Município,33,Quilogramas por Hectare,22500,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2715,Tomate
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,2716,Trigo (em grão)
6,Município,33,Quilogramas por Hectare,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,112,Rendimento médio da produção,109180,Triticale (em grão)
6,Município,1012,Mil Cruzeiros,226736,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,0,Total
6,Município,1012,Mil Cruzeiros,840,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2688,Abacaxi*
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,40471,Alfafa fenada
6,Município,1012,Mil Cruzeiros,28,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2689,Algodão herbáceo (em caroço)
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2690,Alho
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2691,Amendoim (em casca)
6,Município,1012,Mil Cruzeiros,6921,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2692,Arroz (em casca)
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2693,Aveia (em grão)
6,Município,1012,Mil Cruzeiros,362,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2694,Batata-doce
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2695,Batata-inglesa
6,Município,1012,Mil Cruzeiros,209834,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2696,Cana-de-açúcar
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,40470,Cana para forragem
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2697,Cebola
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2698,Centeio (em grão)
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2699,Cevada (em grão)
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2700,Ervilha (em grão)
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2701,Fava (em grão)
6,Município,1012,Mil Cruzeiros,678,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2702,Feijão (em grão)
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2703,Fumo (em folha)
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,109179,Girassol (em grão)
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2704,Juta (fibra)
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2705,Linho (semente)
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2706,Malva (fibra)
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2707,Mamona (baga)
6,Município,1012,Mil Cruzeiros,5063,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2708,Mandioca
6,Município,1012,Mil Cruzeiros,19,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2709,Melancia
6,Município,1012,Mil Cruzeiros,189,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2710,Melão
6,Município,1012,Mil Cruzeiros,2557,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2711,Milho (em grão)
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2712,Rami (fibra)
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2713,Soja (em grão)
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2714,Sorgo (em grão)
6,Município,1012,Mil Cruzeiros,245,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2715,Tomate
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,2716,Trigo (em grão)
6,Município,1012,Mil Cruzeiros,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,215,Valor da produção,109180,Triticale (em grão)
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,109,Área plantada,0,Total
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,109,Área plantada,2688,Abacaxi*
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,109,Área plantada,40471,Alfafa fenada
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,109,Área plantada,2689,Algodão herbáceo (em caroço)
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,109,Área plantada,2690,Alho
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,109,Área plantada,2691,Amendoim (em casca)
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,109,Área plantada,2692,Arroz (em casca)
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,109,Área plantada,2693,Aveia (em grão)
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,109,Área plantada,2694,Batata-doce
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,109,Área plantada,2695,Batata-inglesa
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,109,Área plantada,2696,Cana-de-açúcar
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,109,Área plantada,40470,Cana para forragem
