nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,municipio_codigo,municipio,ano_codigo,ano,variavel_codigo,variavel,cor_ou_raca_codigo,cor_ou_raca,sexo_codigo,sexo,idade_codigo,idade
6,Município,45,Pessoas,7520,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6582,25 anos
6,Município,45,Pessoas,7023,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6656,26 anos
6,Município,45,Pessoas,7241,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6657,27 anos
6,Município,45,Pessoas,7390,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6658,28 anos
6,Município,45,Pessoas,6744,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6659,29 anos
6,Município,45,Pessoas,35982,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,93089,30 a 34 anos
6,Município,45,Pessoas,7778,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6583,30 anos
6,Município,45,Pessoas,6543,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6584,31 anos
6,Município,45,Pessoas,7515,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6585,32 anos
6,Município,45,Pessoas,7189,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6586,33 anos
6,Município,45,Pessoas,6957,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6587,34 anos
6,Município,45,Pessoas,36427,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,93090,35 a 39 anos
6,Município,45,Pessoas,7596,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6588,35 anos
6,Município,45,Pessoas,7170,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6589,36 anos
6,Município,45,Pessoas,6759,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6590,37 anos
6,Município,45,Pessoas,7542,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6591,38 anos
6,Município,45,Pessoas,7360,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6592,39 anos
6,Município,45,Pessoas,37270,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,93091,40 a 44 anos
6,Município,45,Pessoas,8815,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6593,40 anos
6,Município,45,Pessoas,7142,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6594,41 anos
6,Município,45,Pessoas,8132,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6595,42 anos
6,Município,45,Pessoas,6887,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6596,43 anos
6,Município,45,Pessoas,6294,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6597,44 anos
6,Município,45,Pessoas,31253,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,93092,45 a 49 anos
6,Município,45,Pessoas,7369,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6598,45 anos
6,Município,45,Pessoas,6372,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6599,46 anos
6,Município,45,Pessoas,5950,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6600,47 anos
6,Município,45,Pessoas,5893,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6601,48 anos
6,Município,45,Pessoas,5669,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6602,49 anos
6,Município,45,Pessoas,29802,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,93093,50 a 54 anos
6,Município,45,Pessoas,6680,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6603,50 anos
6,Município,45,Pessoas,5567,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6604,51 anos
6,Município,45,Pessoas,6176,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6605,52 anos
6,Município,45,Pessoas,5674,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6606,53 anos
6,Município,45,Pessoas,5705,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6607,54 anos
6,Município,45,Pessoas,29113,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,93094,55 a 59 anos
6,Município,45,Pessoas,5938,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6608,55 anos
6,Município,45,Pessoas,5900,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6609,56 anos
6,Município,45,Pessoas,5784,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6610,57 anos
6,Município,45,Pessoas,5947,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6611,58 anos
6,Município,45,Pessoas,5544,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6612,59 anos
6,Município,45,Pessoas,26425,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,93095,60 a 64 anos
6,Município,45,Pessoas,6254,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6613,60 anos
6,Município,45,Pessoas,5018,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6614,61 anos
6,Município,45,Pessoas,5579,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6615,62 anos
6,Município,45,Pessoas,4985,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6616,63 anos
6,Município,45,Pessoas,4589,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6617,64 anos
6,Município,45,Pessoas,20127,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,93096,65 a 69 anos
6,Município,45,Pessoas,4952,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6618,65 anos
6,Município,45,Pessoas,3989,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6619,66 anos
6,Município,45,Pessoas,3925,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6620,67 anos
6,Município,45,Pessoas,3911,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6621,68 anos
6,Município,45,Pessoas,3350,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6622,69 anos
6,Município,45,Pessoas,15215,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,93097,70 a 74 anos
