
"Ocupa&ccedil;&otilde;es em geral";"Quantidade"
"T&eacute;cnico de laborat&oacute;rio de an&aacute;lises f&iacute;sico-qu&iacute;micas";3
"T&eacute;cnico em Laborat&oacute;rio de Farm&aacute;cia";3
"T&eacute;cnico em patologia cl&iacute;nica";253
" T&Eacute;CNICO E AUXILIAR EM NUTRI&Ccedil;&Atilde;O E DIET&Eacute;TICA";1
"Dietista";1
" T&Eacute;CNICO E AUXILIAR EM FISIOTERAPIA E REABILITA&Ccedil;&Atilde;O";7
"T&eacute;cnico de imobiliza&ccedil;&atilde;o ortop&eacute;dica";7
" T&Eacute;CNICO E AUXILIAR EM SA&Uacute;DE ORAL";7
"T&eacute;cnico em sa&uacute;de bucal";7
" T&Eacute;CNICO E AUXILIAR EM RADIOLOGIA M&Eacute;DICA";179
"Auxiliar de Radiologia (Revela&ccedil;&atilde;o Fotogr&aacute;fica)";1
"T&eacute;cnico em radiologia e imagenologia";178
" T&Eacute;CNICO E AUXILIAR EM HEMATOLOGIA/HEMOTERAPIA";1
"Auxiliar de banco de sangue";1
" OUTRAS OCUPA&Ccedil;&Otilde;ES N&Iacute;VEL T&Eacute;CNICO E AUXILIAR EM SA&Uacute;D";51
"Instrumentador Cir&uacute;rgico";46
"Instrutor de Cursos Livres";1
"Professor de N&iacute;vel M&eacute;dio Na Educa&ccedil;&atilde;o Inf";1
"Recreador";1
"T&eacute;cnico de Alimentos";1
"T&eacute;cnico em &Oacute;ptica e Optometria Contat&oacute;log";1
"PESSOAL DE SA&Uacute;DE - QUALIFICA&Ccedil;&Atilde;O ELEMENTAR";3716
" AGENTE COMUNIT&Aacute;RIO DE SA&Uacute;DE";126
"Agente comunit&aacute;rio de sa&uacute;de";126
" AGENTE DE SA&Uacute;DE P&Uacute;BLICA";2
"Agente de sa&uacute;de p&uacute;blica agente de saneam";2
" ATENDENTE DE ENFERMAGEM/AUX OPER SERV DIV E ASSEM";154
"Atendente de consult&oacute;rio dentario";102
"Atendente de enfermagem atend ber&ccedil;ario";24
"Atendente de farm&aacute;cia  balconista";28
" OUTRAS OCUPA&Ccedil;&Otilde;ES N&Iacute;VEL ELEMENTAR EM SA&Uacute;DE";3434
"PESSOAL ADMINISTRATIVO";3434
" ADMINISTRA&Ccedil;&Atilde;O";1887
"Administrador";28
"Almoxarife";10
"Analista de redes e de comunicacao dados";1
"Analista de suporte computacional";4
"Arquiteto de edificacoes";1
"Arquivista";1
"Arquivista de documentos";4
"Assistente tecnico administrativo";612
"Atendente de ambulatorio ou cl&iacute;nica";117
"Auditor contadores e afins";1
"Auxiliar de contabilidade";13
"Auxiliar de escritorio em geral auxiliar";320
"Auxiliar de faturamento";55
"Auxiliar de pessoal";7
"Comprador";1
"Contador";4
"Continuo";1
"Digitador";29
"Diretor administrativo";11
"Diretor comercial";1
"Diretor de servi&ccedil;os de informatica";2
"Diretor de servi&ccedil;os de saude  diretor cli";38
"Diretor de suprimentos";2
"Diretor financeiro";1
"Engenheiro de seguranca do trabalho";6
"Gerente administrativo";17
"Gerente comercial";1
"Gerente de almoxarifado";3
"Gerente de departamento pessoal";3
"Gerente de projetos e servi&ccedil;os de manuten";1
"Gerente de recursos humanos";3
"Gerente de rede";1
"Gerente de servi&ccedil;os de saude administrado";162
"Operador de computador inclusive microcom";2
"Operador de radiochamada";1
"Programador de sistemas de informacao";4
"Recepcionista em geral";299
"Secretaria  executiva";10
"Supervisor administrativo";44
"Supervisor de almoxarifado";1
"Supervisor de andar";1
"Supervisor de compras";2
"Supervisor de contas a pagar";2
"Supervisor de controle patrimonial";2
"Supervisor de tesouraria";2
"Supervisor de transportes";1
"Tecnico de apoio usu&aacute;rio inform helpdesk";3
"Tecnico de contabilidade";2
"Tecnico de manuten&ccedil;&atilde;o de sistemas e instr";1
"Tecnico eletr&ocirc;nico";1
"Tecnico em manuten&ccedil;&atilde;o de equip inform&aacute;tic";5
"Tecnico em secretariado";1
"Tecnico em seguran&ccedil;a no trabalho";18
"Telefonista";24
" SERVI&Ccedil;O DE LIMPEZA/CONSERVA&Ccedil;&Atilde;O";27
"Auxiliar de lavanderia";15
"Eletricista de instala&ccedil;&otilde;es";4
"Encanador";1
"Operador de caldeira";1
"Pedreiro";2
"Servente de obras";3
"Zelador de edificio";1
" SEGURAN&Ccedil;A";149
"Porteiro de edif&iacute;cios";10
"Vigia";134
"Vigilante";5
" OUTRAS OCUPA&Ccedil;&Otilde;ES ADMINISTRATIVAS";1371
"Copeiro";7
"Copeiro de hospital";29
"Costureiro na confec&ccedil;&atilde;o em serie";1
"Cozinheiro de hospital";11
"Cozinheiro geral";4
"Motorista de carro de passeio";37
"Motorista de furg&atilde;o ou ve&iacute;culo similar";5
"Trabalhador de servi&ccedil;os de manuten&ccedil;&atilde;o";1277
"Total";13275
&
