ano;competencia;nivel;ocupacao_cnes;universo;categoria_estudo;n_profissionais
2018;2018-12;ocupacao;Médico Cardiologista Intervencionista;principal;Medicina;1
2018;2018-12;ocupacao;Médico cardiologista;principal;Medicina;90
2018;2018-12;ocupacao;Médico cirurgião cardiovascular;principal;Medicina;1
2018;2018-12;ocupacao;Médico cirurgião de cabeça e pescoço;principal;Medicina;4
2018;2018-12;ocupacao;Médico cirurgião do aparelho digestivo;principal;Medicina;3
2018;2018-12;ocupacao;Médico cirurgião pediátrico;principal;Medicina;1
2018;2018-12;ocupacao;Médico cirurgião plástico;principal;Medicina;6
2018;2018-12;ocupacao;Médico cirurgião torácico;principal;Medicina;1
2018;2018-12;ocupacao;Médico coloproctologista;principal;Medicina;2
2018;2018-12;ocupacao;Médico dermatologista;principal;Medicina;25
2018;2018-12;ocupacao;Médico do trabalho;principal;Medicina;12
2018;2018-12;ocupacao;Médico em cirurgia vascular;principal;Medicina;2
2018;2018-12;ocupacao;Médico em medicina intensiva;principal;Medicina;20
2018;2018-12;ocupacao;Médico em medicina nuclear;principal;Medicina;3
2018;2018-12;ocupacao;Médico endocrinologista e metabologista;principal;Medicina;11
2018;2018-12;ocupacao;Médico fisiatra;principal;Medicina;3
2018;2018-12;ocupacao;Médico gastroenterologista;principal;Medicina;16
2018;2018-12;ocupacao;Médico geriatra;principal;Medicina;7
2018;2018-12;ocupacao;Médico hematologista;principal;Medicina;2
2018;2018-12;ocupacao;Médico infectologista;principal;Medicina;13
2018;2018-12;ocupacao;Médico mastologista;principal;Medicina;3
2018;2018-12;ocupacao;Médico nefrologista;principal;Medicina;24
2018;2018-12;ocupacao;Médico neurocirurgião;principal;Medicina;7
2018;2018-12;ocupacao;Médico neurologista;principal;Medicina;30
2018;2018-12;ocupacao;Médico nutrologista;principal;Medicina;2
2018;2018-12;ocupacao;Médico oftalmologista;principal;Medicina;45
2018;2018-12;ocupacao;Médico oncologista clínico;principal;Medicina;21
2018;2018-12;ocupacao;Médico ortopedista e traumatologista;principal;Medicina;42
2018;2018-12;ocupacao;Médico otorrinolaringologista;principal;Medicina;21
2018;2018-12;ocupacao;Médico patologista;principal;Medicina;1
2018;2018-12;ocupacao;Médico patologista clínico / medicina laboratorial;principal;Medicina;1
2018;2018-12;ocupacao;Médico pneumologista;principal;Medicina;8
2018;2018-12;ocupacao;Médico radioterapeuta;principal;Medicina;3
2018;2018-12;ocupacao;Médico residente;principal;Medicina;9
2018;2018-12;ocupacao;Médico reumatologista;principal;Medicina;9
2018;2018-12;ocupacao;Médico urologista;principal;Medicina;12
2018;2018-12;secao;OUTRAS OCUPAÇÕES DE NÍVEL SUPERIOR RELAC À SAÚDE;;;89
2018;2018-12;ocupacao;Médico veterinário;principal;Medicina;14
2018;2018-12;ocupacao;Biólogo;multiprofissional;Biologia;36
2018;2018-12;ocupacao;BioMédico;principal;Biomedicina;1
2018;2018-12;ocupacao;Coordenador Pedagógico;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);2
2018;2018-12;ocupacao;Físico (medicina);nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);4
2018;2018-12;ocupacao;Físico (nuclear e reatores);nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);1
2018;2018-12;ocupacao;Neuropsicólogo;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);3
2018;2018-12;ocupacao;Pedagogo;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);4
2018;2018-12;ocupacao;Pesquisador em Biologia Ambiental Ecologi;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);2
2018;2018-12;ocupacao;Preparador Físico;multiprofissional;Educação física;1
2018;2018-12;ocupacao;Professor de Educação Fisica Ensino Superior;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);2
2018;2018-12;ocupacao;Professor de Educação Fisica Ensino Médio;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);1
2018;2018-12;ocupacao;Psicopedagogo;nao_mapeada;Outras ocupações CNES (não mapeadas ao estudo);3
2018;2018-12;ocupacao;Terapeuta ocupacional;principal;Terapia ocupacional e afins;15
2018;2018-12;secao;PESSOAL DE SAÚDE - NÍVEL TÉCNICO TÉCNICO/AUXILIAR;;;3533
2018;2018-12;secao;AUXILIAR DE ENFERMAGEM;;;858
2018;2018-12;ocupacao;Auxiliar de Enfermagem;principal;Enfermagem – técnicos e auxiliares;857
2018;2018-12;ocupacao;Auxiliar de Enfermagem do Trabalho;principal;Enfermagem – técnicos e auxiliares;1
