APRZ_23_002;APRZ_23_003;APRZ_23_004;_endpoint;_modulo;cd_dimensao;cd_indicador;cd_mun_ibge;cd_municipio_ibge_dv;cd_uf;ds_agreg_primaria;ds_agreg_secundaria;ds_fonte;ds_indicador;ds_indicador_completo;ds_indicador_curto;ds_indicador_prefixo;ds_indicador_radical;media_br;media_uf;nm_municipio;nm_municipio_uf;nm_uf;nu_competencia;nu_competencia_max;nu_competencia_min;pct_br;pct_uf;rank_br;rank_br_total;rank_uf;rank_uf_total;spai_ds;vl_indicador;vl_indicador_br;vl_indicador_txt;vl_indicador_uf
;;;indicadoresmunicipais;trabalhoinfantil;6;06_01_07_08;3301009;;33;;;PNUD - Atlas do Desenvolvimento Humano no Brasil;Índice de Desenvolvimento Humano Municipal - Dimensão Educação;null;IDH Municipal - Educaçao;(Índice);Índice de Desenvolvimento Humano Municipal;0.5590939802336024;0.6209021739130435;;Campos dos Goytacazes/RJ;Rio de Janeiro;2010;2010;2010;0.019894849772993033;1.08362656022968;1615;5565;52;92;;0.619;;;
;;;indicadoresmunicipais;trabalhoinfantil;;DISQUE100;3301009;;33;Trabalho Infantil;Trabalho infantil doméstico (TID);Disque Direitos Humanos (Disque 100);Denuncias apresentadas ao Disque Direitos Humanos (Disque 100);Denuncias apresentadas ao Disque Direitos Humanos (Disque 100);Denuncias ao Disque Direitos Humanos - Disque 100;(Quantidade);Denuncias apresentadas ao Disque Direitos Humanos (Disque 100);1.4978292329956584;2.282051282051282;;Campos dos Goytacazes/RJ;Rio de Janeiro;2016;2019;2012;0.4830917874396135;5.617977528089887;17;5570;2;92;;5;1829;Até 10;215
;;;indicadoresmunicipais;trabalhoinfantil;10;10_08_02_07;3301009;;33;Pessoas com Deficiência;;MDS - Matriz de Informação Social;Valor Mensal Repassado do BPC - Pessoas com Deficiência (PCD);null;Valor Mensal Repassado do BPC;(R$);Valor Mensal Repassado do BPC - Pessoas com Deficiência (PCD);1474250.8294093304;4611493.779239201;;Campos dos Goytacazes/RJ;Rio de Janeiro;201604;201809;201401;0.18520155845962435;3.5846087322044613;56;5570;5;92;;15207968.800002;;;
;;;indicadoresmunicipais;trabalhoinfantil;0;00_01_07_02;3301009;;33;Trabalho Escravo e Tráfico de Pessoas;TACs Firmados;MPT - GAIA;Atuação do MPT - Termos de Compromisso de Ajustamento de Conduta Firmados - Trabalho Escravo e Tráfico de Pessoas;null;Atuação do MPT;(Quantidade);Atuação do MPT - Termos de Compromisso de Ajustamento de Conduta Firmados - Trabalho Escravo e Tráfico de Pessoas;0.5912280701754385;0.7368421052631579;;Campos dos Goytacazes/RJ;Rio de Janeiro;2013;2018;2012;0.8902077151335311;21.428571428571427;18;5570;2;92;;3;337;;14
;;;indicadoresmunicipais;trabalhoinfantil;4;04_01_07_00;3301009;;33;Agrícola;;IBGE - Censo Demográfico;População ocupada de 16 a 64 anos de idade com jornada de trabalho semanal acima de 44 horas - Agrícola;null;População de 16 a 64 anos ocupada com jornada acima de 44 horas por setor;(Quantidade);População de 16 a 64 anos ocupada com jornada semanal acima de 44 horas - Agrícola;35.06145939099063;11.884658132155126;;Campos dos Goytacazes/RJ;Rio de Janeiro;2010;2010;2010;0.002590946320823245;0.4623587194736027;5240;5565;55;92;;5.0553772901356;;;39.6
;;;indicadoresmunicipais;trabalhoinfantil;0;00_01_01_03;3301009;;33;Fraudes nas Relações de Trabalho;Ações Civis Públicas Ajuizadas;MPT - GAIA;Atuação do MPT - Ações Civis Públicas Ajuizadas - Fraudes nas Relações de Trabalho;null;Atuação do MPT;(Quantidade);Atuação do MPT - Ações Civis Públicas Ajuizadas - Fraudes nas Relações de Trabalho;1.1078140454995054;1.1372549019607843;;Campos dos Goytacazes/RJ;Rio de Janeiro;2015;2018;2012;0.08928571428571429;1.7241379310344827;85;5570;5;92;;1;1120;;58
;;;indicadoresmunicipais;trabalhoinfantil;0;00_01_01_06;3301009;;33;Igualdade de Oportunidades;Ações Civis Públicas Ajuizadas;MPT - GAIA;Atuação do MPT - Ações Civis Públicas Ajuizadas - Igualdade de Oportunidades;null;Atuação do MPT;(Quantidade);Atuação do MPT - Ações Civis Públicas Ajuizadas - Igualdade de Oportunidades;0.11743119266055047;0.2727272727272727;;Campos dos Goytacazes/RJ;Rio de Janeiro;2012;2018;2012;0;0;33;5565;3;92;;0;64;;6
;;;indicadoresmunicipais;trabalhoinfantil;1;01_13_05_00;3301009;;33;Sem instrução e fundamental incompleto;;IBGE - Censo Demográfico;População de 15 anos ou mais segundo o nível de instrução - Sem instrução e fundamental incompleto;null;População de 15 anos ou mais segundo o nível de instrução;(Quantidade);População de 15 anos ou mais segundo o nível de instrução - Sem instrução e fundamental incompleto;11687.89703504043;49172.108695652176;;Campos dos Goytacazes/RJ;Rio de Janeiro;2010;2010;2010;0.24634878137123348;3.541973467638291;31;5565;6;92;;160233;;;4523834
;;;indicadoresmunicipais;trabalhoinfantil;;JD_RAIS_30_NAO_INFORMADO;3301009;;33;NAO INFORMADO;;ME - RAIS;Remuneração Média dos Trabalhadores por Raça - NAO INFORMADO;;Remuneração Média dos Trabalhadores por Raça;;Remuneração Média dos Trabalhadores por Raça - NAO INFORMADO;0;0;;Campos dos Goytacazes/RJ;Rio de Janeiro;2018;2019;2017;0;0;1;5570;1;92;;0;;;0
;;;indicadoresmunicipais;trabalhoinfantil;4;04_01_17_00;3301009;;33;Outros serviços coletivos, sociais e pessoais;;IBGE - Censo Demográfico;População ocupada de 16 a 64 anos de idade com jornada de trabalho semanal acima de 44 horas - Outros serviços coletivos, sociais e pessoais;null;População de 16 a 64 anos ocupada com jornada acima de 44 horas por setor;(Quantidade);População de 16 a 64 anos ocupada com jornada semanal acima de 44 horas - Outros serviços coletivos, sociais e pessoais;1.0102186196077552;1.7102579667420144;;Campos dos Goytacazes/RJ;Rio de Janeiro;2010;2010;2010;0.036750048563773036;1.3130734054294748;693;5565;28;92;;2.0660387123486;;;29.8
