sexo;Demais profissões da saúde;Diagnóstico e laboratório – técnicos e auxiliares;Enfermagem – enfermeiros;Enfermagem – técnicos e auxiliares;Medicina;Total
Feminino;71;57;140;704;8;980
Masculino;17;21;21;97;4;160
