ano;populacao;obitos_total;taxa_bruta_por_1000;principais_causas;arquivo_fonte
2019;507548;4299;8.47;"Doenças do aparelho circulatório=1003; Neoplasias=652; Doenças do aparelho respiratório=561";SIM_Campos_2019.csv
2020;511168;4831;9.45;"Doenças do aparelho circulatório=1036; Doenças infecciosas e parasitárias=831; Neoplasias=585";SIM_Campos_2020.csv
2021;514643;5635;10.95;"Doenças infecciosas e parasitárias=1548; Doenças do aparelho circulatório=1267; Neoplasias=609";SIM_Campos_2021.csv
2022;483540;4608;9.53;"Doenças do aparelho circulatório=1238; Neoplasias=647; Doenças do aparelho respiratório=632";SIM_Campos_2022.csv
2023;516827;4199;8.12;"Doenças do aparelho circulatório=1110; Doenças do aparelho respiratório=640; Neoplasias=601";SIM_Campos_2023.csv
2024;519011;4346;8.37;"Doenças do aparelho circulatório=1098; Doenças do aparelho respiratório=767; Neoplasias=609";SIM_Campos_2024.csv
