mes;n
2018-06;2
2018-07;11
2018-08;21
2018-09;24
2018-10;18
2018-11;16
2018-12;7
2019-01;12
2019-02;14
2019-03;13
2019-04;24
2019-05;11
2019-06;16
2019-07;13
2019-08;13
2019-09;12
2019-10;17
2019-11;6
2019-12;11
2020-01;7
2020-02;9
2020-03;9
2020-04;7
2020-05;5
2020-06;15
2020-07;12
2020-08;14
2020-09;10
2020-10;11
2020-11;16
2020-12;20
2021-01;10
2021-02;13
2021-03;18
2021-04;14
2021-05;16
2021-06;21
2021-07;19
2021-08;20
2021-09;14
2021-10;24
2021-11;16
2021-12;14
2022-02;4
2022-03;22
2022-05;2
2022-06;12
2022-07;12
2022-08;9
2022-09;12
2022-10;3
2022-11;1
2022-12;7
2023-01;7
2023-02;22
2023-03;23
2023-04;16
2023-05;18
2023-06;15
2023-07;17
2023-08;13
2023-09;11
2023-10;11
2023-11;14
2023-12;11
2024-01;9
2024-02;27
2024-03;22
2024-04;21
2024-05;19
2024-06;15
2024-07;21
2024-08;8
2024-10;1
2024-11;5
2024-12;6
2025-01;3
2025-02;4
2025-03;9
2025-04;4
2025-05;8
2025-06;15
2025-07;45
2025-08;17
2025-09;10
2025-10;18
