"agravo";"X2018";"X2019";"X2020";"X2021";"X2022";"X2023";"X2024";"X2025";"total"
"ACGR";154;278;144;1934;3682;4006;3869;3298;17365
"ACBI";219;175;146;142;188;210;215;237;1532
"ANIM";176;137;115;57;104;152;133;196;1070
"DERM";1;0;0;0;0;0;0;0;1
"CANC";0;0;0;2;0;0;2;0;4
"LERD";0;0;0;2;0;2;2;22;28
"PNEU";0;0;0;0;0;1;0;0;1
"PAIR";0;0;0;0;0;0;1;0;1
"MENT";0;0;0;0;9;0;1;10;20
