ano;B91;B92;B93;B94;total
2015;368;19;0;0;387
2016;498;23;3;0;524
2017;422;35;1;0;458
2018;22;2;0;0;24
2019;315;21;0;0;336
2020;115;7;0;0;122
2021;272;10;1;0;283
2022;263;11;0;0;274
2023;490;13;1;0;504
2024;468;21;1;0;490
2025;715;28;4;0;747
