mes;previsto;ic_inferior;ic_superior
2026-01;15.1;2.5;27.7
2026-02;13.8;-0.2;27.9
2026-03;12.1;-2.5;26.7
2026-04;11.7;-3.1;26.6
2026-05;12.7;-2.2;27.6
2026-06;11.1;-3.8;26.0
2026-07;12.0;-2.9;27.0
2026-08;13.8;-1.1;28.8
2026-09;21.8;6.8;36.7
2026-10;14.2;-0.7;29.2
2026-11;12.4;-2.6;27.3
2026-12;14.5;-0.5;29.4
