tipo_acidente;Demais profissões da saúde;Diagnóstico e laboratório – técnicos e auxiliares;Enfermagem – enfermeiros;Enfermagem – técnicos e auxiliares;Medicina;Total
Doença;0;0;0;11;0;11
Trajeto;22;15;28;131;0;196
Típico;66;63;135;661;12;937
