Código;Descrição;Dotação Inicial;Alt. de Dotação;Dotação Atualizada;Valor Empenhado;Valor Liquidado;Valor Pago
3.1.90.03.01 ;PESSOAL CIVIL;0,00;0,00;0,00;302.351,99;302.351,99;302.351,99
3.1.90.03.03 ;13º SALÁRIO - PESSOAL CIVIL - PENSIONISTAS;0,00;0,00;0,00;57.195,72;57.195,72;57.195,72
3.1.90.04.11 ;SALÁRIOS - CONTRATO TEMPORÁRIO;0,00;0,00;0,00;28.951.152,09;28.951.152,09;28.951.152,09
3.1.90.11.01 ;VENCIMENTOS E SALÁRIOS;0,00;0,00;0,00;387.422.445,52;380.831.353,97;380.831.353,97
3.1.90.13.01 ;FGTS;0,00;0,00;0,00;1.874.607,38;1.874.607,38;1.864.758,26
3.1.90.13.02 ;CONTRIBUIÇÕES PREVIDENCIÁRIAS - INSS;0,00;0,00;0,00;16.589.043,08;12.833.364,35;12.833.364,35
3.1.90.16.99 ;OUTRAS DESPESAS VARIÁVEIS - PESSOAL CIVIL;0,00;0,00;0,00;13.474.000,00;13.474.000,00;13.474.000,00
3.1.90.92.99 ;OUTRAS DESPESAS DE EXERCÍCIOS ANTERIORES;0,00;0,00;0,00;11.576,93;11.576,93;11.576,93
3.1.90.94.99 ;OUTRAS INDENIZAÇÕES E RESTITUIÇÕES TRABALHISTAS;0,00;0,00;0,00;681.163,92;678.109,26;616.971,68
3.1.90.96.01 ;PESSOAL REQUISITADO DE OUTROS ÓRGÃOS DA MESMA ADMINISTRAÇÃO;0,00;0,00;0,00;169.360,56;169.360,56;155.247,18
3.1.90.96.02 ;PESSOAL REQUISITADO DE OUTROS ENTES;0,00;0,00;0,00;1.691.218,44;1.420.238,49;1.391.897,48
3.1.90.96.99 ;OUTROS RESSARCIMENTOS DE DESPESAS DE PESSOAL REQUISITADO;0,00;0,00;0,00;227.556,81;175.924,00;175.924,00
3.1.91.13.08 ;CONTRIBUIÇÕES PREVIDENCIÁRIAS - RPPS - PESSOAL ATIVO - PLANO;0,00;0,00;0,00;184.931,38;184.931,38;184.931,38
3.1.91.13.10 ;CONTRIBUIÇÕES PREVIDENCIÁRIAS - RPPS - PESSOAL INATIVO E PEN;0,00;0,00;0,00;8.247,43;8.247,43;8.247,43
