Código;Descrição;Dotação Inicial;Alt. de Dotação;Dotação Atualizada;Valor Empenhado;Valor Liquidado;Valor Pago
3.3.90.39.16 ;MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS;0,00;0,00;0,00;12.481.318,06;10.436.205,39;9.710.340,09
3.3.90.39.17 ;MANUTENÇÃO E CONSERVAÇÃO DE MÁQUINAS E EQUIPAMENTOS;0,00;0,00;0,00;136.332,74;118.810,75;92.673,75
3.3.90.39.19 ;MANUTENÇÃO E CONSERVAÇÃO DE VEÍCULOS;0,00;0,00;0,00;1.017.160,27;966.079,47;917.562,91
3.3.90.39.20 ;MANUTENÇÃO E CONSERVAÇÃO DE BENS MÓVEIS DE OUTRAS NATUREZAS;0,00;0,00;0,00;18.111,43;18.111,43;18.111,43
3.3.90.39.22 ;EXPOSIÇÕES, CONGRESSOS E CONFERÊNCIAS;0,00;0,00;0,00;85.599,50;85.599,50;85.599,50
3.3.90.39.37 ;JUROS;0,00;0,00;0,00;59.824,48;52.950,94;52.950,94
3.3.90.39.41 ;FORNECIMENTO DE ALIMENTAÇÃO;0,00;0,00;0,00;34.178.907,03;28.572.094,17;26.674.831,85
3.3.90.39.43 ;SERVIÇOS DE ENERGIA ELÉTRICA;0,00;0,00;0,00;47.864.321,83;40.930.409,99;40.069.252,25
3.3.90.39.44 ;SERVIÇOS DE ÁGUA E ESGOTO;0,00;0,00;0,00;21.696.167,54;20.693.269,69;19.216.522,45
3.3.90.39.47 ;SERVIÇOS DE COMUNICAÇÃO EM GERAL;0,00;0,00;0,00;16.950,00;16.950,00;16.950,00
3.3.90.39.48 ;SERVIÇO DE SELEÇÃO E TREINAMENTO;0,00;0,00;0,00;1.286.000,00;140.000,00;140.000,00
3.3.90.39.58 ;SERVIÇOS DE TELECOMUNICAÇÕES;0,00;0,00;0,00;2.629.885,39;2.579.656,29;2.323.103,65
3.3.90.39.59 ;SERVIÇOS DE ÁUDIO, VÍDEO E FOTO;0,00;0,00;0,00;16.880,00;16.880,00;16.880,00
3.3.90.39.63 ;SERVIÇOS GRÁFICOS E EDITORIAIS;0,00;0,00;0,00;79.219,00;79.219,00;51.120,00
3.3.90.39.69 ;SEGUROS EM GERAL;0,00;0,00;0,00;7.190,00;7.190,00;7.190,00
3.3.90.39.70 ;CONFECÇÃO DE UNIFORMES, BANDEIRAS E FLÂMULAS;0,00;0,00;0,00;14.750,00;14.750,00;14.750,00
3.3.90.39.73 ;TRANSPORTE DE SERVIDORES / EMPREGADOS;0,00;0,00;0,00;17.520,00;17.520,00;17.520,00
3.3.90.39.78 ;LIMPEZA E CONSERVAÇÃO;0,00;0,00;0,00;53.158.555,32;52.966.485,96;52.714.344,00
3.3.90.39.79 ;SERVIÇO DE APOIO ADMINISTRATIVO, TÉCNICO E OPERACIONAL;0,00;0,00;0,00;28.594,00;22.838,92;22.838,92
3.3.90.39.80 ;HOSPEDAGENS;0,00;0,00;0,00;158.469,00;157.549,00;157.549,00
