Município,UF,Índice de Progresso Social,ÁREA km²,POPULAÇÃO 2025,PIB PER CAPITA,Necessidades Humanas Básicas,Fundamentos do Bem-estar,Oportunidades,Nutrição e Cuidados Médicos Básicos,Água e Saneamento,Moradia,Segurança Pessoal,Acesso ao Conhecimento Básico,Acesso à Informação e Comunicação,Saúde e Bem-estar,Qualidade do Meio Ambiente,Direitos Individuais,Liberdades Individuais e de Escolha,Inclusão Social,Acesso à Educação Superior,Cobertura Vacinal (poliomielite),Hospitalizações por Condições Sensíveis à Atenção Primária,Mortalidade Ajustada por Condições Sensíveis à Atenção Primária,Mortalidade Infantil até 5 anos,Subnutrição,Abastecimento de Água Via Rede de Distribuição,Esgotamento Sanitário Adequado,Índice de Abastecimento de Água,Índice de Perdas de Água na Distribuição,Domicílios com Coleta de Resíduos Adequada,Domicílios com Iluminação Elétrica Adequada,Domicílios com Paredes Adequadas,Domicílios com Pisos Adequados,Assassinatos de Jovens,Assassinatos de Mulheres,Homicídios,Mortes por Acidentes de Transporte,Abandono no Ensino Fundamental,Abandono no Ensino Médio,Distorção Idade-Série no Ensino Médio,Evasão no Ensino Médio,Ideb Ensino Fundamental,Reprovação Escolar no Ensino Médio,Cobertura de Internet Móvel (4G/5G),Densidade de Internet Banda Larga Fixa,Densidade Telefonia Móvel,Qualidade de Internet Móvel,Consumo de ultraprocessados,Expectativa de Vida ,Mortalidade entre 15 e 50 anos,Mortalidades por Doenças Crônicas Não Transmissíveis ,Obesidade,Suicídios,Áreas Verdes Urbanas,Emissões de CO₂e por Habitante,Focos de Calor,Índice de Vulnerabilidade Climática dos Municípios (IVCM),Supressão da Vegetação Primária e Secundária,Acesso a Programas de Direitos Humanos,Existência de Ações para Direitos de Minorias,Índice de Atendimento à Demanda de Justiça,Resposta a Processos Previdenciários,Resposta a Processos Familiares,Taxa de Congestionamento Líquida de Processos,"Acesso à Cultura, Lazer e Esporte",Gravidez na Adolescência (<19),Índice de Vulnerabilidade das Famílias do CadÚnico (IVCAD),Praças e Parques em Áreas Urbanas,Famílias em Situação de Rua,Paridade de Gênero na Câmara Municipal,Paridade de Negros na Câmara Municipal,Violência Contra Indígenas,Violência Contra Mulheres,Violência Contra Negros,Empregados com Ensino Superior,Mulheres Empregadas com Ensino Superior,Nota Mediana no Enem
Italva,RJ,65.00,291.20,14518.00,29721.24,76.86,68.58,49.56,78.23,72.15,92.54,64.52,79.56,71.79,60.43,62.52,35.71,53.89,77.68,30.98,84.18,437.61,133.83,8.91,3.82,87.52,91.81,68.80,62.60,89.92,93.29,86.00,96.86,15.89,5.35,15.11,12.36,1.74,0.32,27.68,4.18,5.38,2.84,86.37,26.07,52.72,96.67,65.11,72.52,195.56,377.28,25.81,5.50,5.72,0.69,3.84,6.16,49.34,6.00,5.00,923.61,1660.20,65.09,76.00,4.00,13.67,0.00,0.28,0.81,0.00,0.70,,10.73,0.00,34.21,46.60,545.74
Carmo,RJ,64.91,305.70,17741.00,37870.81,80.59,68.35,45.80,70.36,83.65,95.76,72.57,80.65,80.11,50.16,62.47,47.50,51.11,38.15,46.43,68.42,1426.06,166.78,7.17,4.64,95.97,93.84,78.91,37.09,95.87,96.99,89.41,98.69,5.66,0.00,2.25,4.50,0.24,0.04,26.66,4.66,5.18,3.28,89.29,74.03,47.81,95.52,86.52,73.77,260.11,503.73,31.79,6.75,5.63,0.00,7.16,1.98,42.69,10.00,7.00,1038.14,1497.28,90.63,254.90,6.00,13.50,7.57,0.29,5.07,0.18,0.36,400.00,452.54,624.06,63.64,79.56,574.05
Macuco,RJ,64.86,78.40,5602.00,50450.91,79.77,65.77,49.04,67.04,88.37,94.85,68.81,79.06,87.88,39.48,56.66,35.11,56.11,68.35,36.59,64.58,2847.53,187.80,13.35,3.42,94.86,98.19,89.85,31.64,96.93,96.59,83.70,99.61,32.52,0.00,10.70,24.89,0.26,2.06,25.88,4.82,4.92,3.28,94.49,62.31,87.31,97.06,93.33,73.03,451.70,638.91,22.30,7.14,7.38,1.79,11.59,1.21,50.67,4.00,6.00,783.63,955.73,61.02,60.17,2.00,14.42,2.47,0.24,7.14,0.22,0.37,,20.85,12.59,58.43,62.71,507.08
São João da Barra,RJ,64.41,452.40,38740.00,361026.12,74.34,64.73,54.16,74.43,63.18,93.90,65.86,73.15,80.36,51.47,53.93,34.92,51.36,62.59,67.77,91.69,2013.47,194.82,15.43,2.74,69.31,43.67,79.63,56.34,97.10,87.56,89.84,99.56,39.80,3.10,20.98,16.32,1.40,1.28,35.64,6.04,4.64,9.84,97.36,29.08,81.81,94.56,77.56,73.02,249.71,498.45,26.17,12.08,26.74,0.52,24.39,2.48,46.52,5.00,6.00,845.12,2482.16,91.21,177.28,5.00,13.72,10.91,0.31,0.47,0.31,0.90,,136.58,241.43,141.15,150.87,532.74
Barra Mansa,RJ,64.39,547.10,181679.00,37599.92,71.11,70.94,51.14,72.50,82.19,89.87,39.86,77.03,81.24,52.67,72.82,55.81,57.87,53.49,37.37,79.33,1005.57,157.62,12.92,4.40,89.64,91.99,94.35,54.90,95.02,84.83,79.98,97.48,89.13,5.24,34.32,12.89,0.36,1.00,27.86,7.30,4.98,6.22,99.12,50.67,60.35,96.79,78.97,74.14,267.33,442.87,32.46,5.80,2.31,0.99,6.42,14.84,42.90,9.00,12.00,880.62,1354.13,68.97,79.11,9.00,10.22,7.57,0.28,77.62,0.21,0.19,,40.02,33.13,48.14,57.07,560.18
São Pedro da Aldeia,RJ,64.39,332.50,110677.00,30349.68,73.96,70.73,48.46,71.23,86.27,84.73,53.61,73.99,86.61,57.32,65.02,49.60,55.17,51.90,37.17,51.06,260.07,107.46,11.04,4.24,87.29,88.24,97.43,33.05,88.58,71.94,72.94,99.24,71.85,3.27,30.26,10.38,0.68,2.88,30.70,7.56,4.60,7.02,99.40,60.99,76.91,96.67,79.09,73.03,228.17,386.36,27.53,4.63,1.49,0.63,7.79,11.97,57.84,9.00,9.00,867.30,1283.70,67.09,39.60,9.00,11.48,0.92,0.29,31.24,0.20,0.52,13.51,103.45,95.33,47.21,63.01,545.66
Porto Real,RJ,64.36,50.90,21089.00,152002.56,76.11,70.12,46.86,75.08,93.09,95.26,41.00,74.11,87.37,52.23,66.76,14.04,62.94,45.55,64.90,92.06,1060.75,159.69,10.06,4.82,98.93,97.91,94.22,21.67,99.76,91.33,90.94,98.97,98.95,3.80,41.14,6.82,0.06,2.66,29.80,8.56,5.04,11.00,100.00,73.26,68.13,96.98,80.10,74.01,281.70,505.07,27.99,2.95,3.07,0.00,3.42,10.00,49.48,1.00,0.00,1338.97,2333.86,65.10,63.09,3.00,11.28,11.53,0.27,10.37,0.18,0.93,235.29,483.43,277.78,146.32,130.76,507.04
Comendador Levy Gasparian,RJ,64.21,108.60,9048.00,70022.33,81.47,68.40,42.77,77.39,86.76,90.14,71.61,75.69,84.66,52.18,61.08,19.14,54.11,58.69,39.12,87.17,517.73,135.38,19.08,2.91,95.81,94.36,98.13,50.18,96.43,85.53,77.69,98.58,31.01,0.00,6.68,11.12,0.02,2.38,39.88,8.52,5.68,5.90,95.43,71.24,61.50,97.52,90.07,72.11,259.23,444.49,26.65,4.48,3.91,2.21,7.48,4.23,50.47,3.00,0.00,782.69,1461.10,83.98,91.31,4.00,10.04,0.46,0.27,19.01,0.22,0.33,,73.44,70.81,63.65,76.75,489.22
Paraíba do Sul,RJ,64.08,571.10,44479.00,31456.58,77.67,68.27,46.29,74.43,84.33,84.03,67.89,76.10,79.78,55.42,61.78,43.29,61.63,47.77,32.48,76.74,1501.07,137.22,14.54,3.24,89.74,92.90,87.48,35.40,75.52,80.85,68.94,98.22,17.06,1.71,11.70,6.30,0.22,2.02,34.12,6.54,4.92,5.42,93.54,59.70,57.12,93.74,78.75,73.70,228.26,471.96,28.20,4.50,4.06,4.05,6.06,3.57,48.07,7.00,8.00,837.44,2146.15,59.39,39.06,7.00,12.94,4.20,0.27,32.52,0.15,0.26,,270.92,342.76,44.78,56.13,510.68
Aperibé,RJ,63.94,94.50,11426.00,26354.72,78.97,68.35,44.50,72.31,79.62,95.12,68.82,81.69,78.15,50.38,63.19,39.65,54.69,45.99,37.69,73.19,2395.98,124.71,8.64,4.51,90.34,93.97,86.71,58.78,93.38,96.00,88.46,99.11,17.62,0.00,10.63,21.18,0.00,0.00,21.08,5.52,5.34,3.60,93.47,41.18,59.64,97.53,76.78,72.10,225.94,440.54,35.36,10.59,4.69,0.00,2.81,8.34,52.54,4.00,8.00,606.55,756.17,73.35,96.66,4.00,12.47,0.00,0.26,1.60,0.22,0.27,250.00,140.80,161.10,48.30,75.08,519.20
