Município,UF,Índice de Progresso Social,ÁREA km²,POPULAÇÃO 2025,PIB PER CAPITA,Necessidades Humanas Básicas,Fundamentos do Bem-estar,Oportunidades,Nutrição e Cuidados Médicos Básicos,Água e Saneamento,Moradia,Segurança Pessoal,Acesso ao Conhecimento Básico,Acesso à Informação e Comunicação,Saúde e Bem-estar,Qualidade do Meio Ambiente,Direitos Individuais,Liberdades Individuais e de Escolha,Inclusão Social,Acesso à Educação Superior,Cobertura Vacinal (poliomielite),Hospitalizações por Condições Sensíveis à Atenção Primária,Mortalidade Ajustada por Condições Sensíveis à Atenção Primária,Mortalidade Infantil até 5 anos,Subnutrição,Abastecimento de Água Via Rede de Distribuição,Esgotamento Sanitário Adequado,Índice de Abastecimento de Água,Índice de Perdas de Água na Distribuição,Domicílios com Coleta de Resíduos Adequada,Domicílios com Iluminação Elétrica Adequada,Domicílios com Paredes Adequadas,Domicílios com Pisos Adequados,Assassinatos de Jovens,Assassinatos de Mulheres,Homicídios,Mortes por Acidentes de Transporte,Abandono no Ensino Fundamental,Abandono no Ensino Médio,Distorção Idade-Série no Ensino Médio,Evasão no Ensino Médio,Ideb Ensino Fundamental,Reprovação Escolar no Ensino Médio,Cobertura de Internet Móvel (4G/5G),Densidade de Internet Banda Larga Fixa,Densidade Telefonia Móvel,Qualidade de Internet Móvel,Consumo de ultraprocessados,Expectativa de Vida ,Mortalidade entre 15 e 50 anos,Mortalidades por Doenças Crônicas Não Transmissíveis ,Obesidade,Suicídios,Áreas Verdes Urbanas,Emissões de CO₂e por Habitante,Focos de Calor,Índice de Vulnerabilidade Climática dos Municípios (IVCM),Supressão da Vegetação Primária e Secundária,Acesso a Programas de Direitos Humanos,Existência de Ações para Direitos de Minorias,Índice de Atendimento à Demanda de Justiça,Resposta a Processos Previdenciários,Resposta a Processos Familiares,Taxa de Congestionamento Líquida de Processos,"Acesso à Cultura, Lazer e Esporte",Gravidez na Adolescência (<19),Índice de Vulnerabilidade das Famílias do CadÚnico (IVCAD),Praças e Parques em Áreas Urbanas,Famílias em Situação de Rua,Paridade de Gênero na Câmara Municipal,Paridade de Negros na Câmara Municipal,Violência Contra Indígenas,Violência Contra Mulheres,Violência Contra Negros,Empregados com Ensino Superior,Mulheres Empregadas com Ensino Superior,Nota Mediana no Enem
Itaperuna,RJ,62.59,1106.70,107297.00,37910.07,71.85,69.04,46.88,73.53,82.07,94.90,36.90,82.46,77.41,56.39,59.91,33.66,57.97,53.56,42.32,79.92,697.34,127.13,13.69,4.88,93.72,96.22,85.13,51.84,94.67,97.17,84.87,99.42,80.28,8.05,39.08,27.62,0.12,0.68,20.26,4.18,5.54,3.82,95.59,40.57,63.68,91.92,79.44,75.24,250.67,431.49,29.19,6.02,4.66,0.93,3.04,4.97,54.48,4.00,5.00,722.68,1446.08,59.12,124.78,5.00,10.37,0.83,0.26,39.93,0.46,0.56,,314.72,228.40,57.77,70.72,561.14
Piraí,RJ,62.54,490.30,29066.00,116588.01,79.76,66.16,41.70,78.12,86.90,88.76,65.25,72.54,77.23,49.59,65.27,28.44,57.51,35.37,45.48,93.46,1445.62,158.97,9.90,3.35,82.39,92.90,81.23,1.91,88.38,90.46,71.91,97.81,16.38,5.36,11.78,19.37,0.10,3.32,38.92,10.06,5.21,8.58,93.31,32.70,69.21,94.01,85.38,73.16,224.12,505.00,37.64,5.54,4.51,2.75,11.35,9.14,46.69,7.00,0.00,684.85,1537.13,66.85,67.11,6.00,9.02,1.82,0.28,53.45,0.00,0.32,86.96,314.03,291.57,79.75,89.16,492.34
Macaé,RJ,62.43,1217.00,264439.00,84688.19,68.90,68.22,50.16,66.79,80.73,88.85,39.25,71.63,83.15,56.37,61.72,35.82,59.97,34.35,70.52,40.22,707.99,145.55,14.04,3.46,75.70,82.69,91.35,27.96,88.68,81.32,79.95,99.41,90.65,7.77,37.15,11.15,1.52,2.04,33.74,9.16,5.09,12.04,97.93,49.50,71.82,97.00,77.60,74.66,226.30,409.88,33.76,5.04,10.93,0.08,15.93,8.30,46.69,5.00,6.00,993.94,1043.82,73.67,85.46,7.00,11.09,1.74,0.28,87.84,0.47,0.38,136.50,477.29,352.02,182.30,148.68,567.33
Porciúncula,RJ,62.26,291.80,17832.00,31362.33,79.76,68.21,38.81,78.72,75.71,93.28,71.35,77.86,77.28,59.59,58.12,17.88,54.50,52.84,30.01,92.79,424.54,135.78,17.40,3.15,84.04,89.86,76.65,49.71,80.09,91.97,93.21,98.81,10.47,0.00,7.84,8.95,0.34,0.86,27.94,6.32,4.71,3.56,89.00,57.47,48.18,96.28,63.17,73.11,214.16,413.30,23.17,7.84,4.69,1.68,7.73,2.49,53.20,1.00,0.00,675.46,924.75,63.43,91.67,5.00,14.42,0.90,0.28,0.00,0.00,0.45,,229.59,288.04,40.35,55.67,493.54
Rio das Ostras,RJ,62.25,228.00,168455.00,62924.21,71.31,74.91,40.52,71.83,66.44,93.28,53.69,75.62,93.47,61.53,69.02,27.74,54.71,34.22,45.41,56.61,540.74,140.62,12.81,3.19,51.05,89.95,74.85,38.06,97.75,84.78,90.76,99.07,67.96,3.45,29.86,5.33,0.28,0.82,26.08,9.42,5.53,12.50,99.84,96.62,77.03,96.79,91.00,76.26,227.80,383.91,24.67,3.95,1.35,0.00,5.13,6.73,43.28,6.00,0.00,750.96,1204.38,46.32,32.09,10.00,10.54,3.62,0.29,76.94,0.00,0.95,69.23,876.39,507.57,67.08,72.31,569.42
Armação dos Búzios,RJ,62.16,71.00,42527.00,118033.74,70.41,70.60,45.47,68.66,74.29,89.58,49.09,67.46,97.25,51.58,66.11,17.11,52.95,44.73,67.09,60.58,1412.71,176.56,14.80,3.25,88.88,10.01,97.28,35.45,83.41,78.91,88.72,99.57,62.59,7.83,38.92,13.81,0.84,5.50,38.36,11.18,4.97,15.20,99.98,100.00,90.84,97.57,84.11,74.44,294.65,458.11,28.77,7.39,1.74,0.24,21.33,12.00,51.00,2.00,0.00,1150.99,1129.13,65.06,18.00,3.00,11.14,3.18,0.29,38.33,0.22,0.97,57.14,504.44,361.47,117.35,140.88,543.14
Duas Barras,RJ,62.12,379.60,11355.00,25138.53,78.61,65.19,42.55,71.57,71.61,89.51,81.76,75.38,71.65,50.71,63.00,31.93,52.40,53.52,32.36,68.89,1162.49,142.51,19.41,3.13,72.63,68.40,70.23,25.70,82.95,86.56,85.91,95.97,0.00,0.00,7.03,19.34,1.54,1.16,35.22,7.26,4.93,2.92,76.67,40.62,48.93,97.70,95.25,72.39,197.39,501.70,29.27,12.32,6.94,0.00,9.84,3.32,41.47,4.00,4.00,576.81,1143.97,56.01,60.13,6.00,14.24,0.19,0.30,6.76,0.22,0.00,,104.64,207.99,37.01,50.74,544.74
Arraial do Cabo,RJ,62.08,152.10,32822.00,284424.29,67.43,71.95,46.88,67.07,83.85,79.97,38.82,74.56,96.27,51.48,65.47,35.54,59.47,42.42,50.08,52.27,925.10,137.56,16.49,4.26,69.66,98.34,97.78,23.93,22.54,77.51,84.11,99.19,88.59,4.78,39.10,8.68,1.10,0.50,31.40,9.08,4.51,4.02,99.61,100.00,89.66,95.73,88.70,73.31,262.51,414.55,35.07,3.72,1.23,0.00,4.99,2.40,44.92,5.00,7.00,1322.26,2859.36,58.36,23.45,9.00,14.53,4.99,0.31,32.69,0.22,0.64,64.52,413.12,419.06,71.87,90.77,568.64
Santo Antônio de Pádua,RJ,61.96,603.60,43697.00,38591.60,75.43,66.54,43.91,69.51,88.58,93.57,50.05,82.30,70.95,53.29,59.62,25.69,56.19,55.80,37.97,61.87,2874.28,122.27,14.93,3.51,90.03,95.07,93.69,26.00,91.77,97.71,84.92,96.54,52.48,7.18,25.71,21.13,0.10,0.12,18.00,5.72,5.59,4.28,92.11,12.56,53.78,96.77,69.18,73.33,279.62,420.44,29.68,6.89,5.17,1.14,4.16,3.43,51.96,1.00,4.00,606.55,756.17,73.35,96.66,7.00,13.36,1.54,0.26,10.59,0.15,0.31,,129.98,118.36,47.76,62.06,556.48
Mendes,RJ,61.96,95.30,18048.00,24643.40,78.20,64.75,42.92,68.29,83.45,90.16,70.90,73.30,72.62,47.08,66.01,30.92,62.21,45.62,32.94,70.74,1320.74,192.92,9.50,4.86,76.38,86.80,91.74,19.57,88.36,85.34,86.60,96.24,22.68,0.00,9.91,6.62,0.18,3.50,36.10,9.52,5.08,7.10,89.89,18.52,58.12,97.38,91.78,73.36,280.78,523.30,35.29,3.30,1.46,0.55,7.50,9.27,52.10,4.00,5.00,771.84,2264.58,73.22,80.34,6.00,10.17,0.08,0.27,15.42,0.22,0.73,166.67,315.08,262.04,48.71,63.69,486.57
Seropédica,RJ,61.95,265.20,84794.00,44343.66,72.87,68.37,44.61,67.42,77.94,80.12,66.01,74.06,80.97,53.67,64.79,23.45,47.87,61.22,45.90,53.65,325.00,169.41,16.25,3.80,97.44,69.95,71.55,38.66,90.88,61.03,65.39,98.30,36.81,1.87,20.30,11.75,0.60,1.96,34.58,6.86,4.42,6.26,99.91,40.54,66.62,97.20,80.78,73.30,295.61,440.38,24.30,3.60,8.13,1.77,8.88,6.31,41.14,1.00,5.00,1323.37,1539.87,76.17,37.30,3.00,14.20,11.99,0.35,13.80,0.40,0.77,,180.51,128.67,79.83,82.67,513.53
Miguel Pereira,RJ,61.85,287.90,28142.00,30104.40,70.17,70.66,44.71,71.65,68.25,85.29,55.50,79.34,82.40,53.73,67.17,43.86,60.07,40.32,34.61,84.64,1703.02,171.58,12.25,4.62,62.98,82.51,83.78,56.27,80.06,79.95,75.63,96.58,59.89,1.36,21.57,12.23,0.08,1.14,29.12,5.56,5.38,4.72,86.87,65.68,65.86,97.66,78.75,74.68,226.08,483.58,33.82,6.48,2.15,0.36,7.99,10.99,50.36,9.00,6.00,933.05,1598.79,64.90,78.71,6.00,11.16,0.92,0.27,3.83,0.00,0.68,95.24,730.75,640.57,41.90,50.18,560.50
Cambuci,RJ,61.84,558.30,15069.00,31824.81,78.20,65.91,41.43,72.81,78.26,95.65,66.09,78.10,68.94,59.10,57.48,18.31,59.44,63.82,24.13,70.74,2732.40,120.58,21.19,2.07,79.81,96.29,74.23,31.73,89.74,98.32,89.79,99.38,13.78,5.26,7.92,11.87,0.18,0.42,30.58,4.30,5.33,10.30,77.78,33.06,42.88,96.78,83.17,73.51,187.27,440.17,25.68,3.96,12.71,0.66,5.53,5.39,53.53,2.00,0.00,912.37,1177.74,68.75,88.68,2.00,12.49,1.63,0.27,1.03,0.67,0.21,,90.09,84.61,29.23,40.86,488.08
Petrópolis,RJ,61.80,791.10,294926.00,67499.42,75.10,70.96,39.35,73.14,81.04,77.81,68.41,74.52,90.20,55.18,63.94,29.95,54.52,28.11,44.82,80.41,735.52,170.77,15.22,3.69,67.14,86.91,96.49,23.10,22.36,85.51,67.27,98.16,20.50,2.03,9.32,10.86,0.44,3.36,29.12,7.94,4.88,7.58,97.60,85.74,72.66,97.44,84.29,75.79,243.22,481.87,29.63,6.78,1.56,0.17,7.20,10.40,57.92,3.00,4.00,568.48,1057.22,62.95,87.80,10.00,9.32,1.39,0.29,73.72,0.40,0.16,259.89,862.92,869.28,64.58,73.62,565.90
Valença,RJ,61.79,1300.80,71449.00,43450.42,76.29,68.26,40.81,72.80,76.63,87.70,68.02,77.51,82.07,55.72,57.74,37.11,53.73,31.26,41.15,76.40,547.35,145.00,11.97,4.74,81.66,86.90,83.72,49.47,86.85,85.79,74.65,97.14,28.55,2.64,11.10,9.69,0.64,1.22,30.34,5.66,4.79,3.46,88.54,71.77,57.32,97.27,84.32,75.85,242.89,485.89,28.41,6.38,5.17,0.70,6.84,3.29,54.96,11.00,0.00,478.43,1616.02,72.45,85.09,10.00,13.34,2.47,0.27,45.65,0.16,0.31,340.43,609.82,727.07,58.56,73.23,537.98
Bom Jesus do Itabapoana,RJ,61.52,596.70,37176.00,32483.62,75.85,67.63,41.08,61.96,79.19,96.32,65.94,80.08,77.62,54.03,58.78,16.91,61.12,46.83,39.47,38.46,2668.98,137.68,12.21,4.78,92.63,97.41,77.78,54.13,92.90,97.10,93.30,98.79,18.47,2.08,11.84,20.98,0.04,0.60,21.04,5.12,5.33,8.08,88.19,51.50,55.44,96.77,67.47,74.16,257.47,491.94,28.36,6.99,6.55,0.27,4.54,4.03,53.20,1.00,0.00,802.14,1851.01,44.26,38.52,5.00,12.45,2.63,0.26,24.79,0.00,0.30,,316.27,347.53,47.61,64.82,568.98
Sapucaia,RJ,61.42,540.70,18291.00,67121.59,75.76,66.23,42.26,78.14,70.37,88.61,65.90,78.20,76.67,51.55,58.52,25.41,51.37,56.13,36.13,92.13,440.93,164.97,14.87,2.94,63.52,80.92,78.74,38.42,70.34,86.51,85.54,98.27,21.08,2.16,12.01,28.36,0.14,0.28,26.04,6.82,4.80,4.92,84.09,53.78,57.07,94.87,79.24,73.26,266.75,484.22,28.11,7.63,9.42,3.28,10.11,0.95,45.23,6.00,0.00,824.21,1413.90,79.12,82.05,6.00,12.46,2.03,0.29,7.09,0.55,0.00,,127.35,249.48,51.10,61.23,525.92
Cardoso Moreira,RJ,61.37,522.60,13407.00,29322.37,73.16,64.23,46.73,77.17,63.84,87.69,63.94,73.46,70.71,53.88,58.88,21.80,53.04,77.95,34.13,96.15,493.63,152.30,24.44,2.68,73.44,60.89,69.61,58.05,73.27,80.48,84.97,99.31,14.98,5.91,8.98,29.92,1.50,2.56,31.24,6.34,4.74,9.12,74.13,39.11,49.58,97.28,87.96,71.93,200.17,442.03,25.63,11.96,10.43,0.75,6.54,5.74,52.01,4.00,0.00,923.61,1660.20,65.09,76.00,5.00,15.37,1.62,0.28,0.00,0.00,0.88,,17.68,0.00,43.26,58.78,529.28
São José do Vale do Rio Preto,RJ,61.32,220.20,22813.00,41276.68,79.68,64.24,40.04,77.47,68.51,90.43,82.32,75.80,64.32,54.81,62.04,15.48,56.90,52.97,34.80,94.43,1019.41,142.28,18.52,3.18,61.22,90.60,62.55,27.25,92.40,86.91,85.98,94.84,0.00,0.00,4.47,18.67,0.74,3.80,25.48,9.52,5.11,2.94,77.58,0.34,48.83,97.77,83.07,73.33,236.20,448.98,25.17,8.85,2.87,1.32,11.06,5.57,50.99,0.00,0.00,581.40,1206.81,61.79,67.63,5.00,10.92,0.41,0.27,0.71,0.22,0.31,,257.33,377.91,45.88,61.24,524.04
Iguaba Grande,RJ,61.21,51.00,29616.00,27507.46,76.94,70.23,36.46,73.15,78.51,90.85,65.25,75.01,92.25,46.71,66.95,22.07,55.81,37.21,30.76,80.81,136.89,175.18,14.73,4.05,89.39,35.86,97.56,35.48,90.51,87.07,89.54,94.37,39.57,3.95,23.80,6.99,0.14,3.86,33.44,8.10,5.19,5.96,100.00,89.99,77.88,96.23,79.41,75.44,327.17,562.15,34.38,5.57,1.26,0.34,2.55,6.14,47.76,5.00,0.00,1571.85,2391.88,52.06,16.17,3.00,11.04,0.78,0.27,27.61,0.18,0.60,176.47,728.20,743.89,40.90,51.11,512.64
Paty do Alferes,RJ,61.18,314.30,31370.00,27502.07,67.42,69.11,47.01,69.47,55.77,80.59,63.85,74.07,78.02,57.16,67.20,20.64,57.18,79.30,30.95,77.78,1411.11,173.95,19.00,4.06,59.06,37.60,69.02,55.43,84.85,71.45,61.67,96.72,32.97,6.32,18.17,5.18,0.10,3.84,30.86,9.06,5.35,9.94,89.48,49.23,60.16,95.45,72.34,73.34,217.19,452.90,27.94,3.23,5.05,1.28,8.70,12.38,47.58,1.00,3.00,1088.51,2380.33,56.07,31.81,6.00,13.52,0.00,0.28,6.21,0.18,0.31,,2.53,0.00,40.86,53.24,509.84
Barra do Piraí,RJ,61.17,584.60,98506.00,32746.46,72.57,69.07,41.87,70.52,76.93,87.04,55.80,74.64,85.67,57.23,58.73,32.23,57.63,40.57,37.05,65.76,1488.66,137.60,13.83,4.05,82.70,89.63,87.11,56.68,89.92,84.63,69.52,98.19,43.19,3.83,20.19,4.65,0.30,2.58,34.42,6.80,4.67,6.52,98.57,77.80,57.54,96.95,86.88,74.14,234.36,414.07,25.28,6.27,6.51,1.22,10.02,5.01,53.02,9.00,0.00,953.70,1418.76,62.39,66.47,5.00,13.30,0.72,0.28,50.81,0.18,0.89,119.05,397.12,499.76,43.47,54.69,575.52
Engenheiro Paulo de Frontin,RJ,61.15,139.40,12644.00,25343.09,71.84,65.86,45.74,66.71,52.59,89.11,78.97,80.16,67.75,53.08,62.45,32.78,61.83,53.09,35.28,90.48,1504.47,199.13,29.05,4.40,44.51,70.61,60.38,58.86,95.44,84.98,77.74,96.54,0.00,2.99,7.81,3.15,0.10,1.48,26.00,4.48,5.02,2.50,84.33,3.48,61.31,93.72,94.79,73.32,239.72,540.23,23.39,3.12,1.66,1.58,7.09,1.06,47.37,6.00,3.00,632.68,1391.93,67.56,76.98,3.00,11.94,0.16,0.28,4.23,0.44,0.40,,508.61,484.17,46.32,60.77,529.98
Araruama,RJ,61.03,638.30,137906.00,95399.63,70.45,70.36,42.27,71.52,82.62,89.19,38.47,72.83,88.03,55.90,64.67,32.47,55.29,40.42,40.91,60.03,203.88,136.20,14.90,3.70,84.45,59.36,96.67,23.62,90.15,86.92,76.50,98.03,97.91,6.26,40.73,19.45,0.70,3.62,34.14,7.48,4.58,7.50,97.90,72.50,75.02,96.77,90.21,75.32,272.82,395.54,27.11,6.98,2.31,1.09,6.79,9.08,52.82,2.00,8.00,957.82,1761.58,76.66,79.97,10.00,13.31,1.39,0.29,36.34,0.12,0.77,123.46,468.41,411.11,57.05,73.32,539.04
Varre-Sai,RJ,60.90,201.90,10563.00,38617.34,75.21,66.86,40.62,76.70,48.32,93.37,82.47,77.74,73.75,60.34,55.61,15.57,55.44,60.39,31.08,90.78,1226.27,174.49,10.52,3.37,39.92,78.86,37.41,44.66,68.82,95.46,96.35,98.70,0.00,0.00,3.79,7.62,0.00,0.16,26.32,7.04,4.58,4.92,83.90,36.53,54.42,97.46,65.30,73.58,172.80,486.86,21.32,9.53,4.38,0.00,7.74,0.20,55.75,1.00,0.00,769.11,2215.11,77.03,137.25,2.00,15.07,0.38,0.28,0.00,0.22,0.44,,78.27,139.01,41.18,58.45,497.65
São Sebastião do Alto,RJ,60.82,397.20,7993.00,34135.49,71.76,62.82,47.88,71.38,58.03,85.65,71.98,78.43,64.55,50.13,58.15,30.96,56.22,68.51,35.83,60.38,3234.87,105.58,12.15,3.12,54.10,68.40,51.37,33.54,66.95,84.38,77.15,98.14,13.69,0.00,4.97,19.57,0.18,0.38,28.42,5.84,4.86,4.66,68.76,23.25,40.28,97.53,76.94,72.35,272.37,387.72,29.38,17.26,16.51,2.50,6.64,0.00,42.29,2.00,5.00,579.77,532.88,68.04,104.38,4.00,15.22,1.07,0.28,0.00,0.67,0.00,,19.20,40.60,48.65,67.29,514.12
São José de Ubá,RJ,60.79,249.70,7318.00,31802.41,70.42,61.33,50.63,71.85,60.71,89.29,59.84,77.31,57.01,54.99,55.99,22.20,57.16,78.79,44.35,78.80,235.46,145.97,25.61,3.57,55.70,88.16,48.64,33.85,60.59,94.04,84.67,98.80,42.88,0.00,13.73,19.26,0.16,1.60,33.40,6.48,5.34,6.00,66.78,15.24,47.15,77.90,82.52,72.88,239.83,445.33,25.51,5.50,15.40,6.83,4.58,1.11,48.94,1.00,3.00,912.37,1177.74,68.75,88.68,5.00,12.73,20.96,0.27,0.00,0.44,0.57,,27.16,0.00,73.53,104.35,458.34
Itaocara,RJ,60.75,433.20,23645.00,31993.61,73.22,68.14,40.88,72.25,75.35,81.61,63.69,82.52,76.92,52.50,60.64,26.67,57.68,44.49,34.68,67.14,1400.92,144.90,12.78,3.40,80.89,83.45,75.71,40.19,15.52,92.29,78.05,99.44,9.17,4.93,10.13,23.62,0.16,0.16,20.84,4.38,5.58,3.90,87.44,41.29,62.18,96.86,82.54,74.18,286.43,482.77,22.64,10.96,7.52,4.65,4.91,3.76,47.52,3.00,1.00,509.97,412.88,46.52,44.05,4.00,11.80,1.66,0.26,19.38,0.55,0.50,800.00,208.66,326.82,38.53,50.98,569.02
Nova Iguaçu,RJ,60.73,520.60,843220.00,24333.65,70.12,69.09,42.98,57.08,86.88,82.00,54.51,72.03,78.91,54.66,70.77,51.95,53.54,38.92,27.50,34.24,663.38,187.17,16.83,5.88,76.49,93.19,89.49,4.60,90.77,64.14,72.38,96.99,52.52,3.18,26.14,10.61,1.04,3.54,33.18,7.42,4.15,6.58,99.89,30.29,65.10,97.72,94.79,74.08,278.87,483.43,20.68,2.65,1.03,0.11,4.48,35.68,51.14,11.00,8.00,860.47,1776.37,66.23,93.04,8.00,13.02,0.43,0.30,24.83,0.00,0.58,39.08,771.31,476.63,32.57,41.37,519.58
Maricá,RJ,60.71,361.60,212470.00,631110.43,66.99,70.65,44.49,69.26,40.53,91.95,66.23,73.94,82.31,56.58,69.76,47.45,55.72,38.20,36.57,61.02,933.68,154.68,13.51,4.10,21.19,44.39,53.17,49.13,93.65,84.83,86.93,99.26,37.74,3.86,19.29,12.57,0.06,4.20,29.04,7.58,4.86,9.86,99.63,40.18,75.40,96.30,84.85,75.99,211.34,445.59,35.90,3.99,1.43,0.56,10.58,12.66,48.24,9.00,7.00,786.05,1213.07,50.98,53.57,11.00,11.75,1.79,0.27,60.88,0.19,0.50,68.57,367.07,303.79,48.92,61.10,538.02
Quissamã,RJ,60.66,719.60,23142.00,244993.69,69.18,67.40,45.40,76.99,67.56,94.87,37.27,73.51,82.00,51.57,62.52,40.72,52.18,54.36,34.33,87.86,1568.11,152.40,9.89,3.41,70.72,87.29,66.08,50.01,92.56,94.66,89.25,99.18,99.91,8.56,34.18,7.85,0.14,3.12,32.04,7.34,5.09,13.04,95.22,62.59,57.83,96.87,93.99,74.23,278.03,408.26,33.65,5.26,7.08,0.43,16.32,6.79,45.33,6.00,8.00,975.09,2332.05,61.12,45.05,6.00,16.14,1.49,0.27,1.01,0.36,0.93,,896.81,872.29,44.92,55.10,536.20
Cantagalo,RJ,60.26,747.20,19995.00,53778.24,73.87,67.89,39.01,70.44,70.64,85.91,68.49,80.42,79.04,56.84,55.28,18.98,49.39,48.84,38.83,78.08,2278.26,148.36,12.25,4.78,78.26,78.58,70.75,47.79,91.04,83.85,68.30,96.08,9.61,1.94,8.95,19.85,0.14,0.92,25.04,4.28,4.97,2.98,81.60,63.90,62.24,94.98,67.44,74.29,228.37,429.78,28.39,9.91,90.77,0.50,6.77,1.45,39.46,2.00,0.00,704.02,1218.72,73.12,120.81,6.00,15.28,1.15,0.30,0.57,0.18,0.00,,336.37,359.79,55.53,67.31,532.19
Vassouras,RJ,60.13,536.10,35907.00,41019.30,71.29,67.71,41.39,70.60,74.22,87.01,53.32,74.49,82.38,51.06,62.90,20.43,53.97,30.68,60.48,81.07,1353.22,168.19,20.54,3.83,78.67,87.61,73.01,41.18,87.61,79.37,79.33,96.65,46.00,3.16,22.77,25.00,0.06,0.84,33.82,7.04,4.82,11.44,88.02,74.71,60.92,94.86,83.12,73.79,260.65,526.19,31.24,2.78,7.08,8.35,6.19,6.57,46.33,3.00,0.00,808.01,1458.22,73.16,126.38,7.00,11.92,3.07,0.28,29.39,0.00,0.39,181.82,1245.07,1456.32,107.01,119.83,526.96
Santa Maria Madalena,RJ,59.95,811.00,10580.00,26001.70,69.92,63.66,46.28,73.39,50.56,89.39,66.33,77.19,65.61,54.55,57.31,25.10,55.34,69.21,35.47,71.85,1878.52,113.07,13.11,3.85,48.15,69.30,45.29,51.71,82.80,92.24,74.47,98.66,39.11,3.79,18.82,7.55,0.90,0.96,36.60,5.36,4.84,1.50,71.29,26.37,42.18,95.95,51.15,72.79,291.22,388.69,27.84,9.39,12.69,1.89,8.27,0.26,45.66,2.00,2.00,597.44,570.94,68.67,124.47,5.00,13.24,2.81,0.30,0.00,0.00,0.40,,11.36,10.46,42.41,63.53,536.76
Saquarema,RJ,59.80,352.10,95315.00,678813.83,68.04,70.04,41.33,72.27,57.95,86.92,55.01,72.13,86.47,54.61,66.97,27.23,52.91,42.46,42.71,58.28,647.77,118.59,12.22,3.76,34.53,20.84,97.95,34.58,90.95,77.15,76.53,98.44,45.94,4.21,23.84,12.18,0.52,3.36,35.42,8.64,5.04,11.38,99.45,56.54,81.15,96.16,86.02,73.26,259.03,375.90,30.96,3.45,1.86,0.10,11.09,11.18,50.82,8.00,0.00,1362.43,2242.01,78.89,65.65,4.00,13.17,0.42,0.28,22.62,0.45,0.65,126.32,708.71,620.08,59.10,78.57,542.72
Conceição de Macabu,RJ,59.73,338.30,21770.00,23151.13,69.32,66.54,43.34,64.67,79.76,92.87,39.97,77.18,74.91,54.06,60.02,24.02,55.12,60.98,33.22,60.88,635.68,114.93,19.62,6.57,62.21,81.75,91.46,10.07,94.23,94.84,80.71,98.32,111.40,5.43,33.85,1.83,0.22,2.04,25.40,5.38,4.57,6.14,89.85,38.75,51.84,96.78,85.59,73.38,279.47,366.68,25.92,10.09,5.49,0.00,6.78,2.18,48.35,6.00,0.00,1104.90,1773.21,88.75,87.96,4.00,15.14,2.99,0.30,1.84,0.18,0.70,,364.73,25.85,42.45,59.81,517.62
Belford Roxo,RJ,59.71,79.00,518384.00,18685.64,67.09,68.30,43.72,56.66,79.46,77.21,55.04,68.77,75.55,57.23,71.64,44.82,59.24,51.26,19.58,19.21,1480.52,149.86,18.00,4.87,79.32,94.73,88.56,44.80,77.70,49.39,74.77,97.61,54.45,2.83,23.68,1.66,2.10,4.30,35.58,8.28,4.02,8.32,100.00,25.39,52.96,97.80,88.43,73.50,263.19,393.38,23.39,1.85,0.43,0.00,3.08,8.40,44.11,9.00,7.00,1326.69,1346.36,64.61,41.39,11.00,14.67,0.42,0.28,7.27,0.08,0.88,90.91,171.17,122.21,20.41,24.35,497.04
Laje do Muriaé,RJ,59.65,253.50,7584.00,27505.67,71.54,60.05,47.36,67.94,76.26,97.07,44.89,77.78,60.20,45.77,56.44,38.87,54.27,63.40,32.91,85.58,758.52,182.79,24.57,4.91,89.45,70.76,77.39,42.84,94.52,98.93,94.39,98.28,70.70,15.60,34.16,2.63,0.08,1.26,25.46,5.90,4.83,6.90,80.53,17.73,8.04,98.44,100.00,72.97,308.79,474.56,28.33,13.15,8.01,0.00,3.93,3.40,56.25,5.00,7.00,584.21,1874.11,65.37,106.26,2.00,12.73,0.16,0.27,3.23,0.00,0.68,,62.42,36.34,49.67,66.98,475.32
Silva Jardim,RJ,59.61,937.80,22028.00,32046.12,67.84,68.15,42.84,77.38,68.14,79.70,46.14,71.86,83.30,58.74,58.70,29.57,51.14,50.85,39.79,90.69,1133.66,152.77,15.64,2.92,41.05,71.95,84.07,13.64,92.36,61.27,60.34,99.53,72.62,10.78,31.64,20.79,0.32,3.66,38.28,8.34,4.42,6.98,83.97,84.68,56.96,97.36,45.47,72.60,265.55,450.28,20.50,3.62,8.08,0.91,13.56,3.49,48.62,2.00,6.00,1022.61,1420.62,60.25,46.53,4.00,13.53,2.73,0.29,5.72,0.22,0.49,,591.43,465.72,63.25,80.14,490.29
São Gonçalo,RJ,59.50,248.20,960196.00,24019.77,68.44,68.15,41.91,64.64,82.76,82.48,43.90,70.24,75.01,56.61,70.74,42.46,52.18,46.51,26.50,45.81,890.24,139.25,14.69,4.99,80.88,85.88,92.30,30.32,87.08,69.39,74.84,94.45,77.14,2.55,27.86,16.06,1.66,2.56,34.34,7.44,4.04,10.16,99.95,19.65,56.55,97.25,81.17,74.96,241.09,411.90,31.46,4.27,1.28,0.00,7.31,12.36,47.23,7.00,7.00,905.61,1526.55,56.39,69.44,7.00,12.33,0.86,0.29,21.45,0.15,0.94,105.90,359.32,250.78,27.57,33.66,540.41
